PACK 81: Phrasal Verbs 2
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | look up              | 查找              | chá zhǎo           | mirar hacia arriba | olhe para cima    
  3 | look after           | 照顾              | zhào gù            | cuidar             | cuidar            
  4 | look forward to      | 期待              | qī dài             | Esperamos con ansi | ansiosos por      
  5 | take care of         | 照顾              | zhào gù            | cuidar             | cuide de          
  6 | get along            | 相处              | xiāng chǔ          | llevarse bien      | se dar bem        
  7 | get rid of           | 摆脱              | bǎi tuō            | deshacerse de      | livrar-se de      
  8 | keep up              | 跟上              | gēn shàng          | sigue el ritmo     | continue          
  9 | come up with         | 想出              | xiǎng chū          | inventa            | invente           
 10 | put up with          | 忍受              | rěn shòu           | aguantar           | aguentar          
 11 | make up              | 化妆              | huà zhuāng         | maquillar          | maquiagem         
 12 | break up             | 分手              | fēn shǒu           | romper             | terminar          
 13 | grow up              | 长大              | zhǎng dà           | crecer             | crescer           
 14 | bring up             | 提出              | tí chū             | mencionar          | trazer à tona     
 15 | turn up              | 出现              | chū xiàn           | aparecer           | aparecer          
 16 | turn down            | 拒绝              | jù jué             | rechazar           | diminuir          
 17 | carry on             | 继续              | jì xù              | continúa           | continue          
 18 | hold on              | 坚持住             | jiān chí zhù       | espera             | espere            
 19 | hang out             | 出去玩             | chū qù wán         | pasar el rato      | sair              
 20 | check out            | 看看              | kàn kàn            | echa un vistazo    | confira           
 21 | calm down            | 冷静              | lěng jìng          | cálmate            | acalme-se         
 22 | look up word         | 查找单词            | chá zhǎo dān cí    | buscar palabra     | procure a palavra 
 23 | look up to           | 仰望              | yǎng wàng          | admirar            | admiro            
 24 | look after kids      | 照顾孩子            | zhào gù hái zi     | cuidar niños       | cuidar das criança
 25 | look after yourself  | 照顾好自己           | zhào gù hǎo zì jǐ  | cuídate            | cuide de você     
 26 | look forward to meet | 期待见面            | qī dài jiàn miàn   | Esperamos conocern | ansiosos para conh
 27 | look forward to it   | 敬请期待            | jìng qǐng qī dài   | lo espero con ansi | espero por isso   
 28 | take care of yoursel | 照顾好自己           | zhào gù hǎo zì jǐ  | cuídate            | cuide-se          
 29 | take care of it      | 照顾好它            | zhào gù hǎo tā     | cuidalo            | cuide disso       
 30 | get along well       | 相处得很好           | xiāng chǔ dé hěn h | llevarse bien      | se dão bem        
 31 | get along with       | 与               | yǔ                 | llevarse bien con  | se dar bem        
 32 | get rid of it        | 相处摆脱它           | xiāng chǔ bǎi tuō  | deshazte de él     | livre-se disso    
 33 | get rid of junk      | 摆脱垃圾            | bǎi tuō lā jī      | deshacerse de la b | livrar-se do lixo 
 34 | keep up with         | 跟上              | gēn shàng          | mantenerse al día  | acompanhe         
 35 | keep up the pace     | 跟上步伐            | gēn shàng bù fá    | mantén el ritmo    | mantenha o ritmo  
 36 | come up with idea    | 想出主意            | xiǎng chū zhǔ yì   | proponer una idea  | tenha uma ideia   
 37 | come up with plan    | 制定计划            | zhì dìng jì huà    | elaborar un plan   | elabore um plano  
 38 | put up with it       | 忍受吧             | rěn shòu ba        | aguantarlo         | aguente isso      
 39 | can't put up with    | 无法忍受            | wú fǎ rěn shòu     | no puedo soportarl | não aguento       
 40 | make up story        | 编故事             | biān gù shì        | historia inventada | inventar história 
 41 | make up test         | 化妆测试            | huà zhuāng cè shì  | prueba de maquilla | teste de maquiagem
 42 | break up with        | 与               | yǔ                 | romper con         | terminar com      
 43 | they break up        | 分手他们分手了         | fēn shǒu tā men fē | se separan         | eles se separam   
 44 | grow up fast         | 快点长大            | kuài diǎn zhǎng dà | crecer rápido      | crescer rápido    
 45 | when I grow up       | 当我长大了           | dāng wǒ zhǎng dà l | cuando sea mayor   | quando eu crescer 
 46 | bring up topic       | 提出话题            | tí chū huà tí      | sacar el tema      | trazer tópico     
 47 | bring up children    | 抚养孩子            | fǔ yǎng hái zi     | criar hijos        | criar filhos      
 48 | turn up volume       | 调高音量            | diào gāo yīn liàng | subir el volumen   | aumentar o volume 
 49 | turn up late         | 迟到              | chí dào            | llegar tarde       | chegar tarde      
 50 | turn down offer      | 拒绝报价            | jù jué bào jià     | rechazar oferta    | recusar oferta    
 51 | turn down volume     | 调低音量            | diào dī yīn liàng  | bajar el volumen   | diminuir o volume 
 52 | carry on luggage     | 随身携带行李          | suí shēn xié dài x | equipaje de mano   | bagagem de mão    
 53 | carry on working     | 继续工作            | jì xù gōng zuò     | seguir trabajando  | continue trabalhan
 54 | hold on please       | 请稍等             | qǐng shāo děng     | espera por favor   | espere por favor  
 55 | hold on tight        | 抓紧              | zhuā jǐn           | agárrate fuerte    | segure firme      
 56 | hang out together    | 一起出去玩           | yì qǐ chū qù wán   | pasar el rato junt | sair juntos       
 57 | hang out with        | 和               | hé                 | pasar el rato con  | sair com          
 58 | check out now        | 一起出去玩立即查看       | yì qǐ chū qù wán l | echa un vistazo ah | confira agora     
 59 | check out this       | 看看这个            | kàn kàn zhè ge     | mira esto          | veja isso         
 60 | calm down please     | 请冷静             | qǐng lěng jìng     | cálmate por favor  | acalme-se, por fav
 61 | calm down now        | 现在冷静下来          | xiàn zài lěng jìng | cálmate ahora      | acalme-se agora   
