chinese,pinyin,english,spanish,french,portuguese
桌子,zhuō zi,Table,Mesa,Table,Mesa
椅子,yǐ zi,Chair,Silla,Chaise,Cadeira
床,chuáng,Bed,Cama,Lit,Cama
沙发,shā fā,Sofa,Sofá,Canapé,Sofá
柜子,guì zi,Cabinet,Gabinete,Armoire,Armário
书架,shū jià,Bookshelf,Estantería,Bibliothèque,Estante
灯,dēng,Lamp,Lámpara,Lampe,Lâmpada
电视,diàn shì,TV,Televisión,Télévision,Televisão
冰箱,bīng xiāng,Refrigerator,Refrigerador,Réfrigérateur,Geladeira
空调,kōng tiáo,Air conditioner,Aire acondicionado,Climatiseur,Ar condicionado
洗衣机,xǐ yī jī,Washing machine,Lavadora,Machine à laver,Máquina de lavar
电脑,diàn nǎo,Computer,Computadora,Ordinateur,Computador
钥匙,yào shi,Keys,Llaves,Clés,Chaves
纸,zhǐ,Paper,Papel,Papier,Papel
窗帘,chuāng lián,Curtains,Cortinas,Rideaux,Cortinas
地毯,dì tǎn,Carpet,Alfombra,Tapis,Tapete
大桌子,dà zhuō zi,Large table,Mesa grande,Grande table,Mesa grande
擦桌子,cā zhuō zi,Wipe the table,Limpiar la mesa,Essuyer la table,Limpar a mesa
小椅子,xiǎo yǐ zi,Small chair,Silla pequeña,Petite chaise,Cadeira pequena
坐椅子,zuò yǐ zi,Sit on a chair,Sentarse en una silla,S'asseoir sur une chaise,Sentar na cadeira
大床,dà chuáng,Big bed,Cama grande,Grand lit,Cama grande
睡床,shuì chuáng,Sleep in bed,Dormir en la cama,Dormir dans le lit,Dormir na cama
软沙发,ruǎn shā fā,Soft sofa,Sofá suave,Canapé moelleux,Sofá macio
坐沙发,zuò shā fā,Sit on the sofa,Sentarse en el sofá,S'asseoir sur le canapé,Sentar no sofá
大柜子,dà guì zi,Big cabinet,Gabinete grande,Grande armoire,Armário grande
开柜子,kāi guì zi,Open the cabinet,Abrir el gabinete,Ouvrir l'armoire,Abrir o armário
书架满,shū jià mǎn,Full bookshelf,Estantería llena,Bibliothèque pleine,Estante cheia
放书架,fàng shū jià,Put on the bookshelf,Poner en la estantería,Mettre sur l'étagère,Colocar na estante
开灯,kāi dēng,Turn on the light,Encender la luz,Allumer la lumière,Acender a luz
关灯,guān dēng,Turn off the light,Apagar la luz,Éteindre la lumière,Apagar a luz
看电视,kàn diàn shì,Watch TV,Ver televisión,Regarder la télé,Assistir TV
开电视,kāi diàn shì,Turn on the TV,Encender la televisión,Allumer la télé,Ligar a TV
开冰箱,kāi bīng xiāng,Open the refrigerator,Abrir el refrigerador,Ouvrir le réfrigérateur,Abrir a geladeira
大冰箱,dà bīng xiāng,Large refrigerator,Refrigerador grande,Grand réfrigérateur,Geladeira grande
开空调,kāi kōng tiáo,Turn on the air conditioner,Encender el aire acondicionado,Allumer la climatisation,Ligar o ar condicionado
关空调,guān kōng tiáo,Turn off the air conditioner,Apagar el aire acondicionado,Éteindre la climatisation,Desligar o ar condicionado
用洗衣机,yòng xǐ yī jī,Use the washing machine,Usar la lavadora,Utiliser la machine à laver,Usar a máquina de lavar
开洗衣机,kāi xǐ yī jī,Turn on the washing machine,Encender la lavadora,Allumer la machine à laver,Ligar a máquina de lavar
用电脑,yòng diàn nǎo,Use the computer,Usar la computadora,Utiliser l'ordinateur,Usar o computador
开电脑,kāi diàn nǎo,Turn on the computer,Encender la computadora,Allumer l'ordinateur,Ligar o computador
拿钥匙,ná yào shi,Take the keys,Tomar las llaves,Prendre les clés,Pegar as chaves
找钥匙,zhǎo yào shi,Find the keys,Buscar las llaves,Chercher les clés,Procurar as chaves
一张纸,yī zhāng zhǐ,A piece of paper,Una hoja de papel,Une feuille de papier,Uma folha de papel
拿纸,ná zhǐ,Take the paper,Tomar el papel,Prendre le papier,Pegar o papel
拉窗帘,lā chuāng lián,Close the curtains,Cerrar las cortinas,Fermer les rideaux,Fechar as cortinas
开窗帘,kāi chuāng lián,Open the curtains,Abrir las cortinas,Ouvrir les rideaux,Abrir as cortinas
软地毯,ruǎn dì tǎn,Soft carpet,Alfombra suave,Tapis moelleux,Tapete macio
铺地毯,pù dì tǎn,Lay the carpet,Poner la alfombra,Poser le tapis,Colocar o tapete
