chinese,pinyin,english,spanish,french,portuguese
家,jiā,Home,Inicio,Accueil,Início
家人,jiā rén,Family,Familia,Famille,Família
爸爸,bà bà,Dad,Papá,Papa,Papai
妈妈,mā mā,Mom,Mamá,Maman,Mãe
父母,fù mǔ,Parents,Padres,Parents,Pais
儿子,ér zi,Son,Hijo,Fils,Filho
女儿,nǚ ér,Daughter,Hija,Fille,Filha
孩子,hái zi,Child,Niño,Enfant,Criança
哥哥,gē gē,Elder brother,Hermano mayor,Frère aîné,Irmão mais velho
姐姐,jiě jiě,Elder sister,Hermana mayor,Sœur aînée,Irmã mais velha
弟弟,dì di,Younger brother,Hermano menor,Petit frère,Irmão mais novo
妹妹,mèi mèi,Younger sister,Hermana menor,Petite sœur,Irmã mais nova
爷爷,yé yé,Grandpa,Abuelo,Grand-père,Vovô
奶奶,nǎi nǎi,Grandma,Abuela,Grand-mère,Vovó
外公,wài gōng,Maternal grandpa,Abuelo materno,Grand-père maternel,Vovô materno
外婆,wài pó,Maternal grandma,Abuela materna,Grand-mère maternelle,Vovó materna
丈夫,zhàng fū,Husband,Marido,Mari,Marido
妻子,qī zǐ,Wife,Esposa,Femme,Esposa
亲戚,qīn qī,Relatives,Familiares,Parents,Parentes
回家去,huí jiā qù,Go home,Vete a casa,Rentre chez toi,Vá para casa
在家里,zài jiā lǐ,At home,En casa,À la maison,Em casa
家人团聚,jiā rén tuán jù,Family reunion,Reunión familiar,Regroupement familial,Reunião de família
想念家人,xiǎng niàn jiā rén,Miss my family,Extraño a mi familia,Ma famille me manque,Saudades da minha família
爸爸回来了,bà bà huí lái le,Dad is back,Papá ha vuelto,Papa est de retour,Papai está de volta
叫爸爸,jiào bà bà,Call Dad,Llama a papá,Appeler papa,Ligue para o papai
妈妈做饭,mā mā zuò fàn,Mom cooks,Mamá cocina,Maman cuisine,Mamãe cozinha
找妈妈,zhǎo mā mā,Looking for Mom,Buscando a mamá,Je cherche maman,Procurando pela mamãe
孝敬父母,xiào jìng fù mǔ,Honor your parents,Honra a tus padres,Honorez vos parents,Honre seus pais
父母健康,fù mǔ jiàn kāng,Parents are healthy,Los padres están sanos,Les parents sont en bonne santé,Os pais estão saudáveis
儿子长大了,ér zi zhǎng dà le,Son has grown up,El hijo ha crecido,Le fils a grandi,O filho cresceu
好儿子,hǎo ér zi,Good son,Buen hijo,Bon fils,Bom filho
女儿出嫁,nǚ ér chū jià,Daughter gets married,La hija se casa,La fille est mariée,Filha se casa
好女儿,hǎo nǚ ér,Good daughter,Buena hija,Bonne fille,Boa filha
孩子上学,hái zi shàng xué,Children go to school,Los niños van a la escuela,Les enfants vont à l'école,As crianças vão à escola
照顾孩子,zhào gù hái zi,Taking care of children,Cuidar a los niños,Prendre soin des enfants,Cuidando de crianças
哥哥结婚了,gē gē jié hūn le,Brother got married,El hermano se casó,Le frère est marié,Irmão se casou
大哥哥,dà gē gē,Big brother,Hermano mayor,Grand frère,Irmão mais velho
姐姐工作,jiě jiě gōng zuò,Sister works,Hermana trabaja,Sœur travaille,Irmã trabalha
大姐姐,dà jiě jiě,Big sister,Hermana mayor,Grande soeur,Irmã mais velha
弟弟上学,dì di shàng xué,Brother goes to school,Hermano va a la escuela,Frère va à l'école,Irmão vai para a escola
小弟弟,xiǎo dì dì,Little brother,Hermano pequeño,Petit frère,Irmãozinho
妹妹可爱,mèi mèi kě ài,My sister is cute,Mi hermana es linda,Ma sœur est mignonne,Minha irmã é fofa
小妹妹,xiǎo mèi mèi,Little sister,Hermanita,Petite sœur,Irmãzinha
爷爷来了,yé yé lái le,Grandpa is here,El abuelo está aquí,Grand-père est là,Vovô está aqui
看望爷爷,kàn wàng yé yé,Visit grandpa,Visita al abuelo,Visiter grand-père,Visite o vovô
奶奶做饭,nǎi nǎi zuò fàn,Grandma cooks,La abuela cocina,Grand-mère cuisine,Vovó cozinha
陪奶奶,péi nǎi nǎi,Accompany grandma,Acompaña a la abuela,Accompagner grand-mère,Acompanha a vovó
外公来了,wài gōng lái le,Maternal grandpa is here,El abuelo materno está aquí,Grand-père maternel est là,Vovô materno está aqui
看外公,kàn wài gōng,See maternal grandpa,Ver abuelo materno,Voir grand-père maternel,Veja vovô materno
去外婆家,qù wài pó jiā,Go to grandma's house,Ir a la casa de la abuela,Va chez grand-mère,Vá para a casa da vovó
想外婆,xiǎng wài pó,Miss grandma,Extraño a la abuela,Grand-mère me manque,Sinto falta da vovó
丈夫上班,zhàng fū shàng bān,Husband goes to work,El marido va a trabajar,Le mari va travailler,Marido vai trabalhar
好丈夫,hǎo zhàng fū,Good husband,Buen marido,Bon mari,Bom marido
妻子做饭,qī zǐ zuò fàn,Wife cooks,Esposa cocina,Femme cuisine,Esposa cozinha
爱妻子,ài qī zǐ,Love wife,Amo a mi esposa,Aimer ma femme,Amo esposa
走亲戚,zǒu qīn qī,Visiting relatives,Visitar a familiares,Visiter des parents,Visitando parentes
亲戚朋友,qīn qī péng yǒu,Relatives and friends,Familiares y amigos,Parents et amis,Parentes e amigos
