chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
水,shuǐ,Water,Agua,Eau,Água,Nước,น้ำ,ទឹក,Air,Air,Tubig
开水,kāi shuǐ,Boiled water,Agua hervida,Eau bouillie,Água fervida,Nước đun sôi,น้ำต้มสุก,ទឹកឆ្អិន,Air matang,Air rebus,Pinakuluang tubig
茶,chá,Tea,Té,Thé,Chá,Trà,ชา,តែ,Teh,TEA,TEA
绿茶,lǜ chá,Green tea,Té verde,Thé vert,Chá verde,Trà xanh,ชาเขียว,តែបៃតង,Teh hijau,Teh Hijau,Green Tea
红茶,hóng chá,Black tea,Té negro,Thé noir,Chá preto,Trà đen,ชาดำ,តែខ្មៅ,Teh hitam,Teh hitam,Itim na tsaa
咖啡,kā fēi,Coffee,Café,Café,Café,Cà phê,กาแฟ,កាហ្វេ,Kopi,Kopi,Kape
牛奶,niú nǎi,Milk,Leche,Lait,Leite,Sữa,นม,ទឹកដោះគោ,Susu,Susu,Gatas
奶茶,nǎi chá,Milk tea,Té con leche,Thé au lait,Chá com leite,Trà sữa,ชานม,តែទឹកដោះ,Teh susu,Teh susu,Milk tea
果汁,guǒ zhī,Juice,Jugo,Jus,Suco,Nước ép,น้ำผลไม้,ទឹកផ្លែឈើ,Jus,Jus,Juice
可乐,kě lè,Coke,Coca-Cola,Coca,Coca-Cola,Coca,โค้ก,កូកាកូឡា,Coke,Coke,Coke
汽水,qì shuǐ,Soda,Refresco,Soda,Refrigerante,Nước ngọt,โซดา,សូដា,Soda,Soda,Soda
啤酒,pí jiǔ,Beer,Cerveza,Bière,Cerveja,Bia,เบียร์,ស្រាបៀរ,Bir,Beer,Beer
白酒,bái jiǔ,Liquor,Licor,Alcool,Licor,Rượu,สุรา,ភេសជ្ជៈ,Minuman keras,Liquor,Alak
红酒,hóng jiǔ,Red wine,Vino tinto,Vin rouge,Vinho tinto,Rượu vang đỏ,ไวน์แดง,ទឹកដោះគោសណ្តែក,Anggur merah,Wain Merah,Red Wine
饮料,yǐn liào,Beverages,Bebidas,Boissons,Bebidas,Đồ Uống,เครื่องดื่ม,ទឹករ៉ែ,Minuman,Minuman,Inumin
豆浆,dòu jiāng,Soy milk,Leche de soja,Lait de soja,Leite de soja,Sữa đậu nành,นมถั่วเหลือง,ទឹកត្រជាក់,Susu kedelai,Susu soya,Soy Milk
矿泉水,kuàng quán shuǐ,Mineral water,Agua mineral,Eau minérale,Água mineral,Nước khoáng,น้ำแร่,ចាក់ទឹក,Air mineral,Air Mineral,Mineral Water
冷水,lěng shuǐ,Cold water,Agua fría,Eau froide,Água fria,Nước lạnh,น้ำเย็น,ទឹករំពុះ,Air dingin,Air sejuk,Malamig na tubig
倒水,dào shuǐ,Pour water,Vierta agua,Verser de l'eau,Despeje água,Đổ nước,เทน้ำ,ទឹកដាំទឹក,Tuangkan air,Tuang air,Ibuhos ang tubig
开水烫,kāi shuǐ tàng,Boiling water,Agua hirviendo,Eau bouillante,Água fervente,Nước sôi,น้ำเดือด,ផឹកតែ,Air mendidih,Air mendidih,Kumukulong tubig
烧开水,shāo kāi shuǐ,Boil water,Hervir agua,Faire bouillir de l'eau,Ferva água,Đun sôi nước,ต้มน้ำ,ធ្វើតែ,Rebus air,Rebus air,Pakuluan ang tubig
喝茶,hē chá,Drink tea,Beber té,Boire du thé,Beba chá,Uống trà,ดื่มชา,ក្លិនតែពណ៌បៃតង,Minum teh,Minum Teh,Uminom ng tsaa
