chinese,pinyin,english,spanish,french,portuguese
起床,qǐ chuáng,Get up,Levántate,Se lever,Levantar
睡觉,shuì jiào,Sleep,Dormir,Dormir,Dormir
洗脸,xǐ liǎn,Wash your face,Lávate la cara,Lavez-vous le visage,Lave o rosto
刷牙,shuā yá,Brush your teeth,Cepíllate los dientes,Brossez-vous les dents,Escove os dentes
洗澡,xǐ zǎo,Take a shower,Ducharse,Prendre une douche,Tomar banho
洗手,xǐ shǒu,Wash your hands,Lávate las manos,Lavez-vous les mains,Lave as mãos
穿衣,chuān yī,Get dressed,Vestirse,S'habiller,Vestir-se
脱衣,tuō yī,Undress,Desnudarse,Se déshabiller,Despir-se
吃饭,chī fàn,Eat,Comer,Manger,Comer
喝水,hē shuǐ,Drink water,Beber agua,Boire de l'eau,Beber água
上班,shàng bān,Go to work,Ir a trabajar,Aller au travail,Ir trabalhar
下班,xià bān,Off work,Salir del trabajo,Sortir du travail,Sair do trabalho
上学,shàng xué,Go to school,Ir a la escuela,Aller à l'école,Ir à escola
放学,fàng xué,School is over,Salir de la escuela,Sortir de l'école,Sair da escola
回家,huí jiā,Go home,Ir a casa,Rentrer à la maison,Ir para casa
出门,chū mén,Go out,Salir,Sortir,Sair
休息,xiū xī,Rest,Descansar,Se reposer,Descansar
起床了,qǐ chuáng le,Wake up,Levántate,Réveille-toi,Acorde
早起床,zǎo qǐ chuáng,Get up early,Levántate temprano,Se lever tôt,Acordar cedo
睡觉吧,shuì jiào ba,Go to sleep,Vete a dormir,Va dormir,Vá dormir
该睡觉,gāi shuì jiào,Time to sleep,Es hora de dormir,C'est l'heure de dormir,Hora de dormir
洗脸盆,xǐ liǎn pén,Washbasin,Lavabo,Lavabo,Lavatório
去洗脸,qù xǐ liǎn,Go wash your face,Ve a lavarte la cara,Va te laver le visage,Vá lavar o rosto
刷牙膏,shuā yá gāo,Toothpaste,Pasta de dientes,Dentifrice,Pasta de dente
去刷牙,qù shuā yá,Go brush your teeth,Ve a cepillarte los dientes,Va te brosser les dents,Vá escovar os dentes
洗澡间,xǐ zǎo jiān,Bathroom,Cuarto de baño,Salle de bain,Banheiro
去洗澡,qù xǐ zǎo,Go take a shower,Ve a ducharte,Va te doucher,Vá tomar banho
洗手液,xǐ shǒu yè,Hand sanitizer,Jabón de manos,Savon pour les mains,Sabonete líquido
去洗手,qù xǐ shǒu,Go wash hands,Ve a lavarte las manos,Va te laver les mains,Vá lavar as mãos
穿衣服,chuān yī fú,Get dressed,Vístete,Habille-toi,Vista-se
快穿衣,kuài chuān yī,Hurry and get dressed,Date prisa y vístete,Dépêche-toi de t'habiller,Vista-se rápido
脱衣服,tuō yī fú,Take off clothes,Quítate la ropa,Enlève tes vêtements,Tire a roupa
快脱衣,kuài tuō yī,Hurry and undress,Date prisa y desvístete,Dépêche-toi de te déshabiller,Tire a roupa rápido
吃饭吧,chī fàn ba,Let's eat,Vamos a comer,Allons manger,Vamos comer
去吃饭,qù chī fàn,Go eat,Ve a comer,Va manger,Vá comer
喝水吧,hē shuǐ ba,Let's drink water,Bebamos agua,Buvons de l'eau,Vamos beber água
多喝水,duō hē shuǐ,Drink more water,Bebe más agua,Bois plus d'eau,Beba mais água
上班去,shàng bān qù,Go to work,Ve a trabajar,Va au travail,Vá trabalhar
去上班,qù shàng bān,Go to work,Ve a trabajar,Va au travail,Vá trabalhar
下班了,xià bān le,Off work now,Ya salí del trabajo,Je sors du travail,Saí do trabalho
准备下班,zhǔn bèi xià bān,Getting ready to leave work,Preparándose para salir,Se préparer à partir,Preparando para sair
上学去,shàng xué qù,Go to school,Ve a la escuela,Va à l'école,Vá para a escola
去上学,qù shàng xué,Go to school,Ve a la escuela,Va à l'école,Vá para a escola
放学了,fàng xué le,School is over,Se acabó la escuela,L'école est finie,A escola acabou
刚放学,gāng fàng xué,Just got out of school,Acabo de salir de la escuela,Je viens de sortir de l'école,Acabei de sair da escola
回家吧,huí jiā ba,Let's go home,Vamos a casa,Rentrons à la maison,Vamos para casa
快回家,kuài huí jiā,Hurry home,Date prisa y ve a casa,Dépêche-toi de rentrer,Vá para casa rápido
出门吧,chū mén ba,Let's go out,Salgamos,Sortons,Vamos sair
准备出门,zhǔn bèi chū mén,Getting ready to go out,Preparándose para salir,Se préparer à sortir,Preparando para sair
休息吧,xiū xī ba,Let's rest,Descansemos,Reposons-nous,Vamos descansar
好好休息,hǎo hǎo xiū xī,Get some good rest,Descansa bien,Repose-toi bien,Descanse bem
