chinese,pinyin,english,spanish,french,portuguese
运动,yùn dòng,Sports,Deportes,Sport,Esportes
跑步,pǎo bù,Running,Corriendo,En cours d'exécution,Correndo
游泳,yóu yǒng,Swimming,Natación,Natation,Natação
打球,dǎ qiú,Playing,Jugando,Jouer,Jogando
篮球,lán qiú,Basketball,Baloncesto,Basket-ball,Basquete
足球,zú qiú,Football,Fútbol,Foot,Futebol
乒乓球,pīng pāng qiú,Table tennis,Tenis de mesa,Tennis de table,Tênis de mesa
网球,wǎng qiú,Tennis,Tenis,Tennis,Tênis
羽毛球,yǔ máo qiú,Badminton,Bádminton,Badminton,Badminton
健身,jiàn shēn,Fitness,Fitness,Remise en forme,Fitness
瑜伽,yú jiā,Yoga,Yoga,Yoga,Ioga
太极,tài jí,Tai Chi,Tai Chi,Taï Chi,Tai Chi
比赛,bǐ sài,Competition,Competencia,Concurrence,Concorrência
赢,yíng,Win,Ganar,Gagner,Ganhe
输,shū,Lose,Perder,Perdre,Perder
锻炼,duàn liàn,Exercise,Ejercicio,Exercice,Exercício
体育,tǐ yù,Sports,Deportes,Sport,Esportes
做运动,zuò yùn dòng,Do sports,Hacer deporte,Faire du sport,Pratique esportes
爱运动,ài yùn dòng,Love sports,Me encantan los deportes,J'adore le sport,Adoro esportes
去跑步,qù pǎo bù,Go running,Sal a correr,Allez courir,Vá correndo
爱跑步,ài pǎo bù,Love running,Me encanta correr,J'adore courir,Adoro correr
去游泳,qù yóu yǒng,Go swimming,Ir a nadar,Allez nager,Vá nadar
爱游泳,ài yóu yǒng,Love swimming,Me encanta nadar,J'adore nager,Adoro nadar
去打球,qù dǎ qiú,Go play ball,Ve a jugar a la pelota,Allez jouer au ballon,Vai jogar bola
爱打球,ài dǎ qiú,Love playing ball,Me encanta jugar a la pelota,J'adore jouer au ballon,Adoro jogar bola
打篮球,dǎ lán qiú,Play basketball,Jugar baloncesto,Jouer au basket,Jogue basquete
爱篮球,ài lán qiú,Love basketball,Me encanta el baloncesto,J’adore le basket,Amo basquete
踢足球,tī zú qiú,Play football,Jugar al fútbol,Jouer au foot,Jogar futebol
爱足球,ài zú qiú,Love football,Me encanta el fútbol,J'adore le foot,Adoro futebol
打乒乓球,dǎ pīng pāng qiú,Play table tennis,Jugar al tenis de mesa,Jouer au tennis de table,Jogue tênis de mesa
爱乒乓球,ài pīng pāng qiú,Love table tennis,Me encanta el tenis de mesa,J'adore le tennis de table,Adoro tênis de mesa
打网球,dǎ wǎng qiú,Play tennis,Jugar tenis,Jouer au tennis,Jogar tênis
爱网球,ài wǎng qiú,Love tennis,Me encanta el tenis,J'adore le tennis,Adoro tênis
打羽毛球,dǎ yǔ máo qiú,Play badminton,Jugar al bádminton,Jouer au badminton,Jogue badminton
爱羽毛球,ài yǔ máo qiú,Love badminton,Me encanta el bádminton,J'adore le badminton,Adoro badminton
去健身,qù jiàn shēn,Go to fitness,Ir a fitness,Aller au fitness,Vá para o fitness
爱健身,ài jiàn shēn,Love fitness,Me encanta el fitness,J’adore le fitness,Adoro fitness
练瑜伽,liàn yú jiā,Practice yoga,Practica yoga,Pratiquer le yoga,Pratique ioga
爱瑜伽,ài yú jiā,Love yoga,Me encanta el yoga,J'adore le yoga,Adoro ioga
打太极,dǎ tài jí,Play Tai Chi,Jugar Tai Chi,Jouer au Tai Chi,Pratique Tai Chi
练太极,liàn tài jí,Practicing Tai Chi,Practicando Tai Chi,Pratiquer le Tai Chi,Praticando Tai Chi
看比赛,kàn bǐ sài,Watching competitions,Ver competiciones,Regarder des compétitions,Assistir competições
参加比赛,cān jiā bǐ sài,Participating in competitions,Participar en concursos,Participation à des concours,Participação em concursos
赢了,yíng le,Winning,Ganar,Gagner,Ganhar
要赢,yào yíng,To win,Para ganar,Pour gagner,Para vencer
输了,shū le,Losing,Perdiendo,Perdre,Perdendo
不输,bù shū,Not to lose,No perder,Ne pas perdre,Para não perder
去锻炼,qù duàn liàn,Go to exercise,Ir a hacer ejercicio,Aller à l'exercice,Vá fazer exercício
爱锻炼,ài duàn liàn,Love to exercise,Me encanta hacer ejercicio,J'adore faire de l'exercice,Adoro fazer exercícios
体育课,tǐ yù kè,Physical education classes,Clases de educación física,Cours d'éducation physique,Aulas de educação física
爱体育,ài tǐ yù,Love sports,Me encantan los deportes,Aime le sport,Adoro esportes
