Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
chinese,28,Body Parts,18,spanish,Vientre,Barriga,Vientre is formal/medical - native speakers say Barriga
chinese,28,Body Parts,53,spanish,Tocar el vientre,Tocar la barriga,Vientre is formal - use Barriga
chinese,28,Body Parts,54,spanish,Dar palmaditas en el vientre,Dar palmaditas en la barriga,Vientre is formal - use Barriga
chinese,31,Common Foods,28,english,Cucumber crisp,Crispy cucumber,Adjective should come before noun in English
chinese,31,Common Foods,28,spanish,Crujiente de pepino,Pepino crujiente,More natural word order in Spanish
chinese,31,Common Foods,28,portuguese,Crocante de pepino,Pepino crocante,More natural word order in Portuguese
chinese,34,Weather Words,4,english,Cloudy,Overcast,阴天 means overcast/grey sky - 多云 is cloudy
chinese,34,Weather Words,4,spanish,Nublado y gris,Gris,Overly descriptive - Gris matches overcast meaning
chinese,34,Weather Words,4,portuguese,Nublado e cinzento,Cinzento,Overly descriptive - Cinzento matches overcast meaning
chinese,41,School Life,17,english,Playground,Sports field,操场 is athletic field not playground
chinese,41,School Life,17,spanish,Zona de juegos,Campo deportivo,操场 is sports field not playground
chinese,41,School Life,17,french,Aire de jeux,Terrain de sport,操场 is sports field not playground
chinese,41,School Life,17,portuguese,Parque Infantil,Campo esportivo,操场 is sports field not playground
chinese,41,School Life,49,english,Go to the playground,Go to the sports field,操场 is sports field
chinese,41,School Life,49,spanish,Ir al patio de recreo,Ir al campo deportivo,操场 is sports field
chinese,41,School Life,49,french,Aller au terrain de jeux,Aller au terrain de sport,操场 is sports field
chinese,41,School Life,49,portuguese,Vá para o parquinho,Vá para o campo esportivo,操场 is sports field
chinese,41,School Life,50,english,In the playground,On the sports field,操场 is sports field
chinese,41,School Life,50,spanish,En el patio de recreo,En el campo deportivo,操场 is sports field
chinese,41,School Life,50,french,Dans la cour de récréation,Sur le terrain de sport,操场 is sports field
chinese,41,School Life,50,portuguese,No parquinho,No campo esportivo,操场 is sports field
chinese,48,Sports & Exercise,41,english,Play Tai Chi,Practice Tai Chi,You practice Tai Chi not play it
chinese,48,Sports & Exercise,41,spanish,Jugar Tai Chi,Practicar Tai Chi,You practice Tai Chi not play it
chinese,48,Sports & Exercise,41,french,Jouer au Tai Chi,Pratiquer le Tai Chi,You practice Tai Chi not play it
chinese,53,Location Words,22,english,middle,Middle,Capitalize for consistency
chinese,53,Location Words,24,english,inside,Inside,Capitalize for consistency
chinese,53,Location Words,38,english,Back,Step back,退后 means step back/move back not just back
chinese,53,Location Words,38,spanish,Volver,Retroceder,退后 means step back not return
chinese,53,Location Words,38,french,Retour,Reculer,退后 means step back not return
chinese,53,Location Words,38,portuguese,Voltar,Recuar,退后 means step back not return
chinese,53,Location Words,48,french,Les sections locales,Les locaux,Wrong translation - should be locals/local people
