chinese,pinyin,english,spanish,french,portuguese
文化,wén huà,Culture,Cultura,Culture,Cultura
传统,chuán tǒng,Tradition,Tradición,Tradition,Tradição
习俗,xí sú,Customs,Costumbres,Coutumes,Costumes
风俗,fēng sú,Folk customs,Costumbres populares,Coutumes folkloriques,Costumes populares
节日,jié rì,Festivals,Festivales,Fêtes,Festivais
春节,chūn jié,Spring Festival,Festival de Primavera,Fête du Printemps,Festival da Primavera
中秋节,zhōng qiū jié,Mid-Autumn Festival,Festival del Medio Otoño,Fête de la Mi-Automne,Festival do Meio Outono
端午节,duān wǔ jié,Dragon Boat Festival,Festival del Barco Dragón,Festival des bateaux-dragons,Festival do Barco-Dragão
清明节,qīng míng jié,Qingming Festival,Festival de Qingming,Fête de Qingming,Festival de Qingming
元宵节,yuán xiāo jié,Lantern Festival,Festival de los Faroles,Fête des Lanternes,Festival das Lanternas
红包,hóng bāo,Red envelope,Sobre rojo,Enveloppe rouge,Envelope vermelho
礼物,lǐ wù,Gift,Regalo,Cadeau,Presente
拜年,bài nián,New Year visit,Visita de año nuevo,Visite du Nouvel An,Visita de ano novo
团圆,tuán yuán,Reunion,Reunión,Réunion,Reunião
放鞭炮,fàng biān pào,Set off firecrackers,Encender petardos,Allumer des pétards,Acender fogos
贴春联,tiē chūn lián,Post Spring couplets,Pegar dísticos de primavera,Coller des distiques de printemps,Colar dísticos de primavera
中国文化,zhōng guó wén huà,Chinese culture,Cultura china,Culture chinoise,Cultura chinesa
学文化,xué wén huà,Learn culture,Aprender cultura,Apprendre la culture,Aprender cultura
传统的,chuán tǒng de,Traditional,Tradicional,Traditionnel,Tradicional
保持传统,bǎo chí chuán tǒng,Keep traditions,Mantener tradiciones,Garder les traditions,Manter tradições
习俗是,xí sú shì,The custom is,La costumbre es,La coutume est,O costume é
当地习俗,dāng dì xí sú,Local customs,Costumbres locales,Coutumes locales,Costumes locais
风俗习惯,fēng sú xí guàn,Customs and habits,Costumbres y hábitos,Coutumes et habitudes,Costumes e hábitos
本地风俗,běn dì fēng sú,Local folk customs,Costumbres populares locales,Coutumes folkloriques locales,Costumes populares locais
过节日,guò jié rì,Celebrate festivals,Celebrar festivales,Célébrer les fêtes,Celebrar festivais
什么节日,shén me jié rì,What festival,Qué festival,Quelle fête,Qual festival
过春节,guò chūn jié,Celebrate Spring Festival,Celebrar el Festival de Primavera,Célébrer la Fête du Printemps,Celebrar o Festival da Primavera
庆祝春节,qìng zhù chūn jié,Celebrate Spring Festival,Celebrar el Festival de Primavera,Célébrer la Fête du Printemps,Celebrar o Festival da Primavera
过中秋节,guò zhōng qiū jié,Celebrate Mid-Autumn Festival,Celebrar el Festival del Medio Otoño,Célébrer la Fête de la Mi-Automne,Celebrar o Festival do Meio Outono
庆祝中秋节,qìng zhù zhōng qiū jié,Celebrate Mid-Autumn Festival,Celebrar el Festival del Medio Otoño,Célébrer la Fête de la Mi-Automne,Celebrar o Festival do Meio Outono
过端午节,guò duān wǔ jié,Celebrate Dragon Boat Festival,Celebrar el Festival del Barco Dragón,Célébrer le Festival des bateaux-dragons,Celebrar o Festival do Barco-Dragão
庆祝端午节,qìng zhù duān wǔ jié,Celebrate Dragon Boat Festival,Celebrar el Festival del Barco Dragón,Célébrer le Festival des bateaux-dragons,Celebrar o Festival do Barco-Dragão
过清明节,guò qīng míng jié,Celebrate Qingming Festival,Celebrar el Festival de Qingming,Célébrer la Fête de Qingming,Celebrar o Festival de Qingming
是清明节,shì qīng míng jié,It's Qingming Festival,Es el Festival de Qingming,C'est la Fête de Qingming,É o Festival de Qingming
过元宵节,guò yuán xiāo jié,Celebrate Lantern Festival,Celebrar el Festival de los Faroles,Célébrer la Fête des Lanternes,Celebrar o Festival das Lanternas
庆祝元宵节,qìng zhù yuán xiāo jié,Celebrate Lantern Festival,Celebrar el Festival de los Faroles,Célébrer la Fête des Lanternes,Celebrar o Festival das Lanternas
发红包,fā hóng bāo,Give red envelopes,Dar sobres rojos,Donner des enveloppes rouges,Dar envelopes vermelhos
收红包,shōu hóng bāo,Receive red envelopes,Recibir sobres rojos,Recevoir des enveloppes rouges,Receber envelopes vermelhos
送礼物,sòng lǐ wù,Give gifts,Dar regalos,Offrir des cadeaux,Dar presentes
收礼物,shōu lǐ wù,Receive gifts,Recibir regalos,Recevoir des cadeaux,Receber presentes
去拜年,qù bài nián,Go for New Year visit,Ir a visitar por año nuevo,Aller faire une visite du Nouvel An,Ir fazer visita de ano novo
拜年好,bài nián hǎo,Happy New Year greetings,Felices saludos de año nuevo,Bons vœux du Nouvel An,Feliz ano novo
家人团圆,jiā rén tuán yuán,Family reunion,Reunión familiar,Réunion de famille,Reunião familiar
阖家团圆,hé jiā tuán yuán,Whole family reunion,Reunión de toda la familia,Réunion de toute la famille,Reunião de toda a família
放鞭炮吧,fàng biān pào ba,Let's set off firecrackers,Vamos a encender petardos,Allumons des pétards,Vamos acender fogos
去放鞭炮,qù fàng biān pào,Go set off firecrackers,Ir a encender petardos,Aller allumer des pétards,Ir acender fogos
贴春联吧,tiē chūn lián ba,Let's post Spring couplets,Vamos a pegar los dísticos,Collons les distiques de printemps,Vamos colar os dísticos
去贴春联,qù tiē chūn lián,Go post Spring couplets,Ir a pegar los dísticos,Aller coller les distiques,Ir colar os dísticos
