chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
人,rén,people,personas,les gens,pessoas,mọi người,คน,ប្រជាជន,orang,Orang,mga tao
心,xīn,heart,corazón,coeur,coração,trái tim,หัวใจ,ឈើ,jantung,hati,Puso
木,mù,wood,madera,bois,madeira,gỗ,ไม้,អគ្គិភ័យ,kayu,kayu,kahoy
火,huǒ,fire,fuego,feu,fogo,lửa,ไฟ,ផែនដី,api,Kebakaran,Sunog
土,tǔ,earth,tierra,terre,terra,trái đất,โลก,អណ្តាតភ្លើង,bumi,Bumi,Earth
日,rì,sun/day,sol/día,soleil/jour,sol/dia,mặt trời/ngày,ดวงอาทิตย์/วัน,ព្រះអាទិត្យ/ថ្ងៃ,matahari/hari,matahari/hari,araw
女,nǚ,woman,mujer,femme,mulher,phụ nữ,ผู้หญิง,ស្ត្រី,wanita,wanita,babae
田,tián,field,campo,champ,campo,cánh đồng,ทุ่งนา,វាល,sawah,sawah,bukid
目,mù,eye,ojo,oeil,olho,mắt,ตา,ភ្នែក,mata,mata,mata
耳,ěr,ear,oreja,oreille,orelha,tai,หู,ត្រចៀក,telinga,telinga,tainga
金,jīn,gold/metal,oro/metal,or/métal,ouro/metal,vàng/kim loại,ทอง/โลหะ,មាស/លោហៈ,emas/logam,emas/logam,ginto/metal
竹,zhú,bamboo,bambú,bambou,bambu,tre,ไม้ไผ่,ឫស្សី,bambu,buluh,kawayan
石,shí,stone,piedra,pierre,pedra,đá,หิน,ថ្ម,batu,batu,bato
雨,yǔ,rain,lluvia,pluie,chuva,mưa,ฝน,ភ្លៀង,hujan,hujan,ulan
虫,chóng,insect/bug,insecto,insecte,inseto,côn trùng,แมลง,សត្វល្អិត,serangga,serangga,insekto
言,yán,speech/word,palabra,parole,palavra,lời nói,คำพูด,ពាក្យ,kata,kata,salita
贝,bèi,shell,concha,coquillage,concha,vỏ sò,เปลือกหอย,សំបក,kerang,cengkerang,kabibe
足,zú,foot,pie,pied,pé,chân,เท้า,ជើង,kaki,kaki,paa
舌,shé,tongue,lengua,langue,língua,lưỡi,ลิ้น,អណ្ដាត,lidah,lidah,dila
人们,rén men,people,gente,gens,pessoas,mọi người,ผู้คน,មនុស្ស,orang-orang,orang,mga tao
有人,yǒu rén,someone,alguien,quelqu'un,alguém,có người,มีคน,មាននរណាម្នាក់,ada orang,ada orang,may tao
心里,xīn lǐ,in heart,en el corazón,dans le coeur,no coração,trong lòng,ในใจ,ក្នុងចិត្ត,di hati,dalam hati,sa puso
用心,yòng xīn,attentively,atentamente,attentivement,atentamente,cẩn thận,ตั้งใจ,ដោយយកចិត្តទុកដាក់,dengan hati-hati,dengan teliti,maalalahanin
木头,mù tou,wood/log,madera/tronco,bois/bûche,madeira/tora,gỗ/khúc gỗ,ไม้/ท่อนไม้,ឈើ,kayu/batang,kayu,kahoy
树木,shù mù,trees,árboles,arbres,árvores,cây cối,ต้นไม้,ដើមឈើ,pohon,pokok,puno
火焰,huǒ yàn,flame,llama,flamme,chama,ngọn lửa,เปลวไฟ,អណ្ដាតភ្លើង,api,api,apoy
着火,zháo huǒ,on fire,en llamas,en feu,em chamas,bốc cháy,ไฟไหม้,ឆេះ,terbakar,terbakar,nasusunog
土地,tǔ dì,land,tierra,terrain,terra,đất đai,ที่ดิน,ដី,tanah,tanah,lupa
泥土,ní tǔ,soil/mud,suelo/barro,sol/boue,solo/lama,đất bùn,ดิน/โคลน,ដី,tanah,tanah,lupa
日子,rì zi,days/life,días/vida,jours/vie,dias/vida,ngày tháng,วัน/ชีวิต,ថ្ងៃ,hari,hari,araw
每日,měi rì,daily,diario,quotidien,diário,hàng ngày,ทุกวัน,ប្រចាំថ្ងៃ,setiap hari,setiap hari,araw-araw
女人,nǚ rén,woman,mujer,femme,mulher,phụ nữ,ผู้หญิง,ស្ត្រី,wanita,wanita,babae
女孩,nǚ hái,girl,niña,fille,menina,cô gái,เด็กผู้หญิง,ក្មេងស្រី,gadis,gadis,batang babae
田地,tián dì,farmland,tierras de cultivo,champs,terras agrícolas,ruộng đất,ที่นา,វាលស្រែ,sawah,sawah,bukirin
农田,nóng tián,farmland,tierras agrícolas,terres agricoles,terras agrícolas,ruộng nông nghiệp,นาข้าว,ស្រែចំការ,lahan pertanian,tanah pertanian,lupang sakahan
目光,mù guāng,gaze,mirada,regard,olhar,ánh mắt,สายตา,ការសម្លឹងមើល,tatapan,pandangan,tingin
注目,zhù mù,attention,atención,attention,atenção,chú ý,ความสนใจ,ការយកចិត្តទុកដាក់,perhatian,perhatian,pansin
耳目,ěr mù,eyes and ears,ojos y oídos,yeux et oreilles,olhos e ouvidos,tai mắt,หูและตา,ភ្នែកនិងត្រចៀក,mata dan telinga,mata dan telinga,mata at tainga
入耳,rù ěr,pleasant to hear,agradable de oír,agréable à entendre,agradável de ouvir,dễ nghe,เข้าหู,ស្តាប់ពិរោះ,enak didengar,sedap didengar,nakakaaliw pakinggan
金子,jīn zi,gold,oro,or,ouro,vàng,ทอง,មាស,emas,emas,ginto
黄金,huáng jīn,gold,oro,or,ouro,vàng,ทองคำ,មាស,emas,emas,ginto
竹子,zhú zi,bamboo,bambú,bambou,bambu,tre,ไม้ไผ่,ឫស្សី,bambu,buluh,kawayan
竹林,zhú lín,bamboo grove,bosque de bambú,forêt de bambou,floresta de bambu,rừng trúc,ป่าไผ่,ព្រៃឫស្សី,hutan bambu,hutan buluh,kagubatan ng kawayan
石块,shí kuài,stone,piedra,pierre,pedra,đá,หิน,ថ្ម,batu,batu,bato
岩石,yán shí,rock,roca,roche,rocha,đá,หิน,ថ្មធំ,batu,batu,bato
雨天,yǔ tiān,rainy day,día lluvioso,jour de pluie,dia chuvoso,ngày mưa,วันฝนตก,ថ្ងៃភ្លៀង,hari hujan,hari hujan,araw ng ulan
雨季,yǔ jì,rainy season,temporada de lluvias,saison des pluies,estação chuvosa,mùa mưa,ฤดูฝน,រដូវភ្លៀង,musim hujan,musim hujan,tag-ulan
虫子,chóng zi,bug/insect,insecto,insecte,inseto,côn trùng,แมลง,សត្វល្អិត,serangga,serangga,insekto
昆虫,kūn chóng,insect,insecto,insecte,inseto,côn trùng,แมลง,សត្វល្អិត,serangga,serangga,insekto
言语,yán yǔ,speech/words,palabras,paroles,palavras,lời nói,คำพูด,ពាក្យសម្តី,ucapan,ucapan,pananalita
发言,fā yán,to speak,hablar,parler,falar,phát biểu,พูด,និយាយ,berbicara,bercakap,magsalita
贝壳,bèi ké,shell,concha,coquillage,concha,vỏ sò,เปลือกหอย,សំបក,kerang,cengkerang,kabibe
宝贝,bǎo bèi,baby/treasure,bebé/tesoro,bébé/trésor,bebê/tesouro,em bé/kho báu,ที่รัก/ขุมทรัพย์,កូន/កំណប់,sayang/harta,sayang/harta,baby/yaman
立足,lì zú,foothold/establish,punto de apoyo,point d'appui,ponto de apoio,chỗ đứng,ที่ยืน,កន្លែងឈរ,pijakan,pijakan,katatayuan
手足,shǒu zú,siblings/brothers,hermanos,frères et sœurs,irmãos,anh em,พี่น้อง,បងប្អូន,saudara,adik-beradik,mga kapatid
舌尖,shé jiān,tip of tongue,punta de la lengua,bout de la langue,ponta da língua,đầu lưỡi,ปลายลิ้น,ចុងអណ្តាត,ujung lidah,hujung lidah,dulo ng dila
口舌,kǒu shé,quarrel/dispute,disputa,dispute,disputa,tranh cãi,ทะเลาะ,ជម្លោះ,pertengkaran,perselisihan,pagtatalo
