chinese,pinyin,english,spanish,french,portuguese
介绍,jiè shào,Introduction,Introducción,Présentation,Introdução
怎么样,zěn me yàng,How is it,Cómo está,Comment ça va,Como está
老样子,lǎo yàng zi,Same as usual,Lo mismo de siempre,Comme d'habitude,O mesmo de sempre
聚会,jù huì,Gathering,Reunión,Fête,Reunião
联系,lián xì,Contact,Contacto,Contacter,Contato
保持联系,bǎo chí lián xì,Keep in touch,Mantenerse en contacto,Rester en contact,Manter contato
顺利,shùn lì,Smoothly,Sin problemas,Sans problème,Sem problemas
朋友,péng yǒu,Friends,Amigos,Amis,Amigos
熟人,shú rén,Acquaintances,Conocidos,Connaissances,Conhecidos
陌生人,mò shēng rén,Strangers,Extraños,Étrangers,Estranhos
交往,jiāo wǎng,Interact,Interactuar,Interagir,Interagir
相处,xiāng chǔ,Get along,Llevarse bien,S'entendre,Conviver
往来,wǎng lái,Contact,Contacto,Contact,Contato
熟悉,shú xī,Familiar,Familiar,Familier,Familiar
亲近,qīn jìn,Close,Cercano,Proche,Próximo
融洽,róng qià,Harmonious,Armonioso,Harmonieux,Harmonioso
冷落,lěng luò,Neglect,Descuidar,Négliger,Negligenciar
自我介绍,zì wǒ jiè shào,Self-introduction,Autopresentación,Se présenter,Autoapresentação
来介绍,lái jiè shào,Come introduce,Ven a presentar,Viens présenter,Venha apresentar
最近怎么样,zuì jìn zěn me yàng,How have you been,Cómo has estado,Comment vas-tu,Como você tem passado
你怎么样,nǐ zěn me yàng,How are you,Cómo estás,Comment vas-tu,Como você está
还是老样子,hái shì lǎo yàng zi,Still the same,Sigue igual,Toujours pareil,Ainda o mesmo
就老样子,jiù lǎo yàng zi,Just the same,Igual que siempre,Comme d'habitude,Como sempre
参加聚会,cān jiā jù huì,Attend a party,Asistir a una fiesta,Assister à une fête,Participar de uma festa
办聚会,bàn jù huì,Host a party,Organizar una fiesta,Organiser une fête,Dar uma festa
联系我,lián xì wǒ,Contact me,Contáctame,Contactez-moi,Me contate
常联系,cháng lián xì,Keep in touch often,Mantenerse en contacto frecuente,Rester en contact souvent,Manter contato frequente
保持联系吧,bǎo chí lián xì ba,Let's keep in touch,Mantengamos el contacto,Restons en contact,Vamos manter contato
要保持联系,yào bǎo chí lián xì,Need to keep in touch,Hay que mantener el contacto,Il faut garder le contact,Precisa manter contato
很顺利,hěn shùn lì,Very smooth,Muy bien,Très bien,Muito bem
一切顺利,yī qiè shùn lì,Everything goes smoothly,Todo va bien,Tout se passe bien,Tudo corre bem
好朋友,hǎo péng yǒu,Good friends,Buenos amigos,Bons amis,Bons amigos
交朋友,jiāo péng yǒu,Make friends,Hacer amigos,Se faire des amis,Fazer amigos
是熟人,shì shú rén,Is an acquaintance,Es un conocido,C'est une connaissance,É um conhecido
见到熟人,jiàn dào shú rén,Meet an acquaintance,Encontrar a un conocido,Rencontrer une connaissance,Encontrar um conhecido
是陌生人,shì mò shēng rén,Is a stranger,Es un extraño,C'est un étranger,É um estranho
遇到陌生人,yù dào mò shēng rén,Meet a stranger,Encontrar a un extraño,Rencontrer un étranger,Encontrar um estranho
正常交往,zhèng cháng jiāo wǎng,Normal interaction,Interacción normal,Interaction normale,Interação normal
互相交往,hù xiāng jiāo wǎng,Interact with each other,Interactuar entre sí,Interagir les uns avec les autres,Interagir uns com os outros
好相处,hǎo xiāng chǔ,Easy to get along with,Fácil de llevarse bien,Facile à vivre,Fácil de conviver
容易相处,róng yì xiāng chǔ,Easy to get along,Fácil de llevarse bien,Facile à côtoyer,Fácil de conviver
有往来,yǒu wǎng lái,Have contact,Tener contacto,Avoir des contacts,Ter contato
经常往来,jīng cháng wǎng lái,Frequent contact,Contacto frecuente,Contacts fréquents,Contato frequente
很熟悉,hěn shú xī,Very familiar,Muy familiar,Très familier,Muito familiar
不熟悉,bù shú xī,Not familiar,No familiar,Pas familier,Não familiar
很亲近,hěn qīn jìn,Very close,Muy cercano,Très proche,Muito próximo
不亲近,bù qīn jìn,Not close,No cercano,Pas proche,Não próximo
很融洽,hěn róng qià,Very harmonious,Muy armonioso,Très harmonieux,Muito harmonioso
相处融洽,xiāng chǔ róng qià,Get along harmoniously,Llevarse bien armoniosamente,S'entendre harmonieusement,Conviver harmoniosamente
被冷落,bèi lěng luò,Being neglected,Ser ignorado,Être négligé,Ser negligenciado
别冷落,bié lěng luò,Don't neglect,No ignores,Ne négligez pas,Não negligencie
