chinese,pinyin,english,spanish,french,portuguese
东西,dōng xī,thing,cosa,chose,coisa
物品,wù pǐn,object,objeto,objet,objeto
事情,shì qíng,thing,cosa,chose,coisa
事物,shì wù,thing,cosa,chose,coisa
类型,lèi xíng,type,tipo,type,tipo
种类,zhǒng lèi,kind,tipo,type,tipo
样子,yàng zi,appearance,apariencia,apparence,aparência
形状,xíng zhuàng,shape,forma,forme,forma
外观,wài guān,appearance,apariencia,apparence,aparência
大小,dà xiǎo,size,tamaño,taille,tamanho
尺寸,chǐ cùn,size,tamaño,taille,tamanho
长度,cháng dù,length,longitud,longueur,comprimento
重量,zhòng liàng,weight,peso,poids,peso
材料,cái liào,material,materiales,matériel,materiais
材质,cái zhì,material,materiales,matériel,materiais
质地,zhì dì,texture,textura,textures,textura
有东西,yǒu dōng xī,something,algo,quelque chose,alguma coisa
什么东西,shén me dōng xī,something,algo,quelque chose,alguma coisa
贵重物品,guì zhòng wù pǐn,valuables,objetos de valor,objets de valeur,objetos de valor
个人物品,gè rén wù pǐn,personal belongings,efectos personales,effets personnels,pertences pessoais
这件事情,zhè jiàn shì qíng,this thing,esta cosa,cette chose,essa coisa
什么事情,shén me shì qíng,something,algo,quelque chose,alguma coisa
各种事物,gè zhǒng shì wù,Various things,Varias cosas,Diverses choses,Várias coisas
新事物,xīn shì wù,New things,Cosas nuevas,Des nouveautés,Coisas novas
什么类型,shén me lèi xíng,What type,Que tipo,Quel type,Que tipo
这种类型,zhè zhǒng lèi xíng,This type,Este tipo,Ce type,Este tipo
什么种类,shén me zhǒng lèi,What kind,Que tipo,Quel genre,Que tipo
各种种类,gè zhǒng zhǒng lèi,Various kinds,Varios tipos,Différents types,Vários tipos
什么样子,shén me yàng zi,What it looks like,Cómo se ve,À quoi ça ressemble,Como é
这样子,zhè yàng zi,This way,De esta manera,Par ici,Por aqui
什么形状,shén me xíng zhuàng,What shape,¿Qué forma,Quelle forme,Que forma
圆形状,yuán xíng zhuàng,Round shape,Forma redonda,Forme ronde,Formato redondo
外观好,wài guān hǎo,Good appearance,Buena apariencia,Bonne apparence,Boa aparência
看外观,kàn wài guān,Look at the appearance,Mira la apariencia,Regardez l'apparence,Olha a aparência
大小合适,dà xiǎo hé shì,Suitable size,Tamaño adecuado,Taille appropriée,Tamanho adequado
什么大小,shén me dà xiǎo,What size,¿Qué talla,Quelle taille,Qual tamanho
尺寸对,chǐ cùn duì,Right size,Tamaño correcto,Bonne taille,Tamanho correto
量尺寸,liàng chǐ cùn,Measuring size,Tamaño de medición,Mesure de la taille,Medindo tamanho
长度够,cháng dù gòu,Length is enough,La longitud es suficiente,La longueur est suffisante,O comprimento é suficiente
测长度,cè cháng dù,Measuring length,Longitud de medición,Longueur de mesure,Medição do comprimento
重量轻,zhòng liàng qīng,Light weight,Peso ligero,Poids léger,Peso leve
称重量,chēng zhòng liàng,Weighing weight,Peso de pesaje,Pesée du poids,Pesagem
材料好,cái liào hǎo,Good material,Buen material,Bon matériel,Bom material
用材料,yòng cái liào,Material used,Material utilizado,Matériel utilisé,Material utilizado
材质好,cái zhì hǎo,Good material,Buen material,Bon matériel,Bom material
看材质,kàn cái zhì,Look at the material,Mira el material,Regardez le matériel,Veja o material
质地软,zhì dì ruǎn,Soft texture,Textura suave,Texture douce,Textura macia
好质地,hǎo zhì dì,Good texture,buena textura,Bonne texture,Boa textura
