chinese,pinyin,english,spanish,french,portuguese
房子,fáng zi,House,Casa,Maison,Casa
房间,fáng jiān,Room,Habitación,Chambre,Quarto
门,mén,Door,Puerta,Porte,Porta
窗户,chuāng hù,Window,Ventana,Fenêtre,Janela
墙,qiáng,Wall,Muro,Mur,Parede
地板,dì bǎn,Floor,Piso,Sol,Piso
天花板,tiān huā bǎn,Ceiling,Techo,Plafond,Teto
客厅,kè tīng,Living room,Sala de estar,Salon,Sala de estar
卧室,wò shì,Bedroom,Dormitorio,Chambre,Quarto
厨房,chú fáng,Kitchen,Cocina,Cuisine,Cozinha
卫生间,wèi shēng jiān,Bathroom,Cuarto de baño,Salle de bain,Banheiro
浴室,yù shì,Bathroom,Cuarto de baño,Salle de bain,Banheiro
阳台,yáng tái,Balcony,Balcón,Balcon,Varanda
楼梯,lóu tī,Stairs,Escaleras,Escaliers,Escadas
电梯,diàn tī,Elevator,Ascensor,Ascenseur,Elevador
花园,huā yuán,Garden,Jardín,Jardin,Jardim
车库,chē kù,Garage,Garaje,Garage,Garagem
大房子,dà fáng zi,Big house,Casa grande,Grande maison,Casa grande
买房子,mǎi fáng zi,Buy a house,Comprar una casa,Acheter une maison,Comprar uma casa
小房间,xiǎo fáng jiān,Small room,Habitación pequeña,Petite chambre,Quarto pequeno
进房间,jìn fáng jiān,Enter the room,Entra a la habitación,Entrez dans la pièce,Entre na sala
开门,kāi mén,Open the door,Abre la puerta,Ouvrez la porte,Abra a porta
关门,guān mén,Close the door,Cierra la puerta,Fermez la porte,Feche a porta
开窗户,kāi chuāng hù,Open the window,Abre la ventana,Ouvrez la fenêtre,Abra a janela
关窗户,guān chuāng hù,Close the window,Cierra la ventana,Fermez la fenêtre,Feche a janela
白墙,bái qiáng,White wall,Pared blanca,Mur blanc,Parede branca
刷墙,shuā qiáng,Paint the wall,Pintar la pared,Peindre le mur,Pintar a parede
木地板,mù dì bǎn,Wooden floor,Suelo de madera,Parquet,Piso de madeira
擦地板,cā dì bǎn,Clean the floor,Limpiar el suelo,Nettoyer le sol,Limpe o chão
天花板高,tiān huā bǎn gāo,High ceiling,Techo alto,Haut plafond,Teto alto
看天花板,kàn tiān huā bǎn,Look at the ceiling,Mira el techo,Regardez le plafond,Olha o teto
大客厅,dà kè tīng,Large living room,Amplio salón,Grand séjour,Sala ampla
在客厅,zài kè tīng,In the living room,En el salón,Dans le salon,Na sala
大卧室,dà wò shì,Large bedroom,Dormitorio grande,Grande chambre,Quarto grande
在卧室,zài wò shì,In the bedroom,En el dormitorio,Dans la chambre,No quarto
小厨房,xiǎo chú fáng,Small kitchen,Cocina pequeña,Petite cuisine,Cozinha pequena
在厨房,zài chú fáng,In the kitchen,En la cocina,Dans la cuisine,Na cozinha
去卫生间,qù wèi shēng jiān,Go to the bathroom,Ir al baño,Aller aux toilettes,Vá ao banheiro
在卫生间,zài wèi shēng jiān,In the bathroom,En el baño,Dans la salle de bain,No banheiro
去浴室,qù yù shì,Go to the bathroom,Ir al baño,Aller aux toilettes,Vá ao banheiro
在浴室,zài yù shì,In the bathroom,En el baño,Dans la salle de bain,No banheiro
小阳台,xiǎo yáng tái,Small balcony,Balcón pequeño,Petit balcon,Varanda pequena
在阳台,zài yáng tái,On the balcony,En el balcón,Sur le balcon,Na varanda
爬楼梯,pá lóu tī,Climb the stairs,Sube las escaleras,Montez les escaliers,Suba as escadas
走楼梯,zǒu lóu tī,Take the stairs,Sube las escaleras,Prenez les escaliers,Suba as escadas
坐电梯,zuò diàn tī,Take the elevator,Toma el ascensor,Prenez l'ascenseur,Pegue o elevador
等电梯,děng diàn tī,Wait for the elevator,Espera el ascensor,Attendez l'ascenseur,Espere o elevador
小花园,xiǎo huā yuán,Small garden,Pequeño jardín,Petit jardin,Pequeno jardim
在花园,zài huā yuán,In the garden,En el jardín,Dans le jardin,No jardim
大车库,dà chē kù,Large garage,Amplio garaje,Grand garage,Grande garagem
在车库,zài chē kù,In the garage,En el garaje,Dans le garage,Na garagem
