chinese,pinyin,english,spanish,french,portuguese
干燥,gān zào,Dry,Seco,Sec,Seco
雨伞,yǔ sǎn,Umbrella,Paraguas,Parapluie,Guarda-chuva
防晒,fáng shài,Sunscreen,Protector solar,Crème solaire,Protetor solar
变天,biàn tiān,Change of weather,Cambio de clima,Changement de temps,Mudança de clima
转凉,zhuǎn liáng,Getting cooler,Refrescando,Se rafraîchissant,Esfriando
转暖,zhuǎn nuǎn,Getting warmer,Calentándose,Se réchauffant,Esquentando
骤降,zhòu jiàng,Sudden drop,Caída brusca,Chute soudaine,Queda brusca
回暖,huí nuǎn,Warming up,Calentamiento,Réchauffement,Aquecimento
入冬,rù dōng,Enter winter,Entrada del invierno,Début de l'hiver,Início do inverno
入夏,rù xià,Enter summer,Entrada del verano,Début de l'été,Início do verão
梅雨,méi yǔ,Rainy season,Temporada de lluvias,Saison des pluies,Estação chuvosa
台风,tái fēng,Typhoon,Tifón,Typhon,Tufão
沙尘,shā chén,Dust storm,Tormenta de arena,Tempête de sable,Tempestade de areia
雾霾,wù mái,Haze,Neblina,Brume,Neblina
晴朗,qíng lǎng,Sunny,Soleado,Ensoleillé,Ensolarado
阴沉,yīn chén,Overcast,Nublado,Couvert,Nublado
闷热,mēn rè,Hot and humid,Sofocante,Étouffant,Abafado
很干燥,hěn gān zào,Very dry,Muy seco,Très sec,Muito seco
天气干燥,tiān qì gān zào,Dry weather,Clima seco,Temps sec,Tempo seco
带雨伞,dài yǔ sǎn,Bring an umbrella,Trae un paraguas,Apportez un parapluie,Traga um guarda-chuva
买雨伞,mǎi yǔ sǎn,Buy an umbrella,Compra un paraguas,Acheter un parapluie,Compre um guarda-chuva
要防晒,yào fáng shài,Need sun protection,Necesita protección solar,Besoin de protection solaire,Precisa de proteção solar
做防晒,zuò fáng shài,Apply sun protection,Aplicar protección solar,Appliquer une protection solaire,Aplique proteção solar
要变天,yào biàn tiān,The weather is going to change,El clima va a cambiar,Le temps va changer,O tempo vai mudar
快变天,kuài biàn tiān,The weather is changing soon,El clima cambiará pronto,Le temps change bientôt,O tempo vai mudar em breve
天气转凉,tiān qì zhuǎn liáng,The weather is getting cooler,El clima se está volviendo más fresco,Le temps se rafraîchit,O tempo está esfriando
开始转凉,kāi shǐ zhuǎn liáng,Starting to get cooler,Empezando a hacer más fresco,Il commence à faire plus frais,Começando a ficar mais legal
天气转暖,tiān qì zhuǎn nuǎn,The weather is getting warmer,El clima se está volviendo más cálido,Le temps se réchauffe,O tempo está esquentando
开始转暖,kāi shǐ zhuǎn nuǎn,Starting to get warmer,Empieza a hacer más calor,Il commence à faire plus chaud,Começando a esquentar
气温骤降,qì wēn zhòu jiàng,Temperature drops,Descensos de temperatura,Chutes de température,Quedas de temperatura
温度骤降,wēn dù zhòu jiàng,Temperature drop,Caída de temperatura,Baisse de température,Queda de temperatura
天气回暖,tiān qì huí nuǎn,The weather is getting warmer,El clima se está volviendo más cálido,Le temps se réchauffe,O tempo está esquentando
开始回暖,kāi shǐ huí nuǎn,Starting to warm up,Empezando a calentar,Je commence à m'échauffer,Começando a esquentar
已入冬,yǐ rù dōng,Winter has come,Ha llegado el invierno,L'hiver est arrivé,O inverno chegou
快入冬,kuài rù dōng,Winter is coming soon,El invierno llegará pronto,L'hiver arrive bientôt,O inverno está chegando
已入夏,yǐ rù xià,Summer is coming,Se acerca el verano,L'été arrive,O verão está chegando
快入夏,kuài rù xià,Summer is coming soon,El verano llegará pronto,L'été arrive bientôt,O verão está chegando
梅雨季,méi yǔ jì,Plum rainy season,Temporada de lluvias de ciruela,Saison des pluies des prunes,Época das chuvas da ameixa
下梅雨,xià méi yǔ,It rains,Llueve,Il pleut,Chove
有台风,yǒu tái fēng,There is a typhoon,Hay un tifón,Il y a un typhon,Há um tufão
刮台风,guā tái fēng,There is a typhoon,Hay un tifón,Il y a un typhon,Há um tufão
有沙尘,yǒu shā chén,There is sand and dust,Hay arena y polvo,Il y a du sable et de la poussière,Tem areia e poeira
起沙尘,qǐ shā chén,There is dust,Hay polvo,Il y a de la poussière,Tem poeira
有雾霾,yǒu wù mái,There is haze,Hay neblina,Il y a de la brume,Há neblina
出现雾霾,chū xiàn wù mái,There is haze,Hay neblina,Il y a de la brume,Há neblina
天气晴朗,tiān qì qíng lǎng,The weather is sunny,El tiempo está soleado,Le temps est ensoleillé,O tempo está ensolarado
很晴朗,hěn qíng lǎng,Very sunny,Muy soleado,Très ensoleillé,Muito ensolarado
天气阴沉,tiān qì yīn chén,The weather is gloomy,El clima está sombrío,Le temps est maussade,O tempo está sombrio
很阴沉,hěn yīn chén,Very gloomy,Muy sombrío,Très sombre,Muito sombrio
天气闷热,tiān qì mèn rè,The weather is sultry,El clima es bochornoso,Le temps est étouffant,O tempo está abafado
很闷热,hěn mēn rè,Very hot and humid,Muy sofocante,Très étouffant,Muito abafado
