chinese,pinyin,english,spanish,french,portuguese
预约,yù yuē,Appointment,Cita,Rendez-vous,Agendamento
下周,xià zhōu,Next week,La próxima semana,La semaine prochaine,Semana que vem
改期,gǎi qī,Reschedule,Reprogramar,Reprogrammer,Reagendar
确认,què rèn,Confirm,Confirmar,Confirmer,Confirmar
等候,děng hòu,Waiting,Esperando,En attente,Esperando
排队,pái duì,Queue,Cola,File d'attente,Fila
叫号,jiào hào,Call number,Número de llamada,Numéro d'appel,Chamada de número
预约号,yù yuē hào,Appointment number,Número de cita,Numéro de rendez-vous,Número da consulta
候诊,hòu zhěn,Waiting,Esperando,En attente,Esperando
就诊,jiù zhěn,Medical treatment,Tratamiento médico,Traitement médical,Tratamento médico
问诊,wèn zhěn,Consultation,Consulta,Consultations,Consulta
专家号,zhuān jiā hào,Expert number,Número de experto,Numéro d'expert,Número do especialista
普通号,pǔ tōng hào,Ordinary number,Número ordinario,Numéro ordinaire,Número normal
约号,yuē hào,Appointment number,Número de cita,Numéro de rendez-vous,Número da consulta
要预约,yào yù yuē,Make an appointment,Concierte una cita,Prendre rendez-vous,Marque uma consulta
已预约,yǐ yù yuē,Already made an appointment,Ya concerté una cita,Déjà pris rendez-vous,Já marquei consulta
下周见,xià zhōu jiàn,See you next week,Nos vemos la próxima semana,A la semaine prochaine,Até semana que vem
等下周,děng xià zhōu,Wait for next week,Espera a la próxima semana,Attendez la semaine prochaine,Aguarde até a próxima semana
要改期,yào gǎi qī,Want to reschedule,Quiere reprogramar,Vous souhaitez reprogrammer,Quer reagendar
能改期,néng gǎi qī,Can reschedule,Puede reprogramar,Peut reprogrammer,Pode reagendar
确认下,què rèn xià,Confirm,Confirmar,Confirmer,Confirmar
请确认,qǐng què rèn,Please confirm,Por favor confirme,Veuillez confirmer,Por favor confirme
等候中,děng hòu zhōng,Waiting,Esperando,En attente,Esperando
请等候,qǐng děng hòu,Please wait,Por favor espera,Veuillez patienter,Aguarde
排队中,pái duì zhōng,Queuing,Cola,File d'attente,Na fila
去排队,qù pái duì,Go to the queue,Ir a la cola,Aller à la file d'attente,Vá para a fila
叫号了,jiào hào le,The number has been called,El número ha sido llamado,Le numéro a été appelé,O número foi chamado
等叫号,děng jiào hào,Waiting for the number,Esperando el número,En attente du numéro,Esperando pelo número
有预约号,yǒu yù yuē hào,There is an appointment number,Hay un número de cita,Il y a un numéro de rendez-vous,Existe um número de agendamento
拿预约号,ná yù yuē hào,Get the appointment number,Obtenga el número de cita,Obtenir le numéro de rendez-vous,Obtenha o número da consulta
候诊中,hòu zhěn zhōng,Waiting,Esperando,En attente,Esperando
在候诊,zài hòu zhěn,Waiting for treatment,Esperando tratamiento,En attente d'un traitement,Aguardando tratamento
去就诊,qù jiù zhěn,Go for treatment,Ir a tratamiento,Optez pour un traitement,Vá fazer tratamento
准备就诊,zhǔn bèi jiù zhěn,Prepare for treatment,Prepárese para el tratamiento,Préparez-vous au traitement,Prepare-se para o tratamento
问诊中,wèn zhěn zhōng,In consultation,En consulta,En consultation,Em consulta
开始问诊,kāi shǐ wèn zhěn,Start consultation,Iniciar consulta,Commencer la consultation,Iniciar consulta
挂专家号,guà zhuān jiā hào,Make an appointment with an expert,Pide cita con un experto,Prendre rendez-vous avec un expert,Marque uma consulta com um especialista
约专家号,yuē zhuān jiā hào,Make an appointment with an expert,Pide cita con un experto,Prendre rendez-vous avec un expert,Marque uma consulta com um especialista
挂普通号,guà pǔ tōng hào,Register for regular appointment,Concertar cita con un número ordinario,Prendre rendez-vous avec un numéro ordinaire,Marque uma consulta com um número normal
约普通号,yuē pǔ tōng hào,Register for regular appointment,Concertar cita con un número ordinario,Prendre rendez-vous avec un numéro ordinaire,Marque uma consulta com um número normal
去约号,qù yuē hào,Go to the appointment number,Ir al número de cita,Accédez au numéro de rendez-vous,Acesse o número do agendamento
已约号,yǐ yuē hào,Already made an appointment,Ya concerté una cita,Déjà pris rendez-vous,Já marquei uma consulta
