chinese,pinyin,english,spanish,french,portuguese
直走,zhí zǒu,Go straight,Siga recto,Allez tout droit,Siga em frente
左转,zuǒ zhuǎn,Turn left,Gira a la izquierda,Tourner à gauche,Vire à esquerda
右转,yòu zhuǎn,Turn right,Gira a la derecha,Tourner à droite,Vire à direita
拐弯,guǎi wān,Turn,Girar,Tourner,Vire
路口,lù kǒu,Intersection,Intersección,Intersection,Interseção
十字路口,shí zì lù kǒu,Crossroads,Encrucijada,Carrefour,Encruzilhada
红绿灯,hóng lǜ dēng,Traffic lights,Semáforos,Feux de circulation,Semáforos
前方,qián fāng,Ahead,Adelante,En avant,À frente
右侧,yòu cè,Right,Derecha,À droite,Certo
左侧,zuǒ cè,Left,Izquierda,Gauche,Esquerda
距离,jù lí,Distance,Distancia,Distance,Distância
方向,fāng xiàng,Direction,Dirección,Direction,Direção
地址,dì zhǐ,Address,Dirección,Adresse,Endereço
目的地,mù dì dì,Destination,Destino,Destination,Destino
导航,dǎo háng,Navigation,Navegación,Navigation,Navegação
地图,dì tú,Map,Mapa,Carte,Mapa
往前直走,wǎng qián zhí zǒu,Go straight ahead,Siga recto,Allez tout droit,Siga em frente
请直走,qǐng zhí zǒu,Please go straight,"Por favor, sigue recto","S'il vous plaît, allez tout droit","Por favor, siga em frente"
向左左转,xiàng zuǒ zuǒ zhuǎn,Turn left,Gira a la izquierda,Tourner à gauche,Vire à esquerda
请左转,qǐng zuǒ zhuǎn,Please turn left,Por favor gire a la izquierda,Veuillez tourner à gauche,"Por favor, vire à esquerda"
向右右转,xiàng yòu yòu zhuǎn,Turn right,Gira a la derecha,Tourner à droite,Vire à direita
请右转,qǐng yòu zhuǎn,Please turn right,Por favor gira a la derecha,Veuillez tourner à droite,"Por favor, vire à direita"
在那拐弯,zài nà guǎi wān,Turn there,Gira allí,Tournez-y,Vira aí
要拐弯,yào guǎi wān,To turn,Girar,Pour tourner,Para virar
到路口,dào lù kǒu,To the intersection,A la intersección,Jusqu'au carrefour,Para o cruzamento
过路口,guò lù kǒu,Crossing,Cruce,Traversée,Cruzando
到十字路口,dào shí zì lù kǒu,To the intersection,A la intersección,Jusqu'au carrefour,Para o cruzamento
过十字路口,guò shí zì lù kǒu,Cross the intersection,Cruzar la intersección,Traverser le carrefour,Atravesse o cruzamento
看红绿灯,kàn hóng lǜ dēng,Look at the traffic light,Mira el semáforo,Regardez le feu de circulation,Olha o semáforo
等红绿灯,děng hóng lǜ dēng,Wait for the traffic light,Espera el semáforo,Attendez le feu tricolore,Espere o semáforo
前方到达,qián fāng dào dá,Arrive ahead,Llegue adelante,Arrivez en avance,Chegue na frente
看前方,kàn qián fāng,Look ahead,Mirar hacia adelante,Regarder vers l'avenir,Olhe para frente
在右侧,zài yòu cè,On the right,A la derecha,À droite,À direita
看右侧,kàn yòu cè,Look on the right,Mira a la derecha,Regardez à droite,Olhe à direita
在左侧,zài zuǒ cè,On the left,A la izquierda,A gauche,À esquerda
看左侧,kàn zuǒ cè,Look on the left,Mira a la izquierda,Regardez à gauche,Olhe à esquerda
距离远,jù lí yuǎn,Far away,Lejos,Loin,Longe
有距离,yǒu jù lí,There is a distance,Hay una distancia,Il y a une distance,Há uma distância
什么方向,shén me fāng xiàng,What direction,¿En qué dirección,Dans quelle direction,Que direção
看方向,kàn fāng xiàng,Look at the direction,Mira la dirección,Regardez la direction,Olha a direção
地址是,dì zhǐ shì,The address is,La dirección es,L'adresse est,O endereço é
写地址,xiě dì zhǐ,Write the address,Escribe la dirección,Écrivez l'adresse,Escreva o endereço
到目的地,dào mù dì dì,Go to the destination,Ir al destino,Aller à la destination,Vá para o destino
去目的地,qù mù dì dì,Go to the destination,Ir al destino,Aller à la destination,Vá para o destino
开导航,kāi dǎo háng,Open navigation,Abrir navegación,Ouvrir la navigation,Abrir navegação
用导航,yòng dǎo háng,Use navigation,Usar navegación,Utiliser la navigation,Usar navegação
看地图,kàn dì tú,View map,Ver mapa,Voir la carte,Ver mapa
用地图,yòng dì tú,Use map,Usar mapa,Utiliser la carte,Usar mapa
