chinese,pinyin,english,spanish,french,portuguese
放,fàng,put,poner,mettre,colocar
带,dài,bring,traer,apporter,trazer
送,sòng,send,enviar,envoyer,enviar
接,jiē,pick up,recoger,récupérer,pegar
找,zhǎo,find,encontrar,trouver,encontrar
买,mǎi,buy,comprar,acheter,comprar
卖,mài,sell,vender,vendre,vender
租,zū,rent,alquiler,louer,alugar
借,jiè,borrow,pedir prestado,emprunter,pedir emprestado
还,hái,return,devolver,rendre,devolver
教,jiào,teach,enseñar,enseigner,ensinar
学,xué,learn,aprender,apprendre,aprender
问,wèn,ask,preguntar,demander,perguntar
答,dá,answer,responder,répondre,responder
告诉,gào sù,tell,decir,dire,contar
认识,rèn shí,know,conocer,connaître,conhecer
记,jì,remember,recordar,se souvenir,lembrar
忘,wàng,forget,olvidar,oublier,esquecer
搬,bān,move,mover,bouger,mover
挪,nuó,move,mover,bouger,mover
放下,fàng xià,put down,dejar,déposer,abaixar
放好,fàng hǎo,put away,guardar,ranger,guardar
带走,dài zǒu,take away,para llevar,à emporter,levar embora
带上,dài shàng,bring,traer,apporter,trazer
送人,sòng rén,Give as a gift,Dar como regalo,Offrir en cadeau,Dar de presente
送走,sòng zǒu,Send away,Enviar lejos,Renvoyer,Manda embora
接人,jiē rén,Pick someone up,Recoger a alguien,Aller chercher quelqu'un,Buscar alguém
接住,jiē zhù,Catch it,Atrapar,Attraper,Pegar
找到,zhǎo dào,Find,Encontrar,Trouver,Encontrar
找人,zhǎo rén,Find someone,Encuentra a alguien,Trouver quelqu'un,Encontre alguém
买东西,mǎi dōng xī,Buy something,Compra algo,Acheter quelque chose,Compre algo
买菜,mǎi cài,Buy groceries,Comprar alimentos,Faire l'épicerie,Comprar mantimentos
卖东西,mài dōng xī,Sell something,Vender algo,Vendre quelque chose,Vender algo
卖菜,mài cài,Sell groceries,Vender comestibles,Vendre des produits d'épicerie,Vender mantimentos
租房,zū fáng,Rent a house,Alquilar una casa,Louer une maison,Alugue uma casa
租车,zū chē,Rent a car,Alquilar un coche,Louer une voiture,Alugue um carro
借书,jiè shū,Borrow a book,Pedir prestado un libro,Emprunter un livre,Pegue um livro emprestado
借钱,jiè qián,Borrow money,Pedir dinero prestado,Emprunter de l'argent,Pedir dinheiro emprestado
还书,huán shū,Return a book,Devolver un libro,Retourner un livre,Devolver um livro
还钱,huán qián,Pay back money,Devolver dinero,Rembourser l'argent,Devolva o dinheiro
教书,jiāo shū,Teach,Enseñar,Enseigner,Ensinar
教人,jiào rén,Teach people,Enseñar a la gente,Enseigner aux gens,Ensine as pessoas
学着,xué zhe,Learn,Aprender,Apprendre,Aprenda
学会,xué huì,Learn,Aprender,Apprendre,Aprenda
发问,fā wèn,Ask a question,Haz una pregunta,Poser une question,Faça uma pergunta
问人,wèn rén,Ask someone,Pregúntale a alguien,Demandez à quelqu'un,Pergunte a alguém
回答,huí dá,Answer,Respuesta,Réponse,Resposta
答案,dá àn,Answer,Respuesta,Réponse,Resposta
告诉你,gào sù nǐ,Tell you,Te cuento,Te dire,Te conto
告诉我,gào sù wǒ,Tell me,Dime,Dis-moi,Me conte
认识你,rèn shí nǐ,Know you,Te conozco,Je te connais,Te conheço
认识人,rèn shí rén,Meet people,Conocer gente,Rencontrer des gens,Conheça pessoas
记住,jì zhù,Remember,Recuerda,Rappelez-vous,Lembre-se
记得,jì de,Remember,Recuerda,Rappelez-vous,Lembre-se
忘记,wàng jì,Forget,Olvidar,Oublier,Esquecer
忘了,wàng le,Forgot,Lo olvidé,J'ai oublié,Esqueci
搬家,bān jiā,Move house,Mudarse,Déménager,Mudar de casa
搬走,bān zǒu,Move away,Alejarse,S'éloigner,Afaste-se
挪开,nuó kāi,Move away,Alejarse,S'éloigner,Afastar
挪动,nuó dòng,Move,Mover,Se déplacer,Mover
