chinese,pinyin,english,spanish,french,portuguese
看法,kàn fǎ,View,Opinión,Vue,Vista
意见,yì jiàn,Opinion,Opinión,Avis,Opinião
观点,guān diǎn,Point of view,Punto de vista,Point de vue,Ponto de vista
态度,tài dù,Attitude,Actitud,Attitude,Atitude
立场,lì chǎng,Position,Posición,Position,Posição
主意,zhǔ yì,Idea,Idea,Idée,Ideia
角度,jiǎo dù,Perspective,Perspectiva,Perspective,Perspectiva
总结,zǒng jié,Summary,Resumen,Résumé,Resumo
看待,kàn dài,Consider,Considerar,Considérer,Considerar
论点,lùn diǎn,Argument,Argumento,Argument,Argumento
见解,jiàn jiě,Insight,Opinión,Point de vue,Perspicácia
立论,lì lùn,Reasoning,Argumentación,Argumentation,Argumentação
论据,lùn jù,Evidence,Evidencia,Preuve,Evidência
持有,chí yǒu,Hold,Mantener,Détenir,Possuir
坚持,jiān chí,Persist,Persistir,Persister,Persistir
表示,biǎo shì,Express,Expresar,Exprimer,Expressar
鉴定,jiàn dìng,Assessment,Evaluación,Évaluation,Avaliação
我的看法,wǒ de kàn fǎ,My opinion,Mi opinión,Mon avis,Minha opinião
有看法,yǒu kàn fǎ,Have an opinion,Tener una opinión,Avoir un avis,Ter uma opinião
提意见,tí yì jiàn,Give an opinion,Dar una opinión,Donner un avis,Dar uma opinião
有意见,yǒu yì jiàn,Have an opinion,Tener una opinión,Avoir un avis,Ter uma opinião
观点是,guān diǎn shì,The point of view is,El punto de vista es,Le point de vue est,O ponto de vista é
有观点,yǒu guān diǎn,Have a viewpoint,Tener un punto de vista,Avoir un point de vue,Ter um ponto de vista
态度好,tài dù hǎo,Good attitude,Buena actitud,Bonne attitude,Boa atitude
表态度,biǎo tài dù,Show attitude,Mostrar actitud,Montrer son attitude,Mostrar atitude
立场坚定,lì chǎng jiān dìng,Firm stance,Postura firme,Position ferme,Postura firme
有立场,yǒu lì chǎng,Have a stance,Tener posición,Avoir une position,Ter uma posição
好主意,hǎo zhǔ yì,Good idea,Buena idea,Bonne idée,Boa ideia
出主意,chū zhǔ yì,Give an idea,Dar una idea,Donner une idée,Dar uma ideia
角度不同,jiǎo dù bù tóng,Different perspectives,Perspectivas diferentes,Perspectives différentes,Perspectivas diferentes
换角度,huàn jiǎo dù,Change perspective,Cambiar perspectiva,Changer de perspective,Mudar perspectiva
做总结,zuò zǒng jié,Make a summary,Haz un resumen,Faire un résumé,Fazer um resumo
来总结,lái zǒng jié,Let's summarize,Vamos a resumir,Résumons,Vamos resumir
看待问题,kàn dài wèn tí,Look at the problem,Ver el problema,Voir le problème,Ver o problema
如何看待,rú hé kàn dài,How do you see it,Cómo lo ves,Comment tu le vois,Como você vê isso
论点是,lùn diǎn shì,The argument is,El argumento es,L'argument est,O argumento é
提论点,tí lùn diǎn,Put forward an argument,Presentar un argumento,Avancer un argument,Apresentar um argumento
有见解,yǒu jiàn jiě,Have insights,Tener opinión,Avoir des idées,Ter perspicácia
独到见解,dú dào jiàn jiě,Unique insight,Opinión única,Idée unique,Perspicácia única
立论清晰,lì lùn qīng xī,Clear argumentation,Argumentación clara,Argumentation claire,Argumentação clara
进行立论,jìn xíng lì lùn,Make an argument,Hacer un argumento,Faire un argument,Fazer um argumento
论据充分,lùn jù chōng fèn,Sufficient evidence,Evidencia suficiente,Preuves suffisantes,Evidência suficiente
找论据,zhǎo lùn jù,Find evidence,Buscar evidencia,Trouver des preuves,Encontrar evidência
持有观点,chí yǒu guān diǎn,Hold a viewpoint,Mantener un punto de vista,Avoir un point de vue,Ter um ponto de vista
长期持有,cháng qī chí yǒu,Hold long-term,Mantener a largo plazo,Tenir à long terme,Manter a longo prazo
坚持下去,jiān chí xià qù,Keep going,Sigue adelante,Continuez,Continue
要坚持,yào jiān chí,Must persist,Hay que persistir,Il faut persévérer,Deve persistir
表示同意,biǎo shì tóng yì,Express agreement,Expresar acuerdo,Exprimer son accord,Expressar acordo
表示反对,biǎo shì fǎn duì,Express objection,Expresar oposición,Exprimer son opposition,Expressar oposição
做鉴定,zuò jiàn dìng,Make an appraisal,Hacer una tasación,Faire une évaluation,Fazer uma avaliação
专业鉴定,zhuān yè jiàn dìng,Professional appraisal,Tasación profesional,Évaluation professionnelle,Avaliação profissional
