chinese,pinyin,english,spanish,french,portuguese
醒,xǐng,Wake up,Despertar,Se réveiller,Acordar
洗漱,xǐ shù,Wash up,Asearse,Se laver,Lavar-se
早餐,zǎo cān,Breakfast,Desayuno,Petit-déjeuner,Café da manhã
午餐,wǔ cān,Lunch,Almuerzo,Déjeuner,Almoço
晚餐,wǎn cān,Dinner,Cena,Dîner,Jantar
打扫,dǎ sǎo,Clean,Limpiar,Nettoyer,Limpar
做饭,zuò fàn,Cook,Cocinar,Cuisiner,Cozinhar
熬夜,áo yè,Stay up late,Trasnochar,Veiller tard,Ficar acordado até tarde
散步,sàn bù,Take a walk,Pasear,Se promener,Passear
娱乐,yú lè,Entertainment,Entretenimiento,Divertissement,Entretenimento
午睡,wǔ shuì,Nap,Siesta,Sieste,Cochilo
叫醒,jiào xǐng,Wake someone up,Despertar a alguien,Réveiller quelqu'un,Acordar alguém
梳洗,shū xǐ,Freshen up,Arreglarse,Se rafraîchir,Arrumar-se
通勤,tōng qín,Commute,Desplazarse,Faire la navette,Ir ao trabalho
待业,dài yè,Unemployed,Desempleado,Sans emploi,Desempregado
活动,huó dòng,Activity,Actividad,Activité,Atividade
醒了,xǐng le,Woke up,Me desperté,Je me suis réveillé,Acordei
睡醒,shuì xǐng,Wake up from sleep,Despertarse,Se réveiller,Acordar
洗漱完,xǐ shù wán,Finished washing up,Terminé de asearme,Fini de se laver,Terminei de lavar
去洗漱,qù xǐ shù,Go wash up,Ir a asearse,Aller se laver,Ir lavar-se
吃早餐,chī zǎo cān,Have breakfast,Desayunar,Prendre le petit-déjeuner,Tomar café da manhã
做早餐,zuò zǎo cān,Make breakfast,Preparar el desayuno,Préparer le petit-déjeuner,Fazer café da manhã
吃午餐,chī wǔ cān,Have lunch,Almorzar,Déjeuner,Almoçar
做午餐,zuò wǔ cān,Make lunch,Preparar el almuerzo,Préparer le déjeuner,Fazer almoço
吃晚餐,chī wǎn cān,Have dinner,Cenar,Dîner,Jantar
做晚餐,zuò wǎn cān,Make dinner,Preparar la cena,Préparer le dîner,Fazer jantar
打扫房,dǎ sǎo fáng,Clean the room,Limpiar la habitación,Nettoyer la chambre,Limpar o quarto
在打扫,zài dǎ sǎo,Cleaning,Limpiando,En train de nettoyer,Limpando
做饭吧,zuò fàn ba,Let's cook,Cocinemos,Cuisinons,Vamos cozinhar
去做饭,qù zuò fàn,Go cook,Ir a cocinar,Aller cuisiner,Ir cozinhar
熬夜了,áo yè le,Stayed up late,Me quedé despierto hasta tarde,J'ai veillé tard,Fiquei acordado até tarde
别熬夜,bié áo yè,Don't stay up late,No te quedes despierto,Ne veille pas tard,Não fique acordado até tarde
散步去,sàn bù qù,Go for a walk,Ir a pasear,Aller se promener,Ir passear
去散步,qù sàn bù,Go for a walk,Ir a pasear,Aller se promener,Ir passear
娱乐下,yú lè xià,Have some fun,Divertirse un poco,S'amuser un peu,Divertir-se um pouco
找娱乐,zhǎo yú lè,Find entertainment,Buscar entretenimiento,Chercher du divertissement,Procurar entretenimento
午睡吧,wǔ shuì ba,Take a nap,Toma una siesta,Fais une sieste,Tire um cochilo
要午睡,yào wǔ shuì,Need to nap,Necesito dormir la siesta,Besoin de faire la sieste,Preciso cochilar
叫醒我,jiào xǐng wǒ,Wake me up,Despiértame,Réveille-moi,Acorde-me
被叫醒,bèi jiào xǐng,Being woken up,Ser despertado,Être réveillé,Ser acordado
梳洗好,shū xǐ hǎo,Freshened up,Ya arreglado,Rafraîchi,Arrumado
去梳洗,qù shū xǐ,Go freshen up,Ir a arreglarse,Aller se rafraîchir,Ir se arrumar
通勤中,tōng qín zhōng,Commuting,En camino al trabajo,En route au travail,A caminho do trabalho
每天通勤,měi tiān tōng qín,Daily commute,Viaje diario,Trajet quotidien,Trajeto diário
待业中,dài yè zhōng,Unemployed,En paro,Au chômage,Desempregado
还在待业,hái zài dài yè,Still unemployed,Todavía desempleado,Toujours au chômage,Ainda desempregado
活动多,huó dòng duō,Many activities,Muchas actividades,Beaucoup d'activités,Muitas atividades
做活动,zuò huó dòng,Do activities,Hacer actividades,Faire des activités,Fazer atividades
