chinese,pinyin,english,spanish,french,portuguese
电话,diàn huà,Phone,Teléfono,Téléphone,Telefone
手机,shǒu jī,Mobile phone,Móvil,Mobile,Celular
号码,hào mǎ,Number,Número,Numéro,Número
上网,shàng wǎng,Go online,Conectarse,Aller en ligne,Acessar a internet
网络,wǎng luò,Network,Red,Réseau,Rede
网站,wǎng zhàn,Website,Sitio web,Site Web,Site
微信,wēi xìn,WeChat,WeChat,WeChat,WeChat
短信,duǎn xìn,Text message,Mensaje de texto,SMS,Mensagem de texto
视频,shì pín,Video,Vídeo,Vidéo,Vídeo
照片,zhào piān,Photo,Foto,Photo,Foto
搜索,sōu suǒ,Search,Buscar,Rechercher,Pesquisar
下载,xià zài,Download,Descargar,Télécharger,Baixar
密码,mì mǎ,Password,Contraseña,Mot de passe,Senha
账号,zhàng hào,Account,Cuenta,Compte,Conta
充电,chōng diàn,Charge,Cargar,Charger,Carregar
拨电话,bō diàn huà,Make a call,Hacer una llamada,Passer un appel,Fazer uma ligação
听电话,tīng diàn huà,Answer the phone,Contestar el teléfono,Répondre au téléphone,Atender o telefone
用手机,yòng shǒu jī,Use mobile phone,Usar el móvil,Utiliser le mobile,Usar o celular
买手机,mǎi shǒu jī,Buy a mobile phone,Comprar un móvil,Acheter un mobile,Comprar um celular
电话号码,diàn huà hào mǎ,Phone number,Número de teléfono,Numéro de téléphone,Número de telefone
记号码,jì hào mǎ,Remember the number,Recordar el número,Se souvenir du numéro,Lembrar o número
上网吧,shàng wǎng ba,Go to internet cafe,Ir al cibercafé,Aller au cybercafé,Ir ao cibercafé
在上网,zài shàng wǎng,Online now,Conectado ahora,En ligne maintenant,Conectado agora
网络快,wǎng luò kuài,Fast network,Red rápida,Réseau rapide,Rede rápida
连网络,lián wǎng luò,Connect to the network,Conectar a la red,Connecter au réseau,Conectar à rede
上网站,shàng wǎng zhàn,Visit a website,Visitar un sitio web,Visiter un site Web,Visitar um site
看网站,kàn wǎng zhàn,View the website,Ver el sitio web,Voir le site Web,Ver o site
用微信,yòng wēi xìn,Use WeChat,Usar WeChat,Utiliser WeChat,Usar o WeChat
发微信,fā wēi xìn,Send WeChat message,Enviar mensaje de WeChat,Envoyer un message WeChat,Enviar mensagem no WeChat
发短信,fā duǎn xìn,Send a text message,Enviar un mensaje de texto,Envoyer un SMS,Enviar uma mensagem de texto
收短信,shōu duǎn xìn,Receive a text message,Recibir un mensaje de texto,Recevoir un SMS,Receber uma mensagem de texto
看视频,kàn shì pín,Watch video,Ver vídeo,Regarder une vidéo,Assistir vídeo
录视频,lù shì pín,Record video,Grabar vídeo,Enregistrer une vidéo,Gravar vídeo
拍照片,pāi zhào piān,Take a photo,Tomar una foto,Prendre une photo,Tirar uma foto
看照片,kàn zhào piān,View photos,Ver fotos,Voir des photos,Ver fotos
搜索下,sōu suǒ xià,Do a search,Hacer una búsqueda,Faire une recherche,Fazer uma pesquisa
在搜索,zài sōu suǒ,Searching,Buscando,En train de chercher,Pesquisando
下载好,xià zài hǎo,Downloaded successfully,Descargado con éxito,Téléchargé avec succès,Baixado com sucesso
去下载,qù xià zài,Go download,Ir a descargar,Aller télécharger,Ir baixar
输密码,shū mì mǎ,Enter password,Introducir contraseña,Entrer le mot de passe,Digitar a senha
忘密码,wàng mì mǎ,Forgot password,Olvidé la contraseña,Mot de passe oublié,Esqueci a senha
登账号,dēng zhàng hào,Log in,Iniciar sesión,Se connecter,Fazer login
建账号,jiàn zhàng hào,Create an account,Crear una cuenta,Créer un compte,Criar uma conta
去充电,qù chōng diàn,Go charge,Ir a cargar,Aller charger,Ir carregar
在充电,zài chōng diàn,Charging,Cargando,En charge,Carregando
