chinese,pinyin,english,spanish,french,portuguese
前面,qián miàn,front,frente,avant,frente
后面,hòu miàn,behind,atrás,derrière,atrás
左边,zuǒ biān,left,izquierda,gauche,esquerda
右边,yòu biān,right side,derecha,à droite,direita
上面,shàng miàn,above,arriba,ci-dessus,acima
下面,xià miàn,below,abajo,ci-dessous,abaixo
里面,lǐ miàn,inside,dentro,à l'intérieur,dentro
外面,wài miàn,outside,afuera,dehors,fora
中间,zhōng jiān,middle,medio,milieu,meio
旁边,páng biān,beside,al lado,à côté de,ao lado
对面,duì miàn,opposite,opuesto,en face,oposto
附近,fù jìn,nearby,cerca,près de,perto
东,dōng,east,este,est,leste
南,nán,south,sur,sud,sul
西,xī,west,oeste,ouest,oeste
北,běi,north,norte,nord,norte
远处,yuǎn chù,far,lejos,loin,longe
近处,jìn chù,near,cerca,près de,perto
前面走,qián miàn zǒu,walk ahead,camina adelante,avancer,siga em frente
在前面,zài qián miàn,in front,al frente,devant,na frente
后面看,hòu miàn kàn,look from behind,mirar desde atrás,regarder par derrière,olhar por trás
在后面,zài hòu miàn,behind,detrás,derrière,atrás
左边转,zuǒ biān zhuǎn,turn left,girar a la izquierda,tourner à gauche,vire à esquerda
在左边,zài zuǒ biān,On the left,A la izquierda,A gauche,À esquerda
右边转,yòu biān zhuǎn,Turn right,Gira a la derecha,Tourner à droite,Vire à direita
在右边,zài yòu biān,On the right,A la derecha,À droite,À direita
上面放,shàng miàn fàng,Place on top,Colocar encima,Placer dessus,Coloque por cima
在上面,zài shàng miàn,Above,Arriba,Ci-dessus,Acima
下面看,xià miàn kàn,Look below,Mira abajo,Regardez ci-dessous,Veja abaixo
在下面,zài xià miàn,Below,Abajo,Ci-dessous,Abaixo
里面有,lǐ miàn yǒu,Inside,Dentro,À l'intérieur,Dentro
在里面,zài lǐ miàn,Inside,Dentro,À l'intérieur,Dentro
外面冷,wài miàn lěng,Cold outside,Frío afuera,Il fait froid dehors,Frio lá fora
在外面,zài wài miàn,Outside,Afuera,À l'extérieur,Fora
中间坐,zhōng jiān zuò,Sit in the middle,Siéntate en el medio,Asseyez-vous au milieu,Senta no meio
在中间,zài zhōng jiān,In the middle,En el medio,Au milieu,No meio
旁边站,páng biān zhàn,Stand next to,Párese junto a,Tenez-vous à côté de,Fique ao lado de
在旁边,zài páng biān,Next to,Junto a,À côté de,Ao lado de
对面住,duì miàn zhù,Live opposite,Vive enfrente,Habiter en face,Morar em frente
在对面,zài duì miàn,Opposite,Enfrente,En face,Oposto
附近有,fù jìn yǒu,Nearby,Cerca,À proximité,Perto
在附近,zài fù jìn,Nearby,Cerca,À proximité,Perto
东边走,dōng biān zǒu,Walk east,Camina hacia el este,Marchez vers l'est,Caminhe para o leste
往东,wǎng dōng,Go east,Ve al este,Allez vers l'est,Vá para o leste
南边走,nán biān zǒu,Go south,Ve al sur,Allez vers le sud,Vá para o sul
往南,wǎng nán,Go south,Ve al sur,Allez vers le sud,Vá para o sul
西边走,xī biān zǒu,Go west,Ve al oeste,Allez vers l'ouest,Vá para oeste
往西,wǎng xī,Go west,Ve al oeste,Allez vers l'ouest,Vá para oeste
北边走,běi biān zǒu,Go north,Ve al norte,Allez vers le nord,Vá para o norte
往北,wǎng běi,Go north,Ve al norte,Allez vers le nord,Vá para o norte
远处看,yuǎn chù kàn,Looking from a distance,Mirando desde la distancia,Regarder de loin,Olhando de longe
在远处,zài yuǎn chù,In the distance,En la distancia,Au loin,Ao longe
近处看,jìn chù kàn,Looking close,Mirando de cerca,En regardant de près,Olhando de perto
在近处,zài jìn chù,Near,Cerca,Près,Perto
