chinese,pinyin,english,spanish,french,portuguese
诊所,zhěn suǒ,Clinic,Clínica,Clinique,Clínica
医生,yī shēng,Doctor,Médico,Docteur,Doutor
护士,hù shì,Nurse,Enfermera,Infirmière,Enfermeira
挂号,guà hào,Registration,Registro,Inscription,Inscrições
看病,kàn bìng,See a doctor,Ver a un médico,Consulter un médecin,Consulte um médico
检查,jiǎn chá,Examination,Examen,Examen,Exame
化验,huà yàn,Test,Prueba,Tester,Teste
拍片,pāi piàn,X-ray,Radiografía,Radiographie,Raio-X
不舒服,bù shū fú,Discomfort,Malestar,Inconfort,Desconforto
疼痛,téng tòng,Pain,Dolor,Douleur,Dor
症状,zhèng zhuàng,Symptoms,Síntomas,Symptômes,Sintomas
吃药,chī yào,Take medicine,Tomar medicamentos,Prendre des médicaments,Tome remédio
打针,dǎ zhēn,Injection,Inyección,Injection,Injeção
处方,chǔ fāng,Prescription,Prescripción,Ordonnance,Prescrição
门诊,mén zhěn,Outpatient service,Servicio ambulatorio,Service ambulatoire,Atendimento ambulatorial
急诊,jí zhěn,Emergency,Emergencia,Urgence,Emergência
去诊所,qù zhěn suǒ,Go to clinic,Ir a la clínica,Aller à la clinique,Vá para a clínica
在诊所,zài zhěn suǒ,At the clinic,En la clínica,À la clinique,Na clínica
找医生,zhǎo yī shēng,Find a doctor,Buscar un médico,Trouver un médecin,Procurar um médico
看医生,kàn yī shēng,See a doctor,Ver al médico,Voir un médecin,Ver um médico
找护士,zhǎo hù shì,Find a nurse,Buscar una enfermera,Trouver une infirmière,Procurar uma enfermeira
叫护士,jiào hù shì,Call a nurse,Llamar a una enfermera,Appeler une infirmière,Chamar uma enfermeira
去挂号,qù guà hào,Go to register,Ir a registrarse,Aller s'inscrire,Ir para se registrar
已挂号,yǐ guà hào,Already registered,Ya registrado,Déjà inscrit,Já registrado
去看病,qù kàn bìng,Go to see a doctor,Ir al médico,Aller chez le médecin,Ir ao médico
要看病,yào kàn bìng,Need to see a doctor,Necesito ver al médico,Vouloir voir un médecin,Preciso ir ao médico
做检查,zuò jiǎn chá,Get examined,Hacerse un examen,Faire un examen,Fazer um exame
要检查,yào jiǎn chá,Need examination,Necesito examen,Besoin d'un examen,Preciso de exame
做化验,zuò huà yàn,Get tested,Hacer análisis,Faire un test,Fazer exame
去化验,qù huà yàn,Go for a test,Ir a hacerse análisis,Aller faire un test,Ir fazer exame
去拍片,qù pāi piàn,Go for an X-ray,Ir a hacerse una radiografía,Aller faire une radiographie,Ir fazer um raio-X
要拍片,yào pāi piàn,Want an X-ray,Quiere una radiografía,Voulez une radiographie,Quer um raio-X
不舒服啊,bù shū fú a,Feeling unwell,No me siento bien,Je ne me sens pas bien,Não me sinto bem
哪里不舒服,nǎ lǐ bù shū fú,Where does it hurt,Dónde le duele,Où avez-vous mal,Onde dói
有疼痛,yǒu téng tòng,Having pain,Tener dolor,Avoir mal,Ter dor
感到疼痛,gǎn dào téng tòng,Feeling pain,Sentir dolor,Ressentir de la douleur,Sentir dor
有症状,yǒu zhèng zhuàng,Having symptoms,Tener síntomas,Avoir des symptômes,Ter sintomas
什么症状,shén me zhèng zhuàng,What symptoms,Qué síntomas,Quels symptômes,Quais sintomas
要吃药,yào chī yào,Need to take medicine,Necesita tomar medicamento,Besoin de prendre des médicaments,Precisa tomar remédio
按时吃药,àn shí chī yào,Take medicine on time,Tomar medicamento a tiempo,Prendre les médicaments à l'heure,Tomar remédio na hora
要打针,yào dǎ zhēn,Need an injection,Necesita una inyección,Besoin d'une injection,Precisa de uma injeção
去打针,qù dǎ zhēn,Go for an injection,Ir a ponerse una inyección,Aller se faire une injection,Ir tomar injeção
开处方,kāi chǔ fāng,Write a prescription,Escribir una receta,Rédiger une ordonnance,Escrever uma receita
拿处方,ná chǔ fāng,Get a prescription,Obtener una receta,Obtenir une ordonnance,Pegar uma receita
看门诊,kàn mén zhěn,See outpatient doctor,Ver médico ambulatorio,Voir un médecin ambulatoire,Ver médico ambulatorial
挂门诊,guà mén zhěn,Register for outpatient,Registrarse para ambulatorio,S'inscrire en ambulatoire,Registrar para ambulatório
看急诊,kàn jí zhěn,See emergency doctor,Ver médico de urgencias,Voir les urgences,Ver emergência
挂急诊,guà jí zhěn,Register for emergency,Registrarse para urgencias,S'inscrire aux urgences,Registrar para emergência
