chinese,pinyin,english,spanish,french,portuguese
因为,yīn wèi,because,porque,parce que,porque
由于,yóu yú,because,porque,parce que,porque
所以,suǒ yǐ,so,entonces,donc,então
理由,lǐ yóu,reason,razón,raison,razão
缘故,yuán gù,reason,razón,raison,razão
缘由,yuán yóu,reason,razón,raison,razão
解释,jiě shì,explanation,explicación,explication,explicação
说明,shuō míng,explanation,explicación,explication,explicação
根据,gēn jù,according to,según,selon,de acordo com
基于,jī yú,based on,basado en,basé sur,baseado em
鉴于,jiàn yú,in view of,en vista de,compte tenu de,em vista de
既然,jì rán,since,ya que,puisque,já que
之所以,zhī suǒ yǐ,reason,razón,raison,razão
根由,gēn yóu,root cause,causa raíz,cause profonde,causa raiz
归咎,guī jiù,blame,culpar,blâmer,culpa
根本原因,gēn běn yuán yīn,root cause,causa raíz,cause profonde,causa raiz
因为你,yīn wèi nǐ,because of you,gracias a ti,à cause de toi,por sua causa
是因为,shì yīn wèi,because,porque,parce que,porque
由于天气,yóu yú tiān qì,because of weather,por el clima,à cause de la météo,por causa do clima
由于时间,yóu yú shí jiān,because of time,por culpa del tiempo,à cause du temps,por causa do tempo
所以说,suǒ yǐ shuō,that's why,por eso,c'est pourquoi,por isso
所以我,suǒ yǐ wǒ,so I,entonces yo,donc je,então eu
理由是,lǐ yóu shì,reason is,la razón es,la raison est,a razão é
有理由,yǒu lǐ yóu,There is a reason,Hay una razón,Il y a une raison,Há uma razão
缘故是,yuán gù shì,The reason is,La razón es,La raison est,O motivo é
什么缘故,shén me yuán gù,What reason,¿Qué razón?,Quelle raison,Qual motivo
缘由是,yuán yóu shì,The reason is,La razón es,La raison est,O motivo é
追问缘由,zhuī wèn yuán yóu,Ask the reason,Pregunta el motivo,Demandez la raison,Pergunte o motivo
解释下,jiě shì xià,Explain,Explicar,Expliquez,Explique
做解释,zuò jiě shì,Explain,Explicar,Expliquez,Explique
说明下,shuō míng xià,Explain,Explicar,Expliquez,Explique
做说明,zuò shuō míng,Explain,Explicar,Expliquez,Explique
根据规定,gēn jù guī dìng,According to the regulations,Según la normativa,Conformément à la réglementation,De acordo com os regulamentos
根据情况,gēn jù qíng kuàng,According to the situation,Según la situación,Selon la situation,De acordo com a situação
基于事实,jī yú shì shí,Based on the facts,Basado en los hechos,Basé sur les faits,Com base nos fatos
基于此,jī yú cǐ,Based on this,Basado en esto,Sur cette base,Com base nisso
鉴于此,jiàn yú cǐ,In view of this,En vista de esto,Compte tenu de cela,Diante disso
鉴于情况,jiàn yú qíng kuàng,In view of the situation,En vista de la situación,Compte tenu de la situation,Tendo em conta a situação
既然如此,jì rán rú cǐ,In this case,En este caso,Dans ce cas,Neste caso
既然你,jì rán nǐ,Since you,Ya que tú,Puisque tu,Já que você
之所以这样,zhī suǒ yǐ zhè yàng,The reason for this,La razón de esto,La raison de cela,A razão para isso
之所以说,zhī suǒ yǐ shuō,The reason why,La razón por la cual,La raison pour laquelle,A razão pela qual
根由是,gēn yóu shì,The root cause is,La causa raíz es,La cause première est,A causa raiz é
追寻根由,zhuī xún gēn yóu,Find the root cause,Encuentre la causa raíz,Trouver la cause profonde,Encontre a causa raiz
归咎于,guī jiù yú,Blame,Culpa,Blâmer,Culpa
不能归咎,bù néng guī jiù,Can’t blame,No puedo culpar,Je ne peux pas blâmer,Não posso culpar
根本原因是,gēn běn yuán yīn shì,The root cause is,La causa raíz es,La cause première est,A causa raiz é
找根本原因,zhǎo gēn běn yuán yīn,Find the root cause,Encuentra la causa raíz,Trouver la cause profonde,Encontre a causa raiz
