chinese,pinyin,english,spanish,french,portuguese
宾馆,bīn guǎn,Hotel,Hotel,Hôtel,Hotel
单人间,dān rén jiān,Single room,Habitación individual,Chambre simple,Quarto individual
双人间,shuāng rén jiān,Double room,Habitación doble,Chambre double,Quarto duplo
订房,dìng fáng,Reservation,Reserva,Réservation,Reserva
预订,yù dìng,Reservation,Reserva,Réservation,Reserva
入住,rù zhù,Check-in,Registro,Enregistrement,Entrada
退房,tuì fáng,Check-out,Salida,Départ,Saída
押金,yā jīn,Deposit,Depósito,Dépôt,Depósito
热水,rè shuǐ,Hot water,Agua caliente,Eau chaude,Água quente
前台,qián tái,Front desk,Recepción,Réception,Recepção
服务,fú wù,Service,Servicio,Service,Serviço
客房,kè fáng,Guest room,Habitación de invitados,Chambre d'hôtes,Quarto de hóspedes
前厅,qián tīng,Front office,Oficina principal,Réception,Recepção
接待,jiē dài,Reception,Recepción,Réception,Recepção
行李员,xíng lǐ yuán,Bellman,botones,Bellman,Mensageiro
住宾馆,zhù bīn guǎn,Stay in hotel,Estancia en hotel,Séjour à l'hôtel,Hospedagem em hotel
找宾馆,zhǎo bīn guǎn,Find hotel,Encontrar hotel,Trouver un hôtel,Encontrar hotel
要单人间,yào dān rén jiān,Request a single room,Solicitar una habitación individual,Demander une chambre individuelle,Solicitar quarto individual
订单人间,dìng dān rén jiān,Order a room,Solicitar una habitación,Commander une chambre,Encomende um quarto
要双人间,yào shuāng rén jiān,Request a double room,Solicitar habitación doble,Demander une chambre double,Solicite um quarto duplo
订双人间,dìng shuāng rén jiān,Book a double room,Reserva una habitación doble,Réservez une chambre double,Reserve um quarto duplo
要订房,yào dìng fáng,To book a room,Para reservar una habitación,Pour réserver une chambre,Para reservar um quarto
去订房,qù dìng fáng,Go to book a room,Ir a reservar una habitación,Aller réserver une chambre,Vá para reservar um quarto
已预订,yǐ yù dìng,Already booked,Ya reservado,Déjà réservé,Já reservado
要预订,yào yù dìng,To book,Para reservar,Pour réserver,Para reservar
办入住,bàn rù zhù,Check in,Registrarse,Arrivée,Check-in
已入住,yǐ rù zhù,Checked in,Registrado,Enregistré,Check-in
要退房,yào tuì fáng,To check out,Para comprobar,À consulter,Para conferir
办退房,bàn tuì fáng,Check out,Echa un vistazo,Découvrez,Confira
交押金,jiāo yā jīn,Pay deposit,Pagar depósito,Payer l'acompte,Pagar depósito
退押金,tuì yā jīn,Return deposit,Depósito de devolución,Dépôt de retour,Depósito de devolução
有热水,yǒu rè shuǐ,Hot water,Agua caliente,Eau chaude,Água quente
开热水,kāi rè shuǐ,Turn on hot water,Abrir el agua caliente,Allumez l’eau chaude,Ligue a água quente
去前台,qù qián tái,Go to the front desk,Ir a la recepción,Allez à la réception,Vá até a recepção
在前台,zài qián tái,At the front desk,En la recepción,À la réception,Na recepção
服务好,fú wù hǎo,Good service,Buen servicio,Bon service,Bom atendimento
要服务,yào fú wù,Want service,Quiere servicio,Vous voulez du service,Quer atendimento
住客房,zhù kè fáng,Stay in a room,Quédate en una habitación,Séjourner dans une chambre,Fique em um quarto
打扫客房,dǎ sǎo kè fáng,Clean the guest room,Limpiar la habitación de invitados,Nettoyer la chambre d'amis,Limpe o quarto de hóspedes
在前厅,zài qián tīng,In the front hall,En el vestíbulo,Dans le hall d'entrée,No hall de entrada
装修前厅,zhuāng xiū qián tīng,Decorate the front hall,Decora el recibidor,Décorez le hall d'entrée,Decore o hall de entrada
接待处,jiē dài chù,Reception desk,Mostrador de recepción,Réception,Balcão de recepção
负责接待,fù zé jiē dài,Responsible for the reception,Responsable de la recepción,Responsable de l'accueil,Responsável pela recepção
找行李员,zhǎo xíng lǐ yuán,Find the bellman,Encuentra al botones,Trouvez le chasseur,Encontre o mensageiro
叫行李员,jiào xíng lǐ yuán,Call the bellman,llamar al botones,Appelez le chasseur,Ligue para o mensageiro
