chinese,pinyin,english,spanish,french,portuguese
职业,zhí yè,Career,Carrera,Carrière,Carreira
工作,gōng zuò,Job,Trabajo,Emploi,Trabalho
就业,jiù yè,Employment,Empleo,Emploi,Emprego
求职,qiú zhí,Job hunting,Búsqueda de empleo,Recherche d'emploi,Procura de emprego
找工作,zhǎo gōng zuò,Looking for a job,Buscando trabajo,À la recherche d'un emploi,Procurando emprego
面试,miàn shì,Interview,Entrevista,Entretien,Entrevista
简历,jiǎn lì,Resume,Currículum,CV,Currículo
录用,lù yòng,Hire,Contratación,Embauche,Contratação
入职,rù zhí,Onboarding,Incorporación,Intégration,Integração
试用期,shì yòng qī,Probationary period,Período de prueba,Période probatoire,Período probatório
转正,zhuǎn zhèng,Regularization,Regularización,Régularisation,Regularização
升职,shēng zhí,Promotion,Promoción,Promotions,Promoção
加薪,jiā xīn,Salary increase,Aumento salarial,Augmentation de salaire,Aumento salarial
调动,diào dòng,Transfer,Transferencia,Transfert,Transferência
辞职,cí zhí,Resignation,Renuncia,Démission,Renúncia
跳槽,tiào cáo,Job hopping,Cambiar de trabajo,Changement d'emploi,Mudar de emprego
什么职业,shén me zhí yè,What career,Que carrera,Quelle carrière,Que carreira
选职业,xuǎn zhí yè,Choose a career,Elige una carrera,Choisissez une carrière,Escolha uma carreira
工作忙,gōng zuò máng,Busy at work,Ocupado en el trabajo,Occupé au travail,Ocupado no trabalho
有工作,yǒu gōng zuò,Have a job,Tener un trabajo,Avoir un travail,Ter um emprego
就业率,jiù yè lǜ,Employment rate,Tasa de empleo,Taux d'emploi,Taxa de emprego
促进就业,cù jìn jiù yè,Promote employment,Promover el empleo,Promouvoir l'emploi,Promover o emprego
去求职,qù qiú zhí,Go job hunting,Ir a buscar trabajo,Cherchez un emploi,Procurar emprego
正在求职,zhèng zài qiú zhí,Looking for a job,Buscando trabajo,À la recherche d'un emploi,Procurando emprego
找工作难,zhǎo gōng zuò nán,Difficult to find a job,Difícil encontrar trabajo,Difficile de trouver un emploi,Difícil encontrar emprego
帮找工作,bāng zhǎo gōng zuò,Help find a job,Ayuda a encontrar trabajo,Aide à trouver un emploi,Ajude a encontrar um emprego
去面试,qù miàn shì,Go for an interview,Ir a una entrevista,Aller à un entretien,Vá para uma entrevista
准备面试,zhǔn bèi miàn shì,Prepare for an interview,Prepárese para una entrevista,Préparez-vous à un entretien,Prepare-se para uma entrevista
写简历,xiě jiǎn lì,Write a resume,Escribe un currículum,Rédiger un CV,Escreva um currículo
投简历,tóu jiǎn lì,Submit a resume,Enviar un currículum,Soumettre un CV,Envie um currículo
被录用,bèi lù yòng,Be hired,Ser contratado,Être embauché,Ser contratado
正式录用,zhèng shì lù yòng,Officially hired,Contratado oficialmente,Officiellement embauché,Contratado oficialmente
办入职,bàn rù zhí,Apply for employment,Solicitar empleo,Postuler pour un emploi,Candidatar-se a emprego
刚入职,gāng rù zhí,Newly hired,Recién contratado,Nouvellement embauché,Recém-contratado
试用期内,shì yòng qī nèi,Within the probationary period,Dentro del período de prueba,Pendant la période probatoire,Durante o período probatório
过试用期,guò shì yòng qī,Passed the probationary period,Pasó el período de prueba,Réussite de la période probatoire,Passou no período probatório
申请转正,shēn qǐng zhuǎn zhèng,Apply for a permanent position,Solicitar puesto fijo,Demander une titularisation,Pedir efetivação
已转正,yǐ zhuǎn zhèng,Already full-time,Ya a tiempo completo,Déjà à temps plein,Já em tempo integral
申请升职,shēn qǐng shēng zhí,Apply for promotion,Solicitar promoción,Demander une promotion,Candidate-se à promoção
获得升职,huò dé shēng zhí,Get a promotion,Consigue una promoción,Obtenez une promotion,Ganhe uma promoção
申请加薪,shēn qǐng jiā xīn,Apply for a salary increase,Solicitar un aumento salarial,Demander une augmentation de salaire,Candidatar-se a um aumento salarial
获得加薪,huò dé jiā xīn,Get a salary increase,Obtener un aumento salarial,Obtenez une augmentation de salaire,Obter um aumento salarial
工作调动,gōng zuò diào dòng,Job transfer,Transferencia de trabajo,Transfert d'emploi,Transferência de emprego
申请调动,shēn qǐng diào dòng,Apply for a transfer,Solicitar una transferencia,Demander un transfert,Solicitar uma transferência
要辞职,yào cí zhí,Want to resign,Quiere dimitir,Vous voulez démissionner,Quer pedir demissão
提交辞职,tí jiāo cí zhí,Submit resignation,Presentar renuncia,Présenter sa démission,Enviar demissão
想跳槽,xiǎng tiào cáo,Want to change jobs,Quiere cambiar de trabajo,Envie de changer de métier,Quer mudar de emprego
准备跳槽,zhǔn bèi tiào cáo,Prepare to change jobs,Prepárate para cambiar de trabajo,Préparez-vous à changer d'emploi,Prepare-se para mudar de emprego
