chinese,pinyin,english,spanish,french,portuguese
高兴,gāo xìng,Happy,Feliz,Heureux,Feliz
开心,kāi xīn,Happy,Feliz,Heureux,Feliz
难过,nán guò,Sad,Triste,Triste,Triste
伤心,shāng xīn,Sad,Triste,Triste,Triste
生气,shēng qì,Angry,Enojado,En colère,Irritado
害怕,hài pà,Scared,Asustado,Peur,Assustado
担心,dān xīn,Worried,Preocupado,Inquiet,Preocupado
紧张,jǐn zhāng,Nervous,Nervioso,Nerveux,Nervoso
放松,fàng sōng,Relaxed,Relajado,Détendu,Descontraído
累,lèi,Tired,Cansado,Fatigué,Cansado
无聊,wú liáo,Bored,Aburrido,Ennuyé,Entediado
有趣,yǒu qù,Interesting,Interesante,Intéressant,Interessante
惊讶,jīng yà,Surprised,Sorprendido,Surpris,Surpreso
兴奋,xīng fèn,Excited,Emocionado,Excité,Animado
满意,mǎn yì,Satisfied,Satisfecho,Satisfait,Satisfeito
失望,shī wàng,Disappointed,Decepcionado,Déçu,Decepcionado
着急,zháo jí,Anxious,Ansioso,Anxieux,Ansioso
舒服,shū fú,Comfortable,Cómodo,Confortable,Confortável
高兴起来,gāo xìng qǐ lái,Happy,Feliz,Heureux,Feliz
高兴得很,gāo xìng dé hěn,Very happy,Muy feliz,Très heureux,Muito feliz
开心果,kāi xīn guǒ,Pistachios,Pistachos,Pistaches,Pistácios
玩得开心,wán dé kāi xīn,Have fun,Diviértete,Amusez-vous,Divirta-se
心里难过,xīn lǐ nán guò,Feeling sad,Sentirse triste,Se sentir triste,Me sentindo triste
很难过,hěn nán guò,Very sad,Muy triste,Très triste,Muito triste
伤心事,shāng xīn shì,Sad things,Cosas tristes,Des choses tristes,Coisas tristes
别伤心,bié shāng xīn,Don't be sad,No estés triste,Ne sois pas triste,Não fique triste
生气了,shēng qì le,Angry,Enojado,En colère,Irritado
别生气,bié shēng qì,Don't be angry,No te enojes,Ne sois pas en colère,Não fique com raiva
害怕什么,hài pà shén me,What are you afraid of,¿De qué tienes miedo,De quoi as-tu peur,Do que você tem medo
很害怕,hěn hài pà,Very scared,Mucho miedo,Très peur,Muito assustado
担心你,dān xīn nǐ,Worry about you,Preocúpate por ti,S'inquiéter pour toi,Preocupe-se com você
别担心,bié dān xīn,Don't worry,No te preocupes,Ne vous inquiétez pas,Não se preocupe
紧张死了,jǐn zhāng sǐ le,So nervous,Muy nervioso,Tellement nerveux,Tão nervoso
别紧张,bié jǐn zhāng,Don't be nervous,No te pongas nervioso,Ne soyez pas nerveux,Não fique nervoso
放松心情,fàng sōng xīn qíng,Relax,Relájate,Détendez-vous,Relaxe
放松一下,fàng sōng yī xià,Relax,Relájate,Détendez-vous,Relaxe
累死了,lèi sǐ le,Too tired,Demasiado cansado,Trop fatigué,Muito cansado
太累了,tài lèi le,Too tired,Demasiado cansado,Trop fatigué,Muito cansado
无聊透顶,wú liáo tòu dǐng,Boring,Aburrido,Ennuyeux,Chato
太无聊,tài wú liáo,Too boring,Demasiado aburrido,Trop ennuyeux,Muito chato
有趣的事,yǒu qù de shì,Interesting things,Cosas interesantes,Des choses intéressantes,Coisas interessantes
很有趣,hěn yǒu qù,Very interesting,Muy interesante,Très intéressant,Muito interessante
感到惊讶,gǎn dào jīng yà,Surprised,Sorprendido,Surpris,Surpreso
十分惊讶,shí fēn jīng yà,Very surprised,Muy sorprendido,Très surpris,Muito surpreso
兴奋不已,xīng fèn bù yǐ,Excited,Emocionado,Excité,Animado
兴奋得很,xīng fèn dé hěn,Very excited,Muy emocionado,Très excité,Muito animado
很满意,hěn mǎn yì,Very satisfied,Muy satisfecho,Très satisfait,Muito satisfeito
满意的,mǎn yì de,Satisfied,Satisfecho,Satisfait,Satisfeito
太失望,tài shī wàng,Too disappointed,Demasiado decepcionado,Trop déçu,Muito decepcionado
感到失望,gǎn dào shī wàng,Disappointed,Decepcionado,Déçu,Decepcionado
别着急,bié zháo jí,Don’t be anxious,No estés ansioso,Ne vous inquiétez pas,Não fique ansioso
着急什么,zháo jí shén me,What are you anxious about,¿Por qué estás ansioso,De quoi vous inquiétez-vous,Por que você está ansioso
舒服极了,shū fú jí le,Very comfortable,Muy cómodo,Très confortable,Muito confortável
很舒服,hěn shū fú,Very comfortable,Muy comodo,Très confortable,Muito confortável
