chinese,pinyin,english,spanish,french,portuguese
性格,xìng gé,Personality,Personalidad,Personnalité,Personalidade
开朗,kāi lǎng,Cheerful,Alegre,Joyeux,Alegre
内向,nèi xiàng,Introvert,Introvertido,Introverti,Introvertido
外向,wài xiàng,Extrovert,Extrovertido,Extraverti,Extrovertido
活泼,huó pō,Lively,Vivaz,Vif,Animado
安静,ān jìng,Quiet,Tranquilo,Calme,Quieto
热情,rè qíng,Enthusiastic,Entusiasta,Enthousiaste,Entusiasmado
冷淡,lěng dàn,Cold,Frío,Froid,Frio
幽默,yōu mò,Humorous,Humorístico,Humoristique,Humorístico
严肃,yán sù,Serious,Serio,Sérieux,Sério
温柔,wēn róu,Gentle,Gentil,Doux,Gentil
粗暴,cū bào,Rough,Brusco,Brutal,Bruto
耐心,nài xīn,Patient,Paciente,Patient,Paciente
急躁,jí zào,Impatient,Impaciente,Impatient,Impaciente
乐观,lè guān,Optimistic,Optimista,Optimiste,Otimista
悲观,bēi guān,Pessimistic,Pesimista,Pessimiste,Pessimista
自信,zì xìn,Confident,Confiado,Confiant,Confiante
好性格,hǎo xìng gé,Good personality,Buena personalidad,Bonne personnalité,Boa personalidade
改变性格,gǎi biàn xìng gé,Change personality,Cambiar personalidad,Changer de personnalité,Mudar personalidade
性格开朗,xìng gé kāi lǎng,Cheerful personality,Personalidad alegre,Personnalité joyeuse,Personalidade alegre
开朗爱笑,kāi lǎng ài xiào,Cheerful and loves to laugh,Alegre y le gusta reír,Joyeux et aime rire,Alegre e gosta de rir
性格内向,xìng gé nèi xiàng,Introverted personality,Personalidad introvertida,Personnalité introvertie,Personalidade introvertida
内向的人,nèi xiàng de rén,Introverted person,Persona introvertida,Personne introvertie,Pessoa introvertida
性格外向,xìng gé wài xiàng,Extroverted personality,Personalidad extrovertida,Personnalité extravertie,Personalidade extrovertida
外向好动,wài xiàng hào dòng,Extroverted and active,Extrovertido y activo,Extraverti et actif,Extrovertido e ativo
活泼可爱,huó pō kě ài,Lively and cute,Vivaz y lindo,Vif et mignon,Animado e fofo
天真活泼,tiān zhēn huó pō,Innocent and lively,Inocente y vivaz,Innocent et vif,Inocente e animado
安静下来,ān jìng xià lái,Quiet down,Calmarse,Se calmer,Acalmar-se
安安静静,ān ān jìng jìng,Very quiet,Muy tranquilo,Très calme,Muito quieto
热情招待,rè qíng zhāo dài,Warm reception,Recepción cálida,Accueil chaleureux,Recepção calorosa
热情好客,rè qíng hào kè,Warm and hospitable,Cálido y hospitalario,Chaleureux et hospitalier,Caloroso e hospitaleiro
态度冷淡,tài dù lěng dàn,Cold attitude,Actitud fría,Attitude froide,Atitude fria
冷淡待人,lěng dàn dài rén,Treat others coldly,Tratar a otros con frialdad,Traiter les autres froidement,Tratar os outros friamente
说话幽默,shuō huà yōu mò,Speak humorously,Hablar con humor,Parler avec humour,Falar com humor
幽默风趣,yōu mò fēng qù,Humorous and witty,Gracioso e ingenioso,Humoristique et spirituel,Bem-humorado e espirituoso
表情严肃,biǎo qíng yán sù,Serious expression,Expresión seria,Expression sérieuse,Expressão séria
严肃认真,yán sù rèn zhēn,Serious and earnest,Serio y formal,Sérieux et appliqué,Sério e dedicado
性格温柔,xìng gé wēn róu,Gentle personality,Personalidad gentil,Personnalité douce,Personalidade gentil
温柔体贴,wēn róu tǐ tiē,Gentle and considerate,Gentil y considerado,Doux et attentionné,Gentil e atencioso
脾气粗暴,pí qì cū bào,Rough temper,Mal genio,Caractère brutal,Temperamento bruto
做事粗暴,zuò shì cū bào,Rough in doing things,Brusco al hacer cosas,Brutal dans ses actions,Bruto nas ações
有耐心,yǒu nài xīn,Have patience,Tener paciencia,Avoir de la patience,Ter paciência
耐心等待,nài xīn děng dài,Wait patiently,Esperar pacientemente,Attendre patiemment,Esperar pacientemente
脾气急躁,pí qì jí zào,Hot temper,Temperamento caliente,Tempérament chaud,Temperamento quente
急躁不安,jí zào bù ān,Restless and anxious,Inquieto y ansioso,Agité et anxieux,Inquieto e ansioso
心态乐观,xīn tài lè guān,Optimistic mindset,Mentalidad optimista,État d'esprit optimiste,Mentalidade otimista
乐观向上,lè guān xiàng shàng,Optimistic and positive,Optimista y positivo,Optimiste et positif,Otimista e positivo
太悲观,tài bēi guān,Too pessimistic,Demasiado pesimista,Trop pessimiste,Muito pessimista
悲观情绪,bēi guān qíng xù,Pessimistic mood,Estado de ánimo pesimista,Humeur pessimiste,Humor pessimista
充满自信,chōng mǎn zì xìn,Full of confidence,Lleno de confianza,Plein de confiance,Cheio de confiança
自信满满,zì xìn mǎn mǎn,Brimming with confidence,Rebosante de confianza,Débordant de confiance,Transbordando confiança
