chinese,pinyin,english,spanish,french,portuguese
账户,zhàng hù,Account,Cuenta,Compte,Conta
存款,cún kuǎn,Deposit,Depósito,Dépôt,Depósito
取款,qǔ kuǎn,Withdrawal,Retiro,Retrait,Retirada
转账,zhuǎn zhàng,Transfer,Transferencia,Transfert,Transferência
汇款,huì kuǎn,Remittance,Remesas,Remise de fonds,Remessa
贷款,dài kuǎn,Loan,Préstamo,Prêt,Empréstimo
利息,lì xī,Interest,Interés,Intérêt,Juros
信用卡,xìn yòng kǎ,Credit card,Tarjeta de crédito,Carte de crédit,Cartão de crédito
借记卡,jiè jì kǎ,Debit card,Tarjeta de débito,Carte de débit,Cartão de débito
余额,yú é,Balance,Saldo,Solde,Saldo
账单,zhàng dān,Bill,Factura,Facture,Fatura
手续费,shǒu xù fèi,Handling fee,Tarifa de gestión,Frais de traitement,Taxa de processamento
理财,lǐ cái,Financial management,Gestión financiera,Gestion financière,Gestão financeira
投资,tóu zī,Investment,Inversión,Investissement,Investimento
柜台,guì tái,Counter,Mostrador,Comptoir,Balcão
储蓄,chǔ xù,Savings,Ahorros,Épargne,Poupança
开账户,kāi zhàng hù,Open account,Abrir cuenta,Ouvrir un compte,Abrir conta
银行账户,yín háng zhàng hù,Bank account,Cuenta bancaria,Compte bancaire,Conta bancária
存款额,cún kuǎn é,Deposit amount,Monto del depósito,Montant du dépôt,Valor do depósito
去存款,qù cún kuǎn,Go to deposit,Ir a depositar,Aller déposer,Ir depositar
取款机,qǔ kuǎn jī,ATM machine,Cajero automático,Distributeur,Caixa eletrônico
去取款,qù qǔ kuǎn,Go to withdraw,Ir a retirar,Aller retirer,Ir sacar
转账吧,zhuǎn zhàng ba,Let's transfer,Vamos a transferir,Transférons,Vamos transferir
去转账,qù zhuǎn zhàng,Go to transfer,Ir a transferir,Aller transférer,Ir transferir
汇款单,huì kuǎn dān,Remittance slip,Recibo de remesa,Bordereau de remise,Recibo de remessa
去汇款,qù huì kuǎn,Go to remit,Ir a remitir,Aller envoyer,Ir enviar dinheiro
贷款额,dài kuǎn é,Loan amount,Monto del préstamo,Montant du prêt,Valor do empréstimo
申请贷款,shēn qǐng dài kuǎn,Apply for loan,Solicitar préstamo,Demander un prêt,Solicitar empréstimo
利息高,lì xī gāo,High interest,Alto interés,Intérêt élevé,Juros altos
算利息,suàn lì xī,Calculate interest,Calcular interés,Calculer les intérêts,Calcular juros
刷信用卡,shuā xìn yòng kǎ,Swipe credit card,Pasar tarjeta de crédito,Passer la carte de crédit,Passar cartão de crédito
办信用卡,bàn xìn yòng kǎ,Apply for credit card,Solicitar tarjeta de crédito,Demander une carte de crédit,Solicitar cartão de crédito
刷借记卡,shuā jiè jì kǎ,Swipe debit card,Pasar tarjeta de débito,Passer la carte de débit,Passar cartão de débito
办借记卡,bàn jiè jì kǎ,Apply for debit card,Solicitar tarjeta de débito,Demander une carte de débit,Solicitar cartão de débito
查余额,chá yú é,Check balance,Verificar saldo,Vérifier le solde,Verificar saldo
看余额,kàn yú é,View balance,Ver saldo,Voir le solde,Ver saldo
看账单,kàn zhàng dān,View bill,Ver factura,Voir la facture,Ver fatura
还账单,huán zhàng dān,Pay bill,Pagar factura,Payer la facture,Pagar fatura
手续费高,shǒu xù fèi gāo,High handling fee,Tarifa alta,Frais élevés,Taxa alta
收手续费,shōu shǒu xù fèi,Charge handling fee,Cobrar tarifa,Facturer des frais,Cobrar taxa
理财产品,lǐ cái chǎn pǐn,Financial products,Productos financieros,Produits financiers,Produtos financeiros
学理财,xué lǐ cái,Learn finance,Aprender finanzas,Apprendre la finance,Aprender finanças
投资好,tóu zī hǎo,Good investment,Buena inversión,Bon investissement,Bom investimento
去投资,qù tóu zī,Go to invest,Ir a invertir,Aller investir,Ir investir
去柜台,qù guì tái,Go to counter,Ir al mostrador,Aller au comptoir,Ir ao balcão
在柜台,zài guì tái,At the counter,En el mostrador,Au comptoir,No balcão
储蓄卡,chǔ xù kǎ,Savings card,Tarjeta de ahorros,Carte d'épargne,Cartão de poupança
定期储蓄,dìng qī chǔ xù,Fixed deposit,Depósito fijo,Dépôt à terme,Depósito a prazo
