chinese,pinyin,english,spanish,french,portuguese
困难,kùn nán,Difficulty,Dificultad,Difficulté,Dificuldade
难题,nán tí,Problem,Problema,Problème,Problema
难处,nán chǔ,Difficulty,Dificultad,Difficulté,Dificuldade
障碍,zhàng ài,Obstacle,Obstáculo,Obstacles,Obstáculo
困境,kùn jìng,Dilemma,Dilema,Dilemme,Dilema
危机,wēi jī,Crisis,Crisis,Crise,Crise
差错,chā cuò,Error,Error,Erreur,Erro
故障,gù zhàng,Failure,Fracaso,Échec,Falha
缺陷,quē xiàn,Defect,Defecto,Défaut,Defeito
不足,bù zú,Insufficiency,Insuficiencia,Insuffisance,Insuficiência
严重,yán zhòng,Serious,Serio,Sérieux,Sério
棘手,jí shǒu,Troublesome,Molesto,Gênant,Problemático
复杂,fù zá,Complex,Complejo,Complexe,Complexo
糟糕,zāo gāo,Bad,Malo,Mauvais,Ruim
克服困难,kè fú kùn nán,Overcoming difficulties,Superar las dificultades,Surmonter les difficultés,Superando dificuldades
困难重重,kùn nán chóng chóng,Difficulties,Dificultades,Difficultés,Dificuldades
破解难题,pò jiě nán tí,Solving problems,Resolver problemas,Résoudre les problèmes,Resolvendo problemas
世界难题,shì jiè nán tí,World problems,Problemas mundiales,Problèmes mondiaux,Problemas mundiais
各有难处,gè yǒu nán chǔ,Each has its own difficulties,Cada uno tiene sus propias dificultades,Chacun a ses propres difficultés,Cada um tem suas dificuldades
说不出的难处,shuō bù chū de nán chǔ,Unspeakable difficulties,Dificultades indescriptibles,Des difficultés indicibles,Dificuldades indescritíveis
语言障碍,yǔ yán zhàng ài,Language barrier,Barrera del idioma,Barrière de la langue,Barreira linguística
扫除障碍,sǎo chú zhàng ài,Remove obstacles,Eliminar obstáculos,Supprimer les obstacles,Remover obstáculos
陷入困境,xiàn rù kùn jìng,Fall into trouble,Caer en problemas,Tomber dans le pétrin,Ter problemas
走出困境,zǒu chū kùn jìng,Get out of trouble,Sal del problema,Sortez du pétrin,Saia dos problemas
经济危机,jīng jì wēi jī,Economic crisis,Crisis económica,Crise économique,Crise económica
化解危机,huà jiě wēi jī,Resolve the crisis,Resolver la crisis,Résoudre la crise,Resolver a crise
出了差错,chū le chā cuò,Something went wrong,Algo salió mal,Quelque chose s'est mal passé,Algo deu errado
纠正差错,jiū zhèng chā cuò,Correct the error,Corregir el error,Corrigez l'erreur,Corrija o erro
机器故障,jī qì gù zhàng,Machine failure,Fallo de la máquina,Panne de machine,Falha da máquina
排除故障,pái chú gù zhàng,Troubleshooting,Solución de problemas,Dépannage,Solução de problemas
性格缺陷,xìng gé quē xiàn,Character flaw,Defecto de carácter,Défaut de caractère,Falha de personagem
先天缺陷,xiān tiān quē xiàn,Congenital defect,Defecto congénito,Malformation congénitale,Defeito congênito
经验不足,jīng yàn bù zú,Inexperience,Inexperiencia,Inexpérience,Inexperiência
弥补不足,mí bǔ bù zú,Make up for the shortcomings,Compensar las deficiencias,Combler les lacunes,Compensar as deficiências
问题严重,wèn tí yán zhòng,Serious problem,Problema grave,Grave problème,Problema sério
伤势严重,shāng shì yán zhòng,Serious injury,Lesión grave,Blessure grave,Lesão grave
问题棘手,wèn tí jí shǒu,Troublesome problem,Problema problemático,Problème gênant,Problema problemático
事情棘手,shì qíng jí shǒu,Tricky thing,Cosa complicada,Chose délicate,Coisa complicada
情况复杂,qíng kuàng fù zá,Complex situation,Situación compleja,Situation complexe,Situação complexa
人际复杂,rén jì fù zá,Complex relationships,Relaciones complejas,Relations complexes,Relações complexas
一团糟糕,yī tuán zāo gāo,It's a mess,Es un desastre,C'est le bordel,Está uma bagunça
事情糟糕,shì qíng zāo gāo,Things are bad,las cosas estan mal,Les choses vont mal,As coisas estão ruins
