chinese,pinyin,english,spanish,french,portuguese
加,jiā,Add,Sumar,Ajouter,Somar
减,jiǎn,Subtract,Restar,Soustraire,Subtrair
乘,chéng,Multiply,Multiplicar,Multiplier,Multiplicar
除,chú,Divide by,Dividir por,Diviser par,Divida por
等于,děng yú,Equals,Igual a,Égale,Igual a
第一,dì yī,First,Primero,Premier,Primeiro
第二,dì èr,Second,Segundo,Deuxième,Segundo
第三,dì sān,Third,Tercero,Troisième,Terceiro
总共,zǒng gòng,In total,En total,Au total,No total
倍,bèi,Times,Veces,Fois,Vezes
一半,yí bàn,Half,Mitad,Moitié,Metade
算,suàn,Calculate,Calcular,Calculer,Calcular
数学,shù xué,Math,Matemáticas,Mathématiques,Matemática
余,yú,Remainder,Resto,Reste,Resto
差,chà,Difference,Diferencia,Différence,Diferença
积,jī,Product,Producto,Produit,Produto
商,shāng,Quotient,Cociente,Quotient,Quociente
加法,jiā fǎ,Addition,Suma,Addition,Adição
加上,jiā shàng,Plus,Más,Plus,Mais
减法,jiǎn fǎ,Subtraction,Resta,Soustraction,Subtração
减去,jiǎn qù,Minus,Menos,Moins,Menos
乘法,chéng fǎ,Multiplication,Multiplicación,Multiplication,Multiplicação
乘以,chéng yǐ,Multiply by,Multiplicar por,Multiplier par,Multiplicar por
除法,chú fǎ,Division,División,Division,Divisão
除以,chú yǐ,Divide by,Dividir por,Diviser par,Dividir por
等于多少,děng yú duō shǎo,What does it equal,A cuánto equivale,À quoi égal,Quanto equivale
不等于,bù děng yú,Not equal to,No es igual a,N'est pas égal à,Não é igual a
第一名,dì yì míng,First place,Primer lugar,Première place,Primeiro lugar
得第一,dé dì yī,Get first place,Obtener el primer lugar,Obtenir la première place,Obter o primeiro lugar
第二名,dì èr míng,Second place,Segundo lugar,Deuxième place,Segundo lugar
得第二,dé dì èr,Get second place,Obtener el segundo lugar,Obtenir la deuxième place,Obter o segundo lugar
第三名,dì sān míng,Third place,Tercer lugar,Troisième place,Terceiro lugar
得第三,dé dì sān,Get third place,Obtener el tercer lugar,Obtenir la troisième place,Obter o terceiro lugar
总共多少,zǒng gòng duō shǎo,How much in total,Cuánto en total,Combien au total,Quanto no total
一共总共,yī gòng zǒng gòng,Altogether in total,En total,En tout,No total
两倍,liǎng bèi,Double,Doble,Double,Duplo
三倍,sān bèi,Triple,Triple,Triple,Triplo
一半的,yí bàn de,Half of,La mitad de,La moitié de,Metade de
分一半,fēn yí bàn,Divide in half,Dividir a la mitad,Diviser en deux,Dividir ao meio
算一下,suàn yī xià,Calculate,Calcular,Calculer,Calcular
算出来,suàn chū lái,Work it out,Calcúlalo,Calcule,Resolva
学数学,xué shù xué,Learn math,Aprender matemáticas,Apprendre les maths,Aprender matemática
教数学,jiào shù xué,Teach math,Enseñar matemáticas,Enseigner les maths,Ensinar matemática
余数,yú shù,Remainder,Resto,Reste,Resto
剩余,shèng yú,Remaining,Restante,Restant,Restante
差多少,chà duō shǎo,How much is the difference,Cuánto es la diferencia,Quelle est la différence,Qual é a diferença
相差,xiāng chà,Difference,Diferencia,Différence,Diferença
积是,jī shì,The product is,El producto es,Le produit est,O produto é
乘积,chéng jī,Product,Producto,Produit,Produto
商是,shāng shì,The quotient is,El cociente es,Le quotient est,O quociente é
求商,qiú shāng,Find the quotient,Encontrar el cociente,Trouver le quotient,Encontrar o quociente
