chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
频率,pín lǜ,Frequency,Frecuencia,Fréquence,Frequência,Tần số,ความถี่,ភាពញឹកញាប់,Frekuensi,Kekerapan,Kadalasan
频繁,pín fán,Frequent,Frecuente,Fréquent,Frequente,Thường xuyên,บ่อยครั้ง,ការរៀនសូត្រច្រើន ធ្វើម្តងទៀត,Sering,Kerap,Madalas
反复,fǎn fù,Repeated,Repetido,Répété,Repetido,Lặp đi lặp lại,ซ้ำ,ធ្វើម្តងទៀត,Berulang,Berulang,Paulit -ulit
重复,chóng fù,Repeat,Repetir,Répétez,Repita,Lặp lại,ทำซ้ำ,ការបន្ត,Ulangi,Ulang,Ulitin
连续,lián xù,Continuous,Continuo,Continu,Contínuo,Liên tục,ต่อเนื่อง,ការបន្ត,Terus menerus,Berterusan,Patuloy
持续,chí xù,Continuous,Continuo,Continu,Contínuo,Liên tục,ต่อเนื่อง,ការបណ្តោះអាសន្ន,Terus menerus,Berterusan,Patuloy
断断续续,duàn duàn xù xù,Intermittent,Intermitente,Intermittent,Intermitente,Không liên tục,เป็นระยะๆ,ពីមួយពេលទៅមួយពេល,Intermiten,Sekejap,Intermittent
时不时,shí bù shí,From time to time,De vez en cuando,De temps en temps,De vez em quando,Thỉnh thoảng,เป็นครั้งคราว,ជារឿយៗ,Dari waktu ke waktu,Dari semasa ke semasa,Paminsan -minsan
时常,shí cháng,Often,A menudo,Souvent,Frequentemente,Thường xuyên,บ่อยครั้ง,រយៈពេលវែង,Sering,Selalunya,Kadalasan
长久,cháng jiǔ,Long-term,A largo plazo,À long terme,Longo prazo,Lâu dài,ระยะยาว,បានរស់នៅខ្លី,Jangka panjang,Jangka Panjang,Pangmatagalang
短暂,duǎn zàn,Short-lived,De corta duración,De courte durée,De curta duração,Ngắn ngủi,อายุสั้น,អចិន្រ្តៃយ៍,Berumur pendek,Jangka pendek,Maikling buhay
永久,yǒng jiǔ,Permanent,Permanente,Permanente,Permanente,Thường trực,ถาวร,មានពេលមួយ,Permanen,Kekal,Permanenteng
一时,yī shí,One time,Una vez,Une fois,Uma vez,Một lần,ครั้งหนึ่ง,ពេញមួយថ្ងៃ,Suatu saat,Satu kali,Isang beses
整天,zhěng tiān,All day,Todo el día,Toute la journée,O dia todo,Cả ngày,ทั้งวัน,ពេញមួយយប់,Sepanjang hari,Semua hari,Buong araw
整夜,zhěng yè,All night,Toda la noche,Toute la nuit,A noite toda,Cả đêm,ทั้งคืน,ពេញមួយយប់,Sepanjang malam,Semua Malam,Buong gabi
通宵,tōng xiāo,All night,Toda la noche,Toute la nuit,A noite toda,Cả đêm,ทั้งคืน,ប្រេកង់ខ្ពស់,Sepanjang malam,Semua Malam,Buong gabi
频率高,pín lǜ gāo,High frequency,Alta frecuencia,Haute fréquence,Alta frequência,Tần số cao,ความถี่สูง,ប្រេកង់មើល,Frekuensi tinggi,Kekerapan Tinggi,Mataas na dalas
看频率,kàn pín lǜ,View frequency,Ver frecuencia,Afficher la fréquence,Ver frequência,Xem tần suất,ดูความถี่,ជាញឹកញាប់ណាស់,Lihat frekuensi,Lihat Kekerapan,Tingnan ang dalas
很频繁,hěn pín fán,Very frequently,Muy frecuentemente,Très fréquemment,Muito frequentemente,Rất thường xuyên,บ่อยมาก,ជាញឹកញាប់ពេក,Sangat sering,Sangat kerap,Napakadalas
太频繁,tài pín fán,Too often,Con demasiada frecuencia,Trop souvent,Muitas vezes,Quá thường xuyên,บ่อยเกินไป,ម្តងហើយម្តងទៀត,Terlalu sering,Terlalu sering,Masyadong madalas
反复做,fǎn fù zuò,Repeatedly,Repetidamente,À plusieurs reprises,Repetidamente,Lặp đi lặp lại,ซ้ำๆ,ម្តងហើយម្តងទៀត,Berulang kali,Berulang kali,Paulit -ulit
反复说,fǎn fù shuō,Repeatedly,Repetidamente,À plusieurs reprises,Repetidamente,Lặp đi lặp lại,ซ้ำๆ,ធ្វើម្តងទៀត,Berulang kali,Berulang kali,Paulit -ulit
重复了,chóng fù le,Repeated,Repetido,Répété,Repetido,Lặp đi lặp lại,ซ้ำ,កុំធ្វើម្តងទៀត,Berulang,Berulang,Paulit -ulit
不要重复,bú yào chóng fù,Don’t repeat,No repetir,Ne répétez pas,Não repita,Đừng lặp lại,อย่าซ้ำ,បីថ្ងៃជាប់ៗគ្នា,Jangan ulangi,Jangan Ulangi,Huwag ulitin
连续三天,lián xù sān tiān,Three days in a row,Tres días seguidos,Trois jours d'affilée,Três dias seguidos,Ba ngày liên tiếp,สามวันติดต่อกัน,ការងារជាបន្តបន្ទាប់,Tiga hari berturut-turut,Tiga hari berturut -turut,Tatlong araw sa isang hilera
连续工作,lián xù gōng zuò,Continuous work,Trabajo continuo,Travail continu,Trabalho contínuo,Làm việc liên tục,งานต่อเนื่อง,ការអភិវឌ្ឍន៍ជាបន្តបន្ទាប់,Kerja terus menerus,Kerja berterusan,Patuloy na trabaho
持续发展,chí xù fā zhǎn,Continuous development,Desarrollo continuo,Développement continu,Desenvolvimento contínuo,Phát triển không ngừng,การพัฒนาอย่างต่อเนื่อง,កំពុងបន្ត,Perkembangan berkelanjutan,Pembangunan berterusan,Patuloy na Pag -unlad
持续进行,chí xù jìn xíng,Ongoing,En curso,En cours,Em andamento,Đang diễn ra,ต่อเนื่อง,ការបណ្តោះអាសន្ន,Sedang berlangsung,Berterusan,Patuloy
断断续续的,duàn duàn xù xù de,Intermittent,Intermitente,Intermittent,Intermitente,Không liên tục,เป็นระยะๆ,ថ្លែងយ៉ាងខ្លី,Intermiten,Sekejap,Intermittent
说的断断续续,shuō de duàn duàn xù xù,Speaking intermittently,Hablando intermitentemente,Parlant par intermittence,Falando de forma intermitente,Nói ngắt quãng,พูดเป็นช่วงๆ,ពីមួយពេលទៅមួយពេល,Berbicara sebentar-sebentar,Bercakap secara berselang -seli,Nagsasalita nang paulit -ulit
时不时的,shí bù shí de,From time to time,De vez en cuando,De temps en temps,De vez em quando,Thỉnh thoảng,เป็นครั้งคราว,គិតពីវាពីមួយពេលទៅមួយពេល,Dari waktu ke waktu,Dari semasa ke semasa,Paminsan -minsan
时不时想起,shí bù shí xiǎng qǐ,Think of it from time to time,Piénsalo de vez en cuando,Pensez-y de temps en temps,Pense nisso de vez em quando,Thỉnh thoảng hãy nghĩ về nó,คิดถึงจังเลย,គិតអំពីវាឱ្យបានញឹកញាប់,Pikirkanlah dari waktu ke waktu,Fikirkan dari semasa ke semasa,Isipin ito paminsan -minsan
时常想,shí cháng xiǎng,Think about it often,Piénsalo con frecuencia,Pensez-y souvent,Pense nisso com frequência,Hãy thường xuyên nghĩ về nó,คิดถึงบ่อยๆ,មកពីមួយពេលទៅមួយពេល,Sering-seringlah memikirkannya,Fikirkanlah sering,Isipin ito madalas
