chinese,pinyin,english,spanish,french,portuguese
地方,dì fāng,Place,Lugar,Lieu,Lugar
学校,xué xiào,School,Escuela,École,Escola
公司,gōng sī,Company,Empresa,Entreprise,Empresa
银行,yín háng,Bank,Banco,Banque,Banco
超市,chāo shì,Supermarket,Supermercado,Supermarché,Supermercado
商店,shāng diàn,Shop,Tienda,Boutique,Loja
饭店,fàn diàn,Restaurant,Restaurante,Restaurant,Restaurante
酒店,jiǔ diàn,Hotel,Hotel,Hôtel,Hotel
餐厅,cān tīng,Restaurant,Restaurante,Restaurant,Restaurante
机场,jī chǎng,Airport,Aeropuerto,Aéroport,Aeroporto
车站,chē zhàn,Station,Estación,Gare,Estação
公园,gōng yuán,Park,Parque,Parc,Parque
图书馆,tú shū guǎn,Library,Biblioteca,Bibliothèque,Biblioteca
办公室,bàn gōng shì,Office,Oficina,Bureau,Escritório
邮局,yóu jú,Post office,Oficina de correos,Bureau de poste,Correios
电影院,diàn yǐng yuàn,Cinema,Cine,Cinéma,Cinema
博物馆,bó wù guǎn,Museum,Museo,Musée,Museu
体育馆,tǐ yù guǎn,Gym,Gimnasio,Salle de sport,Academia
这地方不错,zhè dì fāng bù cuò,This place is nice,Este lugar es bonito,Cet endroit est sympa,Esse lugar é legal
找个地方,zhǎo gè dì fāng,Find a place,Encuentra un lugar,Trouver un endroit,Encontre um lugar
学校放假,xué xiào fàng jià,School holidays,Vacaciones escolares,Vacances scolaires,Férias escolares
学校很近,xué xiào hěn jìn,The school is very close,La escuela está muy cerca,L'école est très proche,A escola fica bem perto
公司开会,gōng sī kāi huì,Company meeting,Reunión de empresa,Réunion d'entreprise,Reunião da empresa
公司上班,gōng sī shàng bān,Work at the company,Trabajar en la empresa,Travailler dans l'entreprise,Trabalhar na empresa
银行排队,yín háng pái duì,Queue at the bank,Cola en el banco,File d'attente à la banque,Fila no banco
银行取钱,yín háng qǔ qián,Withdraw money from the bank,Retirar dinero del banco,Retirer de l'argent de la banque,Sacar dinheiro do banco
超市买菜,chāo shì mǎi cài,Supermarket shopping,Compras en el supermercado,Achats au supermarché,Compras no supermercado
超市打折,chāo shì dǎ zhé,Supermarket discounts,Descuentos en supermercados,Remises dans les supermarchés,Descontos em supermercados
商店关门,shāng diàn guān mén,Stores are closed,Las tiendas están cerradas,Les magasins sont fermés,As lojas estão fechadas
逛商店,guàng shāng diàn,Go shopping,Ir de compras,Faire du shopping,Ir às compras
订饭店,dìng fàn diàn,Book a restaurant,Reservar un restaurante,Réserver un restaurant,Reservar um restaurante
饭店吃饭,fàn diàn chī fàn,Eat at the restaurant,Comer en el restaurante,Manger au restaurant,Comer no restaurante
酒店入住,jiǔ diàn rù zhù,Check into a hotel,Registrarse en el hotel,S'enregistrer à l'hôtel,Fazer check-in no hotel
订酒店,dìng jiǔ diàn,Book a hotel,Reservar un hotel,Réserver un hôtel,Reservar um hotel
餐厅订座,cān tīng dìng zuò,Reserve a table,Reservar una mesa,Réserver une table,Reservar uma mesa
西餐厅,xī cān tīng,Western restaurant,Restaurante occidental,Restaurant occidental,Restaurante ocidental
机场接人,jī chǎng jiē rén,Pick someone up at the airport,Recoger a alguien en el aeropuerto,Chercher quelqu'un à l'aéroport,Buscar alguém no aeroporto
到机场,dào jī chǎng,Arrive at the airport,Llegar al aeropuerto,Arriver à l'aéroport,Chegar ao aeroporto
到车站,dào chē zhàn,Arrive at the station,Llegar a la estación,Arriver à la gare,Chegar à estação
汽车站,qì chē zhàn,Bus station,Estación de autobuses,Gare routière,Estação de ônibus
公园散步,gōng yuán sàn bù,Walk in the park,Caminar en el parque,Se promener dans le parc,Passear no parque
逛公园,guàng gōng yuán,Visit the park,Visitar el parque,Visiter le parc,Visitar o parque
图书馆借书,tú shū guǎn jiè shū,Borrow books from the library,Tomar prestados libros de la biblioteca,Emprunter des livres à la bibliothèque,Emprestar livros da biblioteca
图书馆学习,tú shū guǎn xué xí,Study in the library,Estudiar en la biblioteca,Étudier à la bibliothèque,Estudar na biblioteca
回办公室,huí bàn gōng shì,Go back to the office,Volver a la oficina,Retourner au bureau,Voltar ao escritório
办公室开会,bàn gōng shì kāi huì,Have a meeting in the office,Tener una reunión en la oficina,Avoir une réunion au bureau,Ter uma reunião no escritório
邮局寄信,yóu jú jì xìn,Send a letter at the post office,Enviar una carta en la oficina de correos,Envoyer une lettre à la poste,Enviar uma carta no correio
找邮局,zhǎo yóu jú,Find the post office,Buscar la oficina de correos,Trouver la poste,Encontrar o correio
电影院看电影,diàn yǐng yuàn kàn diàn yǐng,Watch a movie at the cinema,Ver una película en el cine,Regarder un film au cinéma,Assistir um filme no cinema
新电影院,xīn diàn yǐng yuàn,New cinema,Nuevo cine,Nouveau cinéma,Novo cinema
参观博物馆,cān guān bó wù guǎn,Visit the museum,Visitar el museo,Visiter le musée,Visitar o museu
历史博物馆,lì shǐ bó wù guǎn,History museum,Museo de historia,Musée d'histoire,Museu de história
体育馆打球,tǐ yù guǎn dǎ qiú,Play ball at the gym,Jugar pelota en el gimnasio,Jouer au ballon au gymnase,Jogar bola no ginásio
奥运体育馆,ào yùn tǐ yù guǎn,Olympic stadium,Estadio olímpico,Stade olympique,Estádio olímpico
