chinese,pinyin,english,spanish,french,portuguese
白天,bái tiān,Daytime,Durante el día,Jour,Durante o dia
夜晚,yè wǎn,Night,Noche,Nuit,Noite
凌晨,líng chén,Early morning,Temprano en la mañana,Tôt le matin,De manhã cedo
黎明,lí míng,Dawn,Amanecer,Aube,Amanhecer
傍晚,bàng wǎn,Evening,Atardecer,Soirée,Noite
黄昏,huáng hūn,Dusk,Anochecer,Crépuscule,Crepúsculo
平时,píng shí,Usually,Generalmente,Habituellement,Normalmente
永远,yǒng yuǎn,Forever,Para siempre,Pour toujours,Para sempre
最近,zuì jìn,Recently,Recientemente,Récemment,Recentemente
将来,jiāng lái,Future,Futuro,Avenir,Futuro
始终,shǐ zhōng,Always,Siempre,Toujours,Sempre
日后,rì hòu,In the future,En el futuro,Dans le futur,No futuro
往后,wǎng hòu,Next time,La próxima vez,La prochaine fois,Da próxima vez
今后,jīn hòu,From now on,De ahora en adelante,A partir de maintenant,De agora em diante
当初,dāng chū,At the beginning,Al principio,Au début,No início
先前,xiān qián,Before,Antes,Avant,Antes
此后,cǐ hòu,Afterward,Después,Ensuite,Depois
白天工作,bái tiān gōng zuò,Working during the day,Trabajar durante el día,Travailler pendant la journée,Trabalhar durante o dia
在白天,zài bái tiān,During the day,Durante el día,Pendant la journée,Durante o dia
夜晚休息,yè wǎn xiū xī,Resting at night,Descansando por la noche,Repos la nuit,Descansando à noite
在夜晚,zài yè wǎn,At night,Por la noche,La nuit,À noite
凌晨起,líng chén qǐ,Getting up in the early morning,Levantarse temprano en la mañana,Se lever tôt le matin,Levantar de manhã cedo
到凌晨,dào líng chén,To early morning,Hasta la madrugada,Au petit matin,Para madrugada
黎明时分,lí míng shí fēn,Dawn,Amanecer,Aube,Amanhecer
等黎明,děng lí míng,Waiting for dawn,Esperando el amanecer,En attendant l'aube,Esperando o amanhecer
傍晚时,bàng wǎn shí,Evening,Tarde,Soirée,Noite
到傍晚,dào bàng wǎn,To dusk,Al anochecer,Au crépuscule,Ao anoitecer
黄昏时,huáng hūn shí,Dusk,Anochecer,Crépuscule,Crepúsculo
看黄昏,kàn huáng hūn,Looking at dusk,Mirando el anochecer,En regardant le crépuscule,Olhando para o entardecer
平时忙,píng shí máng,Normally busy,Normalmente ocupado,Normalement occupé,Normalmente ocupado
在平时,zài píng shí,At normal times,En horarios normales,En temps normal,Em horários normais
永远爱你,yǒng yuǎn ài nǐ,Love you forever,Te amaré por siempre,Je t'aime pour toujours,Te amo para sempre
会永远,huì yǒng yuǎn,Will always,Siempre lo será,Sera toujours,Sempre
最近忙,zuì jìn máng,Busy recently,Ocupado recientemente,Occupé récemment,Ocupado recentemente
在最近,zài zuì jìn,Recently,Recientemente,Récemment,Recentemente
将来会,jiāng lái huì,In the future,En el futuro,Dans le futur,No futuro
在将来,zài jiāng lái,In the future,En el futuro,Dans le futur,No futuro
始终如一,shǐ zhōng rú yī,Always the same,Siempre lo mismo,Toujours le même,Sempre o mesmo
会始终,huì shǐ zhōng,Will always,Siempre lo será,Sera toujours,Sempre
日后再说,rì hòu zài shuō,Talk about it later,Habla de ello más tarde,Parlez-en plus tard,Falaremos sobre isso depois
等日后,děng rì hòu,Wait for the future,Espera el futuro,Attendez le futur,Espere pelo futuro
往后看,wǎng hòu kàn,Looking ahead,Mirando hacia adelante,Regarder en avant,Olhando para frente
从往后,cóng wǎng hòu,from now on,de ahora en adelante,à partir de maintenant,de agora em diante
今后会,jīn hòu huì,from now on,de ahora en adelante,à partir de maintenant,de agora em diante
从今后,cóng jīn hòu,from now on,de ahora en adelante,à partir de maintenant,de agora em diante
当初说,dāng chū shuō,said at the beginning,dijo al principio,dit au début,disse no início
在当初,zài dāng chū,in the beginning,al principio,au début,no início
先前说,xiān qián shuō,said before,dijo antes,dit avant,disse antes
在先前,zài xiān qián,previously,anteriormente,auparavant,anteriormente
此后会,cǐ hòu huì,from now on,de aquí en adelante,désormais,de agora em diante
从此后,cóng cǐ hòu,from now on,de ahora en adelante,désormais,de agora em diante
