chinese,pinyin,english,spanish,french,portuguese
星期,xīng qī,Week,Semana,Semaine,Semana
星期一,xīng qī yī,Monday,Lunes,Lundi,Segunda-feira
星期二,xīng qī èr,Tuesday,Martes,Mardi,Terça-feira
星期三,xīng qī sān,Wednesday,Miércoles,Mercredi,Quarta-feira
星期四,xīng qī sì,Thursday,Jueves,Jeudi,Quinta-feira
星期五,xīng qī wǔ,Friday,Viernes,Vendredi,Sexta-feira
星期六,xīng qī liù,Saturday,Sábado,Samedi,Sábado
星期日,xīng qī rì,Sunday,Domingo,Dimanche,Domingo
周,zhōu,week,semana,semaine,semana
周一,zhōu yī,Monday,Lunes,Lundi,Segunda-feira
周末,zhōu mò,weekend,fin de semana,week-end,fim de semana
工作日,gōng zuò rì,working day,jornada laboral,jour ouvrable,jornada de trabalho
礼拜,lǐ bài,week,semana,semaine,semana
每周,měi zhōu,Every week,cada semana,semaine,toda semana
今天星期几,jīn tiān xīng qī jǐ,What day is today,¿Qué día es hoy?,jour de la semaine,Que dia é hoje
一个星期,yí gè xīng qī,one week,una semana,une semaine,uma semana
星期一上班,xīng qī yī shàng bān,Work on Monday,Trabajo el lunes,Travail du lundi,Trabalho na segunda-feira
星期一开会,xīng qī yī kāi huì,Meeting on Monday,Reunión el lunes,Réunion du lundi,Reunião na segunda-feira
星期二上课,xīng qī èr shàng kè,Class on Tuesday,Clase el martes,Cours du mardi,Aula na terça-feira
星期二考试,xīng qī èr kǎo shì,Exam on Tuesday,Examen el martes,Examen du mardi,Exame na terça-feira
星期三下午,xīng qī sān xià wǔ,Wednesday afternoon,Miércoles por la tarde,Mercredi après-midi,Quarta-feira à tarde
星期三有空,xīng qī sān yǒu kòng,Wednesday free,Miércoles libre,Mercredi gratuit,Quarta-feira livre
星期四去医院,xīng qī sì qù yī yuàn,Go to the hospital on Thursday,Ir al hospital el jueves,Allez à l'hôpital jeudi,Vá para o hospital na quinta-feira
星期四发工资,xīng qī sì fā gōng zī,Get paid on Thursday,Me pagan el jueves,Chèque de paie jeudi,Recebo na quinta-feira
星期五晚上,xīng qī wǔ wǎn shàng,Friday night,Viernes por la noche,Vendredi soir,Sexta à noite
星期五聚会,xīng qī wǔ jù huì,Party on Friday,Fiesta el viernes,Fête du vendredi,Festa na sexta-feira
星期六逛街,xīng qī liù guàng jiē,Shopping on Saturday,De compras el sábado,Shopping le samedi,Compras no sábado
星期六睡懒觉,xīng qī liù shuì lǎn jiào,Sleeping in on Saturday,Dormir hasta tarde el sábado,Faire la grasse matinée samedi,Dormindo no sábado
星期日在家,xīng qī rì zài jiā,Sunday at home,Domingo en casa,Dimanche à la maison,Domingo em casa
星期日聚餐,xīng qī rì jù cān,Sunday dinner,Cena del domingo,Dîner du dimanche,Jantar de domingo
上周,shàng zhōu,Last week,La semana pasada,La semaine dernière,Semana passada
这周很忙,zhè zhōu hěn máng,Very busy this week,Muy ocupado esta semana,Très chargé cette semaine,Muito movimentada esta semana
周一最忙,zhōu yī zuì máng,Monday is the busiest,El lunes es el más ocupado,Le lundi est le plus chargé,Segunda-feira é a mais movimentada
周一加班,zhōu yī jiā bān,Work overtime on Monday,Trabajar horas extras el lunes,Faire des heures supplémentaires le lundi,Fazer hora extra na segunda-feira
周末愉快,zhōu mò yú kuài,Have a good weekend,Que tengas un buen fin de semana,Bon week-end,Tenha um bom fim de semana
周末去哪,zhōu mò qù nǎ,Where to go on the weekend,Dónde ir el fin de semana,Où partir le week-end,Onde ir no fim de semana
工作日上班,gōng zuò rì shàng bān,Work on weekdays,Trabajar de lunes a viernes,Travailler en semaine,Trabalhar durante a semana
工作日没空,gōng zuò rì mò kōng,No time on weekdays,No hay tiempo entre semana,Pas d'heure en semaine,Não há horário durante a semana
上礼拜,shàng lǐ bài,Last week,La semana pasada,La semaine dernière,Semana passada
下礼拜,xià lǐ bài,Next week,La próxima semana,La semaine prochaine,Semana que vem
每周一次,měi zhōu yī cì,Once a week,Una vez por semana,Une fois par semaine,Uma vez por semana
每周运动,měi zhōu yùn dòng,Weekly exercise,Ejercicio semanal,Exercice hebdomadaire,Exercício semanal
