chinese,pinyin,english,spanish,french,portuguese
全部,quán bù,All,Todo,Tout,Tudo
所有,suǒ yǒu,All,Todo,Tout,Todo
整个,zhěng gè,Whole,Entero,Entier,Inteiro
全体,quán tǐ,Entire group,Todo el grupo,Tout le groupe,Todo o grupo
每个,měi gè,Each,Cada,Chaque,Cada
各个,gè gè,Each,Cada,Chaque,Cada
各种,gè zhǒng,Various kinds,Varios tipos,Divers types,Vários tipos
部分,bù fèn,Part,Parte,Partie,Parte
一部分,yī bù fèn,A part,Una parte,Une partie,Uma parte
大部分,dà bù fèn,Most,La mayoría,La plupart,A maioria
小部分,xiǎo bù fèn,Small part,Pequeña parte,Petite partie,Pequena parte
有些,yǒu xiē,Some,Algunos,Certains,Alguns
某些,mǒu xiē,Certain,Ciertos,Certains,Certos
多数,duō shù,Majority,Mayoría,Majorité,Maioria
少数,shǎo shù,Minority,Minoría,Minorité,Minoria
若干,ruò gān,Several,Varios,Plusieurs,Vários
全部都,quán bù dōu,All of them,Todos ellos,Tous,Todos eles
全部是,quán bù shì,All are,Todos son,Tous sont,Todos são
所有人,suǒ yǒu rén,Everyone,Todos,Tout le monde,Todos
所有的,suǒ yǒu de,All of,Todo el,Tout le,Todo o
整个人,zhěng gè rén,Whole person,Persona completa,Personne entière,Pessoa inteira
整个世界,zhěng gè shì jiè,Whole world,Todo el mundo,Le monde entier,O mundo inteiro
全体人员,quán tǐ rén yuán,All personnel,Todo el personal,Tout le personnel,Todo o pessoal
全体起立,quán tǐ qǐ lì,All rise,Todos de pie,Tous debout,Todos de pé
每个地方,měi gè dì fāng,Every place,Cada lugar,Chaque endroit,Cada lugar
每个都,měi gè dōu,Each one,Cada uno,Chacun,Cada um
各个方面,gè gè fāng miàn,Every aspect,Cada aspecto,Chaque aspect,Cada aspecto
各个地方,gè gè dì fāng,Every place,Cada lugar,Chaque endroit,Cada lugar
各种各样,gè zhǒng gè yàng,All kinds,Todo tipo,Toutes sortes,Todo tipo
各种情况,gè zhǒng qíng kuàng,Various situations,Varias situaciones,Diverses situations,Várias situações
部分人,bù fèn rén,Some people,Algunas personas,Certaines personnes,Algumas pessoas
这部分,zhè bù fèn,This part,Esta parte,Cette partie,Esta parte
一部分人,yī bù fèn rén,Some people,Algunas personas,Certaines personnes,Algumas pessoas
有一部分,yǒu yī bù fèn,There is a part,Hay una parte,Il y a une partie,Há uma parte
大部分人,dà bù fèn rén,Most people,La mayoría de la gente,La plupart des gens,A maioria das pessoas
占大部分,zhàn dà bù fèn,Account for most,Representar la mayoría,Représenter la majorité,Representar a maioria
小部分人,xiǎo bù fèn rén,A few people,Pocas personas,Peu de gens,Poucas pessoas
只有小部分,zhǐ yǒu xiǎo bù fèn,Only a small part,Solo una pequeña parte,Seulement une petite partie,Apenas uma pequena parte
有些人,yǒu xiē rén,Some people,Algunas personas,Certaines personnes,Algumas pessoas
有些事,yǒu xiē shì,Some things,Algunas cosas,Certaines choses,Algumas coisas
某些人,mǒu xiē rén,Certain people,Ciertas personas,Certaines personnes,Certas pessoas
某些事,mǒu xiē shì,Certain things,Ciertas cosas,Certaines choses,Certas coisas
多数人,duō shù rén,Most people,La mayoría de la gente,La plupart des gens,A maioria das pessoas
大多数,dà duō shù,Most,La mayoría,La plupart,A maioria
少数人,shǎo shù rén,Few people,Pocas personas,Peu de gens,Poucas pessoas
少数民族,shǎo shù mín zú,Ethnic minorities,Minorías étnicas,Minorités ethniques,Minorias étnicas
若干人,ruò gān rén,Several people,Varias personas,Plusieurs personnes,Várias pessoas
若干问题,ruò gān wèn tí,Several issues,Varios problemas,Plusieurs problèmes,Vários problemas
