chinese,pinyin,english,spanish,french,portuguese
天气,tiān qì,Weather,Tiempo,Météo,Tempo
晴天,qíng tiān,Sunny,Soleado,Ensoleillé,Ensolarado
阴天,yīn tiān,Cloudy,Nublado y gris,Couvert,Nublado e cinzento
多云,duō yún,Cloudy,Nublado,Nuageux,Nublado
下雨,xià yǔ,Raining,Lloviendo,Il pleut,Chovendo
下雪,xià xuě,Snowing,Nevando,Il neige,Nevando
刮风,guā fēng,Windy,Ventoso,Venteux,Vento
打雷,dǎ léi,Thunder,Trueno,Tonnerre,Trovão
闪电,shǎn diàn,Lightning,Rayo,Foudre,Relâmpago
大雾,dà wù,Heavy fog,Niebla densa,Brouillard épais,Nevoeiro intenso
温度,wēn dù,Temperature,Temperatura,Température,Temperatura
预报,yù bào,Forecast,Pronóstico,Prévisions,Previsão
气温,qì wēn,Temperature,Temperatura,Température,Temperatura
霜,shuāng,Frost,Escarcha,Givre,Geada
雹子,báo zi,Hail,Granizo,Grêle,Granizo
潮湿,cháo shī,Humid,Húmedo,Humide,Úmido
天气好,tiān qì hǎo,Good weather,Buen tiempo,Beau temps,Bom tempo
看天气,kàn tiān qì,Check the weather,Consulta el tiempo,Consultez la météo,Verifique o tempo
晴天好,qíng tiān hǎo,Good sunny day,Buen día soleado,Bonne journée ensoleillée,Bom dia de sol
是晴天,shì qíng tiān,It's sunny,Está soleado,Il fait beau,Está ensolarado
阴天冷,yīn tiān lěng,Cloudy and cold,Nublado y frío,Nuageux et froid,Nublado e frio
是阴天,shì yīn tiān,It's cloudy,Está nublado,C'est nuageux,Está nublado
多云天,duō yún tiān,Cloudy day,Día nublado,Journée nuageuse,Dia nublado
今天多云,jīn tiān duō yún,It's cloudy today,Hoy está nublado,Le temps est nuageux aujourd'hui,Está nublado hoje
下雨了,xià yǔ le,It's raining,Está lloviendo,Il pleut,Está chovendo
快下雨,kuài xià yǔ,It's going to rain,Va a llover,Il va pleuvoir,Vai chover
下雪了,xià xuě le,It's snowing,Está nevando,Il neige,Está nevando
快下雪,kuài xià xuě,It's going to snow,Va a nevar,Il va neiger,Vai nevar
刮风了,guā fēng le,It's windy,Hace viento,Il y a du vent,Está ventando
在刮风,zài guā fēng,It's windy,Hace viento,Il y a du vent,Está ventando
打雷了,dǎ léi le,Thunder,Trueno,Tonnerre,Trovão
听到打雷,tīng dào dǎ léi,Hear thunder,Oír truenos,Entendre le tonnerre,Ouvir trovões
闪电亮,shǎn diàn liàng,Lightning flashes,Relámpagos,Des éclairs,Relâmpagos
看到闪电,kàn dào shǎn diàn,See lightning,Ver relámpago,Voir la foudre,Veja relâmpagos
大雾天,dà wù tiān,Foggy day,Día de niebla,Jour brumeux,Dia de neblina
起大雾,qǐ dà wù,Heavy fog,Niebla densa,Brouillard épais,Nevoeiro intenso
温度高,wēn dù gāo,High temperature,Alta temperatura,Haute température,Alta temperatura
看温度,kàn wēn dù,Check the temperature,Comprobar la temperatura,Vérifiez la température,Verifique a temperatura
天气预报,tiān qì yù bào,Weather forecast,Previsión del tiempo,Prévisions météo,Previsão do tempo
看预报,kàn yù bào,Check the forecast,Consulta la previsión,Consultez les prévisions,Confira a previsão
气温低,qì wēn dī,Low temperature,Baja temperatura,Basse température,Baixa temperatura
看气温,kàn qì wēn,Check the temperature,Comprobar la temperatura,Vérifiez la température,Verifique a temperatura
结霜了,jié shuāng le,Frost,Escarcha,Givre,Geada
下霜,xià shuāng,Frost,Escarcha,Givre,Geada
下雹子,xià báo zi,Hailing,Granizando,Il grêle,Está granizando
有雹子,yǒu báo zi,Hail,Granizo,Grêle,Granizo
很潮湿,hěn cháo shī,Very humid,Muy húmedo,Très humide,Muito úmido
天气潮湿,tiān qì cháo shī,The weather is humid,El clima es húmedo,Le temps est humide,O clima está úmido
