chinese,pinyin,english,spanish,french,portuguese
问题,wèn tí,Problem,Problema,Problème,Problema
麻烦,má fán,Trouble,Problema,Ennui,Problema
毛病,máo bìng,Defect,Defecto,Défaut,Defeito
错误,cuò wù,Error,Error,Erreur,Erro
修理,xiū lǐ,Repair,Reparar,Réparer,Reparar
改正,gǎi zhèng,Correct,Corregir,Corriger,Corrigir
症结,zhēng jié,Core issue,Meollo,Nœud du problème,Cerne do problema
难点,nán diǎn,Difficulty,Dificultad,Difficulté,Dificuldade
弊端,bì duān,Disadvantage,Desventaja,Inconvénient,Desvantagem
纠纷,jiū fēn,Dispute,Disputa,Litige,Disputa
争议,zhēng yì,Controversy,Controversia,Controverse,Controvérsia
隐患,yǐn huàn,Hidden danger,Peligro oculto,Danger caché,Perigo oculto
漏洞,lòu dòng,Loophole,Laguna,Faille,Brecha
纰漏,pī lòu,Oversight,Descuido,Négligence,Descuido
瓶颈,píng jǐng,Bottleneck,Cuello de botella,Goulot d'étranglement,Gargalo
有问题,yǒu wèn tí,Has a problem,Tiene un problema,A un problème,Tem um problema
什么问题,shén me wèn tí,What problem,¿Qué problema?,Quel problème?,Qual problema?
有麻烦,yǒu má fán,Have trouble,Tener problemas,Avoir des ennuis,Ter problemas
遇到麻烦,yù dào má fán,Encounter trouble,Encontrar problemas,Rencontrer des ennuis,Encontrar problemas
有毛病,yǒu máo bìng,Has a defect,Tiene un defecto,A un défaut,Tem um defeito
出毛病,chū máo bìng,Break down,Averiarse,Tomber en panne,Quebrar
有错误,yǒu cuò wù,Has an error,Tiene un error,A une erreur,Tem um erro
犯错误,fàn cuò wù,Make a mistake,Cometer un error,Faire une erreur,Cometer um erro
去修理,qù xiū lǐ,Go repair,Ir a reparar,Aller réparer,Ir reparar
需要修理,xū yào xiū lǐ,Need repair,Necesita reparación,Besoin de réparation,Precisa de reparo
要改正,yào gǎi zhèng,Need to correct,Necesita corregir,Besoin de corriger,Precisa corrigir
已改正,yǐ gǎi zhèng,Already corrected,Ya corregido,Déjà corrigé,Já corrigido
找症结,zhǎo zhēng jié,Find the crux,Encontrar el quid,Trouver le point crucial,Encontrar o cerne
问题症结,wèn tí zhēng jié,Crux of the problem,Quid del problema,Point crucial du problème,Cerne do problema
有难点,yǒu nán diǎn,Has difficulties,Tiene dificultades,A des difficultés,Tem dificuldades
克服难点,kè fú nán diǎn,Overcome difficulties,Superar dificultades,Surmonter les difficultés,Superar dificuldades
有弊端,yǒu bì duān,Has disadvantages,Tiene desventajas,A des inconvénients,Tem desvantagens
存在弊端,cún zài bì duān,Disadvantages exist,Existen desventajas,Des inconvénients existent,Desvantagens existem
有纠纷,yǒu jiū fēn,Has disputes,Tiene disputas,A des litiges,Tem disputas
发生纠纷,fā shēng jiū fēn,Dispute occurs,Se produce una disputa,Un litige survient,Uma disputa ocorre
有争议,yǒu zhēng yì,Is controversial,Es controvertido,Est controversé,É controverso
引起争议,yǐn qǐ zhēng yì,Cause controversy,Causar controversia,Provoquer une controverse,Causar controvérsia
有隐患,yǒu yǐn huàn,Has hidden dangers,Tiene peligros ocultos,A des dangers cachés,Tem perigos ocultos
存在隐患,cún zài yǐn huàn,Hidden dangers exist,Existen peligros ocultos,Des dangers cachés existent,Perigos ocultos existem
有漏洞,yǒu lòu dòng,Has loopholes,Tiene lagunas,A des failles,Tem brechas
堵住漏洞,dǔ zhù lòu dòng,Plug loopholes,Tapar lagunas,Combler les failles,Fechar brechas
有纰漏,yǒu pī lòu,Has oversights,Tiene descuidos,A des négligences,Tem descuidos
出现纰漏,chū xiàn pī lòu,Oversight occurs,Se produce un descuido,Une négligence survient,Ocorre um descuido
有瓶颈,yǒu píng jǐng,Has bottlenecks,Tiene cuellos de botella,A des goulots d'étranglement,Tem gargalos
突破瓶颈,tū pò píng jǐng,Break through bottleneck,Romper el cuello de botella,Briser le goulot d'étranglement,Romper o gargalo
