chinese,pinyin,english,spanish,french,portuguese
确定,què dìng,Certain,Seguro,Certain,Certo
肯定,kěn dìng,Definitely,Definitivamente,Certainement,Definitivamente
一定,yí dìng,Definitely,Definitivamente,Certainement,Definitivamente
绝对,jué duì,Absolutely,Absolutamente,Absolument,Absolutamente
当然,dāng rán,Of course,Por supuesto,Bien sûr,Claro
必然,bì rán,Inevitable,Inevitable,Inévitable,Inevitável
不确定,bù què dìng,Not sure,No estoy seguro,Pas sûr,Não tenho certeza
可能,kě néng,Maybe,Quizás,Peut-être,Talvez
也许,yě xǔ,Perhaps,Quizás,Peut-être,Talvez
大概,dà gài,Probably,Probablemente,Probablement,Provavelmente
恐怕,kǒng pà,I'm afraid,Me temo que,J'ai peur que,Receio que
难说,nán shuō,Hard to say,Difícil de decir,Difficile à dire,Difícil dizer
保准,bǎo zhǔn,Guaranteed,Garantizado,Garanti,Garantido
准保,zhǔn bǎo,Guaranteed,Garantizado,Garanti,Garantido
铁定,tiě dìng,For sure,Seguro,C'est sûr,Com certeza
断定,duàn dìng,Conclude,Concluir,Conclure,Concluir
我确定,wǒ què dìng,I'm sure,Estoy seguro,Je suis sûr,Tenho certeza
确定吗,què dìng ma,Are you sure?,¿Estás seguro?,Tu es sûr?,Tem certeza?
很肯定,hěn kěn dìng,Very sure,Muy seguro,Très sûr,Muito certo
不肯定,bù kěn dìng,Not sure,No estoy seguro,Pas sûr,Não tenho certeza
一定会,yí dìng huì,Will definitely,Definitivamente lo hará,Va certainement,Vai com certeza
一定要,yí dìng yào,Must,Debe,Doit,Deve
绝对是,jué duì shì,Absolutely is,Absolutamente es,C'est absolument,É absolutamente
绝对不,jué duì bù,Absolutely not,Absolutamente no,Absolument pas,Absolutamente não
当然是,dāng rán shì,Of course it is,Por supuesto que sí,Bien sûr que oui,Claro que é
当然会,dāng rán huì,Of course will,Por supuesto que lo hará,Bien sûr que oui,Claro que vai
必然会,bì rán huì,Will inevitably,Inevitablemente lo hará,Va inévitablement,Vai inevitavelmente
是必然,shì bì rán,Is inevitable,Es inevitable,C'est inévitable,É inevitável
不确定啊,bù què dìng a,Not sure,No estoy seguro,Pas sûr,Não tenho certeza
还不确定,hái bù què dìng,Still not sure,Todavía no estoy seguro,Pas encore sûr,Ainda não tenho certeza
可能是,kě néng shì,Maybe it is,Quizás es,Peut-être que c'est,Talvez seja
有可能,yǒu kě néng,It's possible,Es posible,C'est possible,É possível
也许吧,yě xǔ ba,Maybe,Quizás,Peut-être,Talvez
也许会,yě xǔ huì,Maybe will,Quizás lo hará,Peut-être que ça va,Talvez vai
大概是,dà gài shì,Probably is,Probablemente es,C'est probablement,Provavelmente é
大概会,dà gài huì,Probably will,Probablemente lo hará,Va probablement,Provavelmente vai
恐怕是,kǒng pà shì,I'm afraid it is,Me temo que es,J'ai peur que ce soit,Receio que seja
恐怕会,kǒng pà huì,I'm afraid it will,Me temo que lo hará,J'ai peur que ça,Receio que vai
难说啊,nán shuō a,Hard to say,Es difícil de decir,C'est difficile à dire,É difícil dizer
还难说,hái nán shuō,Still hard to say,Todavía es difícil de decir,C'est encore difficile à dire,Ainda é difícil dizer
保准行,bǎo zhǔn xíng,Definitely works,Definitivamente funciona,Ça marche certainement,Com certeza funciona
保准没问题,bǎo zhǔn méi wèn tí,Guaranteed no problem,Garantizado sin problemas,Garanti sans problème,Garantido sem problemas
准保成功,zhǔn bǎo chéng gōng,Guaranteed success,Éxito garantizado,Succès garanti,Sucesso garantido
准保可以,zhǔn bǎo kě yǐ,Guaranteed okay,Garantizado está bien,Garanti que ça va,Garantido que dá
铁定赢,tiě dìng yíng,Definitely win,Definitivamente gana,Gagne certainement,Definitivamente ganha
铁定会,tiě dìng huì,Definitely will,Definitivamente lo hará,Va certainement,Definitivamente vai
断定是,duàn dìng shì,Conclude it is,Concluir que es,Conclure que c'est,Concluir que é
可以断定,kě yǐ duàn dìng,Can conclude,Se puede concluir,Peut conclure,Pode concluir
