chinese,pinyin,english,spanish,french,portuguese
漂亮,piào liàng,Beautiful,Hermosa,Magnifique,Lindo
帅,shuài,Handsome,Guapo,Beau,Bonito
可爱,kě ài,Cute,Lindo,Mignon,Fofo
丑,chǒu,Ugly,Feo,Laid,Feio
年轻,nián qīng,Young,Joven,Jeune,Jovem
老,lǎo,Old,Viejo,Vieux,Velho
聪明,cōng míng,Smart,Inteligente,Intelligent,Inteligente
笨,bèn,Stupid,Estúpido,Stupide,Estúpido
勤快,qín kuài,Hard-working,Trabajador,Travailleur acharné,Trabalhador
懒,lǎn,Lazy,Perezoso,Paresseux,Preguiçoso
诚实,chéng shí,Honest,Honesto,Honnête,Honesto
善良,shàn liáng,Kind,Amable,Gentil,Bondoso
能干,néng gàn,Competent,Competente,Compétent,Competente
友好,yǒu hǎo,Friendly,Amistoso,Amical,Amigável
勇敢,yǒng gǎn,Brave,Valiente,Courageux,Corajoso
自私,zì sī,Selfish,Egoísta,Égoïste,Egoísta
大方,dà fāng,Generous,Generoso,Généreux,Generoso
很漂亮,hěn piào liàng,Very beautiful,Muy hermosa,Très beau,Muito lindo
干得漂亮,gàn dé piào liàng,Well done,Bien hecho,Bravo,Muito bem
帅哥,shuài gē,Handsome guy,Chico guapo,Beau mec,Cara bonito
很帅气,hěn shuài qì,Very handsome,Muy guapo,Très beau,Muito lindo
好可爱,hǎo kě ài,So cute,Que lindo,Tellement mignon,Tão fofo
可爱极了,kě ài jí le,So cute,Que lindo,Tellement mignon,Tão fofo
真丑,zhēn chǒu,Really ugly,Realmente feo,Vraiment moche,Muito feio
出丑,chū chǒu,Making a fool of myself,Haciendo el ridículo,Me ridiculiser,Fazendo papel de bobo
年轻人,nián qīng rén,Young people,Jóvenes,Les jeunes,Jovens
年轻时候,nián qīng shí hòu,When young,Cuando joven,Quand jeune,Quando jovem
老人家,lǎo rén jiā,Old people,Personas mayores,Personnes âgées,Idosos
变老了,biàn lǎo le,Getting old,Envejeciendo,Vieillir,Envelhecendo
聪明人,cōng míng rén,Smart people,Gente inteligente,Des gens intelligents,Pessoas inteligentes
聪明才智,cōng míng cái zhì,Intelligence and talent,Inteligencia y talento,Intelligence et talent,Inteligência e talento
笨蛋,bèn dàn,Idiots,Idiotas,Idiots,Idiotas
笨手笨脚,bèn shǒu bèn jiǎo,Clumsy,Torpe,Maladroit,Desajeitado
手脚勤快,shǒu jiǎo qín kuài,Hard-working,Trabajador,Travailleur acharné,Trabalhador
很勤快,hěn qín kuài,Very diligent,Muy diligente,Très assidu,Muito diligente
偷懒,tōu lǎn,Lazy,Perezoso,Paresseux,Preguiçoso
真懒,zhēn lǎn,Really lazy,Realmente vago,Vraiment paresseux,Muito preguiçoso
诚实守信,chéng shí shǒu xìn,Honest and trustworthy,Honesto y digno de confianza,Honnête et digne de confiance,Honesto e confiável
为人诚实,wéi rén chéng shí,Honest people,Gente honesta,Des gens honnêtes,Pessoas honestas
心地善良,xīn dì shàn liáng,Kind-hearted,De buen corazón,Bienveillant,De bom coração
善良的人,shàn liáng de rén,A kind person,Una persona amable,Une personne gentille,Uma pessoa gentil
精明能干,jīng míng néng gàn,Smart and capable,Inteligente y capaz,Intelligent et compétent,Inteligente e capaz
很能干,hěn néng gàn,Very capable,Muy capaz,Très compétent,Muito capaz
友好相处,yǒu hǎo xiāng chǔ,Get along well with each other,Llevarse bien unos con otros,S'entendre bien les uns avec les autres,Se dão bem
友好往来,yǒu hǎo wǎng lái,Friendly contacts,Contactos amistosos,Contacts amicaux,Contatos amigáveis ​​
勇敢面对,yǒng gǎn miàn duì,Face it bravely,Enfréntalo con valentía,Affrontez-le courageusement,Enfrente isso com coragem
勇敢的人,yǒng gǎn de rén,A brave person,Una persona valiente,Une personne courageuse,Uma pessoa corajosa
自私自利,zì sī zì lì,Selfish,Egoísta,Égoïste,Egoísta
太自私,tài zì sī,Too selfish,Demasiado egoísta,Trop égoïste,Muito egoísta
大方得体,dà fāng dé tǐ,Generous and decent,Generoso y decente,Généreux et décent,Generoso e decente
出手大方,chū shǒu dà fāng,Generous,Generoso,Généreux,Generoso
