chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
大,dà,big,grande,grand,grande,lớn,ใหญ่,ធំ,besar,besar,malaki
小,xiǎo,small,pequeño,petit,pequeno,nhỏ,เล็ก,តូច,kecil,Kecil,Maliit
多,duō,more,más,plus,mais,thêm,เพิ่มเติม,បន្ថែម,selengkapnya,lebih banyak,higit pa
少,shǎo,less,menos,moins,menos,ít hơn,น้อยลง,តិច,kurang,kurang,mas mababa
长,zhǎng,long,largo,longue,longo,dài,ยาว,វែង,panjang,Long,mahaba
短,duǎn,short,corto,court,curto,ngắn,สั้น,ខ្លី,pendek,Pendek,Maikling
高,gāo,tall,alto,grand,alto,cao,สูง,,tinggi,Tall,matangkad
矮,ǎi,short,corto,court,curto,ngắn,สั้น,ខ្លី,pendek,Pendek,Maikling
坏,huài,bad,malo,mauvais,ruim,tệ,แย่,,buruk,Bad,masama
新,xīn,new,nuevo,nouveau,novo,mới,ใหม่,ថ្មី,baru,Baru,BAGONG
旧,jiù,old,viejo,vieux,velho,cũ,เก่า,ចាស់,tua,lama,Matanda
快,kuài,fast,rápido,rapide,rápido,nhanh,รวดเร็ว,លឿន,cepat,Cepat,Mabilis
慢,màn,slow,lento,lent,lento,chậm,ช้า,យឺត,lambat,lambat,Mabagal
远,yuǎn,far,lejos,loin,longe,xa,ไกล,,jauh,Jauh,malayo
近,jìn,near,cerca,près de,perto,gần,ใกล้,ជិត,dekat,Berhampiran,Malapit
早,zǎo,early,temprano,tôt,cedo,sớm,ต้น,,awal,Awal,Maaga
晚,wǎn,late,tarde,en retard,atrasado,muộn,สาย,យឺត,terlambat,Lewat,Late
大人,dà rén,adult,adulto,adulte,adulto,người lớn,ผู้ใหญ่,មនុស្សពេញវ័យ,dewasa,Dewasa,Pang -adulto
长大,zhǎng dà,grown up,crecido,grandi,cresci,lớn lên,โตขึ้น,,dewasa,Tumbuh,lumaki
小事,xiǎo shì,little things,pequeñas cosas,petites choses,pequenas coisas,những điều nhỏ nhặt,สิ่งเล็กๆ น้อยๆ,ប្រលោមលោម,hal-hal kecil,Perkara -perkara kecil,maliit na bagay
小说,xiǎo shuō,novel,novela,roman,novela,tiểu thuyết,นวนิยาย,ឆ្នាំ,baru,Novel,Nobela
多年,duō nián,years,años,années,anos,năm,ปี,តើ,tahun,tahun,Taon
多么,duō me,how much,cuanto,combien,quanto,bao nhiêu,เท่าไหร่,ប៉ុន្មាន យ៉ាងហោចណាស់,berapa,berapa banyak,magkano
至少,zhì shǎo,at least,al menos,au moins,pelo menos,ít nhất,อย่างน้อย,ការថយចុះ,setidaknya,sekurang -kurangnya,Hindi bababa sa
减少,jiǎn shǎo,Decrease,Disminución,Diminution,Diminuir,Giảm,ลดลง,នាយកសាលា,Kurangi,Kurangkan,Bawasan
久远,jiǔ yuǎn,Long time,Mucho tiempo,Longtemps,Muito tempo,Lâu lắm rồi,นานมาก,ខ្លី,Lama sekali,Lama,Matagal na
校长,xiào zhǎng,Principal,Director,Directeur,Diretor,Hiệu Trưởng,ครูใหญ่,,Kepala Sekolah,Pengetua,Principal
短处,duǎn chù,Shortcomings,Deficiencias,Lacunes,Deficiências,Những thiếu sót,ข้อบกพร่อง,ធ្វើឱ្យប្រសើរឡើង,Kekurangan,Kekurangan,Mga pagkukulang
简短,jiǎn duǎn,Short,Corto,Court,Curto,Ngắn,สั้น,ខ្លីពេក,Pendek,Pendek,Maikling
高大,gāo dà,Tall,Alto,Grand,Alto,Cao,สูง,,Tinggi,Tall,Matangkad
提高,tí gāo,Improvement,Mejora,Amélioration,Melhoria,Cải tiến,การปรับปรุง,,Peningkatan,Peningkatan,Pagpapabuti
太矮,tài ǎi,Too short,Demasiado corto,Trop court,Muito curto,Quá ngắn,สั้นเกินไป,ការខូចខាត,Terlalu pendek,Terlalu pendek,Masyadong maikli
矮小,ǎi xiǎo,Short,Corto,Court,Curto,Ngắn,สั้น,មនុស្សថ្មី,Pendek,Pendek,Maikling
坏人,huài rén,Bad guy,Chico malo,Méchant gars,Cara mau,Kẻ xấu,คนเลว,ការច្នៃប្រឌិត,Orang jahat,Lelaki jahat,Masamang tao
损坏,sǔn huài,Damage,Daño,Dommages,Danos,Thiệt hại,ความเสียหาย,ភាគហ៊ុនចាស់,Kerusakan,Kerosakan,Pinsala
新人,xīn rén,New person,Nueva persona,Nouvelle personne,Nova pessoa,Người mới,คนใหม่,នៅតែ,Orang baru,Orang Baru,Bagong Tao
创新,chuàng xīn,Innovation,Innovación,Innovations,Inovação,Đổi mới,นวัตกรรม,រីករាយ,Inovasi,Inovasi,Innovation
旧货,jiù huò,Old stock,Existencias antiguas,Ancien stock,Estoque antigo,Hàng cũ,หุ้นเก่า,លឿន,Stok lama,Saham lama,Lumang stock
依旧,yī jiù,Still,Todavía,Toujours,Ainda,Vẫn,ยัง,ការរត់ហាត់ប្រាណ,Masih,Masih,Pa rin
快乐,kuài lè,Happy,Feliz,Heureux,Feliz,Hạnh phúc,มีความสุข,ចំណាយពេលរបស់អ្នក,Selamat,Selamat,Masaya
飞快,fēi kuài,Fast,Rápido,Rapide,Rápido,Nhanh,เร็ว,ការបញ្ចប់,Cepat,Cepat,Mabilis
慢跑,màn pǎo,Jogging,Trotar,Footing,Correr,Chạy bộ,จ๊อกกิ้ง,ឆ្ងាយ,Joging,Jogging,Jogging
慢慢来,màn màn lái,Take your time,Tómate tu tiempo,Prenez votre temps,Não tenha pressa,Hãy dành thời gian của bạn,ใช้เวลาของคุณ,ថ្មីៗនេះ,Luangkan waktumu,Ambil masa anda,Dalhin ang iyong oras
遥远,yáo yuǎn,Distant,Distante,Lointain,Distante,Xa xôi,ห่างไกล,នៅក្បែរ,Jauh,Jauh,Malayo
远方,yuǎn fāng,Far away,Lejos,Loin,Longe,Xa rồi,ห่างไกล,ព្រឹកព្រលឹម,Jauh,Jauh,Malayo
近来,jìn lái,Recently,Recientemente,Récemment,Recentemente,Gần đây,เมื่อเร็วๆ นี้,ព្រឹកព្រលឹម,Baru-baru ini,Baru -baru ini,Kamakailan
近旁,jìn páng,Nearby,Cerca,À proximité,Perto,Lân cận,สถานที่ใกล้เคียง,អាហារពេលល្ងាច,Terdekat,Berdekatan,Malapit
早日,zǎo rì,Early morning,Temprano en la mañana,Tôt le matin,De manhã cedo,Sáng sớm,เช้าตรู่,ពិធីជប់លៀងពេលល្ងាច,Dini hari,Pagi awal,Maagang umaga
