chinese,pinyin,english,spanish,french,portuguese
年,nián,Year,año,année,ano
今年,jīn nián,This year,este año,cette année,este ano
明年,míng nián,Next year,el año que viene,l'année prochaine,ano que vem
去年,qù nián,Last year,el año pasado,l'année dernière,ano passado
前年,qián nián,Year before last,hace dos años,l'année précédente,há dois anos
后年,hòu nián,Year after next,dentro de dos años,l'année d'après,daqui a dois anos
每年,měi nián,Every year,cada año,chaque année,todos os anos
生日,shēng rì,Birthday,cumpleaños,anniversaire,aniversário
日期,rì qī,Date,fecha,date,data
日历,rì lì,Calendar,calendario,calendrier,calendário
农历,nóng lì,Lunar calendar,calendario lunar,calendrier lunaire,calendário lunar
阳历,yáng lì,Solar calendar,Calendario solar,Calendrier solaire,Calendário solar
年代,nián dài,Era,Época,Époque/Décennie,Era
周年,zhōu nián,Anniversary,Aniversario,Anniversaire,Aniversário
新年,xīn nián,New Year,Año Nuevo,Nouvel An,Ano Novo
一年,yī nián,One year,Un año,Un an,Um ano
这年,zhè nián,This year,Este año,Cette année,Este ano
今年好,jīn nián hǎo,This year is good,Este año es bueno,Cette année est bonne,Este ano é bom
在今年,zài jīn nián,In this year,En este año,Cette année,Neste ano
明年见,míng nián jiàn,See you next year,Nos vemos el próximo año,À l'année prochaine,Até o próximo ano
等明年,děng míng nián,Wait until next year,Esperar hasta el próximo año,Attendre l'année prochaine,Esperar até o próximo ano
去年去,qù nián qù,Went last year,Fui el año pasado,Je suis allé l'année dernière,Fui no ano passado
在去年,zài qù nián,Last year,El año pasado,L'année dernière,No ano passado
前年来,qián nián lái,Came the year before last,Vino hace dos años,Il est venu il y a deux ans,Veio há dois anos
在前年,zài qián nián,In the year before last,Hace dos años,Il y a deux ans,Há dois anos
后年到,hòu nián dào,Arrive the year after next,Llegar en dos años,Arriver dans deux ans,Chegar em dois anos
等后年,děng hòu nián,Wait until the year after next,Esperar dos años más,Attendre deux ans,Esperar mais dois anos
每年都,měi nián dōu,Every year,Todos los años,Chaque année,Todos os anos
坚持每年,jiān chí měi nián,Persist every year,Persistir cada año,Persister chaque année,Persistir todos os anos
生日快乐,shēng rì kuài lè,Happy birthday,Feliz cumpleaños,Joyeux anniversaire,Feliz aniversário
过生日,guò shēng rì,Celebrate birthday,Celebrar cumpleaños,Fêter un anniversaire,Comemorar aniversário
日期对,rì qī duì,The date is correct,La fecha es correcta,La date est correcte,A data está correta
定日期,dìng rì qī,Set a date,Fijar una fecha,Fixer une date,Marcar uma data
看日历,kàn rì lì,Look at the calendar,Mira el calendario,Regardez le calendrier,Olhe o calendário
查日历,chá rì lì,Check the calendar,Consulta el calendario,Consultez le calendrier,Confira o calendário
农历年,nóng lì nián,Lunar year,Año lunar,Année lunaire,Ano lunar
按农历,àn nóng lì,According to the lunar calendar,Según el calendario lunar,Selon le calendrier lunaire,De acordo com o calendário lunar
阳历日,yáng lì rì,Solar calendar date,Fecha del calendario solar,Date du calendrier solaire,Data do calendário solar
按阳历,àn yáng lì,According to the solar calendar,Según el calendario solar,Selon le calendrier solaire,De acordo com o calendário solar
年代久,nián dài jiǔ,Long ago,Hace mucho tiempo,Il y a longtemps,Há muito tempo
那年代,nà nián dài,That era,Esa época,Cette époque,Aquela época
周年庆,zhōu nián qìng,Anniversary celebration,Celebración de aniversario,Célébration d'anniversaire,Celebração de aniversário
一周年,yī zhōu nián,First anniversary,Primer aniversario,Premier anniversaire,Primeiro aniversário
新年好,xīn nián hǎo,Happy New Year,Feliz Año Nuevo,Bonne année,Feliz Ano Novo
过新年,guò xīn nián,Celebrate New Year,Celebrar el Año Nuevo,Fêter le Nouvel An,Comemorar o Ano Novo
