chinese,pinyin,english,spanish,french,portuguese
要,yào,want,querer,vouloir,querer
想,xiǎng,think,pensar,penser,pensar
能,néng,able,poder,pouvoir,poder
会,huì,can,poder,pouvoir,poder
可以,kě yǐ,Can,Poder,pouvoir,poder
应该,yīng gāi,should,debería,devrait,deve
必须,bì xū,must,deber,doit,deve
愿意,yuàn yì,willing,dispuesto,disposé,disposto
开始,kāi shǐ,start,comenzar,commencer,começar
结束,jié shù,Finish,Finalizar,Finir,Terminar
继续,jì xù,continue,continuar,continuer,continuar
停止,tíng zhǐ,stop,detener,arrêter,parar
等,děng,wait,esperar,attendre,esperar
帮,bāng,help,ayudar,aide,ajuda
试,shì,try,intentar,essayer,tentar
用,yòng,use,usar,utiliser,usar
该,gāi,Should,Debería,Devrait,Deve
须,xū,Must,Debe,Doit,Deve
肯,kěn,willing,dispuesto,disposé,disposto
要去,yào qù,want to go,quiero ir,je veux y aller,quero ir
我要,wǒ yào,I want,Quiero,Je veux,Eu quero
想到,xiǎng dào,think,pensar,pense,pensar
想去,xiǎng qù,Want to go,quiero ir,Je veux y aller,Quer ir
能做,néng zuò,can do,puede hacer,peut faire,pode fazer
能行,néng xíng,Can do it,puedo hacerlo,Je peux le faire,Posso fazer isso
会做,huì zuò,know how to do,sabe hacerlo,sait faire,sabe fazer
不会,bú huì,Can't,No puede,Ne peut pas,Não pode
可以吗,kě yǐ ma,May I,Puedo,Puis-je,Posso
可以的,kě yǐ de,OK,De acuerdo,D'accord,OK
应该去,yīng gāi qù,should go,debería ir,devrait y aller,deveria ir
应该做,yīng gāi zuò,should do,debería hacer,devrait faire,deveria fazer
必须做,bì xū zuò,must do,debe hacer,doit faire,deve fazer
必须去,bì xū qù,Must go,debe ir,Il faut y aller,Deve ir
愿意帮,yuàn yì bāng,willing to help,dispuesto a ayudar,prêt à aider,disposto a ajudar
很愿意,hěn yuàn yì,Very willing,muy dispuesto,Très disposé,Muito disposto
开始了,kāi shǐ le,here we go,Aquí vamos,on y va,aqui vamos nós
刚开始,gāng kāi shǐ,Just started,recién comenzado,Je viens de commencer,Acabei de começar
结束了,jié shù le,it's over,se acabó,c'est fini,acabou
快结束,kuài jié shù,Almost over,Casi terminado,Presque fini,Quase acabando
继续做,jì xù zuò,keep doing it,sigue haciéndolo,continue à le faire,continue fazendo isso
继续走,jì xù zǒu,keep walking,sigue caminando,continue de marcher,continue andando
停止吧,tíng zhǐ ba,stop it,Basta,arrête ça,pare com isso
请停止,qǐng tíng zhǐ,please stop,por favor para,"s'il te plaît, arrête",por favor pare
等一下,děng yí xià,Wait a moment,Espera un momento,Attends un instant,Espere um momento
等等,děng děng,wait a moment,espera un momento,attends un instant,espere um momento
帮衬,bāng chèn,help,ayuda,aide,ajuda
帮帮我,bāng bāng wǒ,Help,Ayuda,Aide,Ajuda
试试,shì shì,try,intentar,essayer,tentar
试一下,shì yī xià,try it,pruébalo,essayez-le,experimente
用它,yòng tā,use it,úsalo,utilise-le,use-o
用这个,yòng zhè ge,use this,usa esto,utilise ça,use isso
该走了,gāi zǒu le,It's time to go,es hora de ir,Il est temps d'y aller,É hora de ir
该做,gāi zuò,should do,debería hacer,devrait faire,deveria fazer
须知,xū zhī,Notice,Aviso,Avis,Aviso
须要,xū yào,Need,Necesidad,Besoin,Necessidade
肯干,kěn gàn,Willing to do it,dispuesto a hacerlo,Prêt à le faire,Disposto a fazer isso
肯做,kěn zuò,Willing to do it,dispuesto a hacerlo,Prêt à le faire,Disposto a fazer isso
