chinese,pinyin,english,spanish,french,portuguese
动物,dòng wù,Animals,Animales,Animaux,Animais
狗,gǒu,Dog,Perro,Chien,Cachorro
猫,māo,Cat,Gato,Chat,Gato
鸟,niǎo,Bird,Pájaro,Oiseau,Pássaro
鱼,yú,Fish,Pez,Poisson,Peixe
鸡,jī,Chicken,Pollo,Poulet,Frango
鸭,yā,Duck,Pato,Canard,Pato
猪,zhū,Pig,Cerdo,Cochon,Porco
牛,niú,Cow,Vaca,Vache,Vaca
羊,yáng,Sheep,Oveja,Mouton,Ovelha
马,mǎ,Horse,Caballo,Cheval,Cavalo
兔子,tù zi,Rabbit,Conejo,Lapin,Coelho
老虎,lǎo hǔ,Tiger,Tigre,Tigre,Tigre
狮子,shī zi,Lion,León,Lion,Leão
熊,xióng,Bear,Oso,Ours,Urso
大象,dà xiàng,Elephant,Elefante,Éléphant,Elefante
猴子,hóu zi,Monkey,Mono,Singe,Macaco
蛇,shé,Snake,Serpiente,Serpent,Cobra
海豚,hǎi tún,Dolphin,Delfín,Dauphin,Golfinho
野生动物,yě shēng dòng wù,Wild animals,Animales salvajes,Animaux sauvages,Animais selvagens
保护动物,bǎo hù dòng wù,Protected animals,Animales protegidos,Animaux protégés,Animais protegidos
遛狗,liú gǒu,Walk the dog,Pasear al perro,Promener le chien,Passear com o cachorro
狗叫了,gǒu jiào le,The dog barked,El perro ladró,Le chien a aboyé,O cachorro latiu
猫咪,māo mī,Kitty,Gatito,Chaton,Gatinho
这只猫,zhè zhǐ māo,This cat,Este gato,Ce chat,Este gato
鸟飞了,niǎo fēi le,The bird flew,El pájaro voló,L'oiseau a volé,O pássaro voou
听鸟叫,tīng niǎo jiào,Listen to birds singing,Escuchar a los pájaros cantar,Écouter les oiseaux chanter,Ouvir os pássaros cantarem
养鱼,yǎng yú,Raise fish,Criar peces,Élever des poissons,Criar peixes
鱼缸,yú gāng,Fish tank,Pecera,Aquarium,Aquário
公鸡打鸣,gōng jī dǎ míng,Rooster crows,El gallo canta,Le coq chante,O galo canta
母鸡下蛋,mǔ jī xià dàn,Hen lays eggs,La gallina pone huevos,La poule pond des œufs,A galinha põe ovos
烤鸭,kǎo yā,Roast duck,Pato asado,Canard rôti,Pato assado
鸭子游泳,yā zi yóu yǒng,Duck swimming,El pato nada,Le canard nage,O pato nada
野猪,yě zhū,Wild boar,Jabalí,Sanglier,Javali
喂猪,wèi zhū,Feed pigs,Alimentar cerdos,Nourrir les cochons,Alimentar porcos
水牛,shuǐ niú,Water buffalo,Búfalo de agua,Buffle d'eau,Búfalo de água
吹牛,chuī niú,Brag,Presumir,Se vanter,Gabar-se
山羊,shān yáng,Goat,Cabra,Chèvre,Cabra
放羊,fàng yáng,Herd sheep,Pastorear ovejas,Faire paître les moutons,Pastorear ovelhas
骑马,qí mǎ,Ride a horse,Montar a caballo,Monter à cheval,Andar a cavalo
赛马,sài mǎ,Horse racing,Carreras de caballos,Courses de chevaux,Corrida de cavalos
白兔子,bái tù zi,White rabbit,Conejo blanco,Lapin blanc,Coelho branco
兔子跳,tù zi tiào,Rabbit hops,El conejo salta,Le lapin saute,O coelho pula
属老虎,shǔ lǎo hǔ,Born in tiger year,Nacido en año del tigre,Né l'année du tigre,Nascido no ano do tigre
老虎凶,lǎo hǔ xiōng,Tiger is fierce,El tigre es feroz,Le tigre est féroce,O tigre é feroz
狮子吼,shī zi hǒu,Lion roars,El león ruge,Le lion rugit,O leão ruge
狮子王,shī zi wáng,Lion King,Rey León,Roi Lion,Rei Leão
黑熊,hēi xióng,Black bear,Oso negro,Ours noir,Urso preto
北极熊,běi jí xióng,Polar bear,Oso polar,Ours polaire,Urso polar
非洲大象,fēi zhōu dà xiàng,African elephant,Elefante africano,Éléphant d'Afrique,Elefante africano
大象鼻子,dà xiàng bí zi,Elephant trunk,Trompa de elefante,Trompe d'éléphant,Tromba de elefante
猴子聪明,hóu zi cōng míng,Monkey is smart,El mono es inteligente,Le singe est intelligent,O macaco é inteligente
猴子爬树,hóu zi pá shù,Monkey climbs tree,El mono trepa el árbol,Le singe grimpe à l'arbre,O macaco sobe na árvore
毒蛇,dú shé,Venomous snake,Serpiente venenosa,Serpent venimeux,Cobra venenosa
怕蛇,pà shé,Afraid of snakes,Miedo a las serpientes,Peur des serpents,Medo de cobras
海豚表演,hǎi tún biǎo yǎn,Dolphin show,Espectáculo de delfines,Spectacle de dauphins,Show de golfinhos
海豚聪明,hǎi tún cōng míng,Dolphins are smart,Los delfines son inteligentes,Les dauphins sont intelligents,Golfinhos são inteligentes
