chinese,pinyin,english,spanish,french,portuguese
品质,pǐn zhì,Quality,Calidad,Qualité,Qualidade
质量,zhì liàng,Quality,Calidad,Qualité,Qualidade
标准,biāo zhǔn,Standard,Estándar,Norme,Padrão
规格,guī gé,Specifications,Especificaciones,Spécifications,Especificações
检验,jiǎn yàn,Inspection,Inspección,Inspection,Inspeção
检测,jiǎn cè,Testing,Prueba,Test,Teste
合格,hé gé,Qualified,Calificado,Qualifié,Qualificado
不合格,bù hé gé,Unqualified,No calificado,Non qualifié,Não qualificado
达标,dá biāo,Meet standard,Cumplir estándar,Atteindre la norme,Atingir padrão
优质,yōu zhì,High quality,Alta calidad,Haute qualité,Alta qualidade
优良,yōu liáng,Excellent,Excelente,Excellent,Excelente
次品,cì pǐn,Defective product,Producto defectuoso,Produit défectueux,Produto defeituoso
瑕疵,xiá cī,Flaw,Defecto,Défaut,Defeito
认证,rèn zhèng,Certification,Certificación,Certification,Certificação
规范,guī fàn,Standards,Normas,Normes,Normas
品质好,pǐn zhì hǎo,Good quality,Buena calidad,Bonne qualité,Boa qualidade
高品质,gāo pǐn zhì,High quality,Alta calidad,Haute qualité,Alta qualidade
质量好,zhì liàng hǎo,Good quality,Buena calidad,Bonne qualité,Boa qualidade
保证质量,bǎo zhèng zhì liàng,Guarantee quality,Garantizar calidad,Garantir la qualité,Garantir qualidade
标准高,biāo zhǔn gāo,High standards,Altos estándares,Normes élevées,Padrões elevados
按标准,àn biāo zhǔn,According to standard,Según estándar,Selon la norme,Conforme padrão
规格表,guī gé biǎo,Specification sheet,Hoja de especificaciones,Fiche technique,Ficha de especificações
按规格,àn guī gé,According to specifications,Según especificaciones,Selon les spécifications,Conforme especificações
检验员,jiǎn yàn yuán,Inspector,Inspector,Inspecteur,Inspetor
做检验,zuò jiǎn yàn,Do inspection,Hacer inspección,Faire une inspection,Fazer inspeção
检测报告,jiǎn cè bào gào,Test report,Informe de prueba,Rapport de test,Relatório de teste
做检测,zuò jiǎn cè,Do testing,Hacer prueba,Faire un test,Fazer teste
合格了,hé gé le,Passed,Aprobado,Approuvé,Aprovado
检验合格,jiǎn yàn hé gé,Passed inspection,Inspección aprobada,Inspection réussie,Inspeção aprovada
不合格品,bù hé gé pǐn,Unqualified product,Producto no calificado,Produit non qualifié,Produto não qualificado
检验不合格,jiǎn yàn bù hé gé,Failed inspection,Inspección fallida,Inspection échouée,Inspeção reprovada
达标了,dá biāo le,Met the standard,Cumplió el estándar,A atteint la norme,Atingiu o padrão
已达标,yǐ dá biāo,Already met standard,Ya cumplió estándar,Déjà conforme,Já atingiu padrão
优质品,yōu zhì pǐn,Quality product,Producto de calidad,Produit de qualité,Produto de qualidade
提供优质,tí gōng yōu zhì,Provide quality,Proporcionar calidad,Fournir la qualité,Fornecer qualidade
优良品种,yōu liáng pǐn zhǒng,Excellent variety,Excelente variedad,Excellente variété,Excelente variedade
品质优良,pǐn zhì yōu liáng,Excellent quality,Excelente calidad,Excellente qualité,Excelente qualidade
是次品,shì cì pǐn,Is defective,Es defectuoso,Est défectueux,É defeituoso
有次品,yǒu cì pǐn,Has defects,Tiene defectos,A des défauts,Tem defeitos
有瑕疵,yǒu xiá cī,Has flaws,Tiene defectos,A des défauts,Tem defeitos
无瑕疵,wú xiá cī,Flawless,Sin defectos,Sans défaut,Sem defeitos
通过认证,tōng guò rèn zhèng,Certified,Certificado,Certifié,Certificado
做认证,zuò rèn zhèng,Do certification,Hacer certificación,Faire la certification,Fazer certificação
规范化,guī fàn huà,Standardize,Estandarizar,Normaliser,Padronizar
按规范,àn guī fàn,According to standards,Según normas,Selon les normes,Conforme normas
