chinese,pinyin,english,spanish,french,portuguese
和,hé,and,y,et,e
与,yǔ,and,y,et,e
跟,gēn,with,con,avec,com
或者,huò zhě,or,o,ou,ou
还是,hái shì,or,o,ou,ou
但是,dàn shì,but,pero,mais,mas
可是,kě shì,but,pero,mais,mas
然而,rán ér,yet,sin embargo,cependant,no entanto
不过,bù guò,but,pero,mais,mas
而且,ér qiě,moreover,además,de plus,além disso
并且,bìng qiě,and also,y también,et aussi,e também
况且,kuàng qiě,besides,además,en plus,além de
同时,tóng shí,at the same time,al mismo tiempo,en même temps,ao mesmo tempo
另外,lìng wài,in addition,además,en plus,além disso
此外,cǐ wài,in addition,además,en plus,além disso
总之,zǒng zhī,in short,en resumen,en bref,em resumo
我和你,wǒ hé nǐ,me and you,tu y yo,moi et toi,eu e você
和他,hé tā,and him,y él,et lui,e ele
我与你,wǒ yǔ nǐ,me and you,tu y yo,moi et toi,eu e você
与他,yǔ tā,with him,con el,avec lui,com ele
我跟你,wǒ gēn nǐ,me and you,tu y yo,moi et toi,eu e você
跟他,gēn tā,with him,con el,avec lui,com ele
或者说,huò zhě shuō,or,o,ou,ou
或者是,huò zhě shì,or,o,ou,ou
还是说,hái shì shuō,Or say,O decir,Ou dire,Ou dizer
还是你,hái shì nǐ,Still you,Aún eres tú,Toujours toi,Ainda você
但是呢,dàn shì ne,But,Pero,Mais,Mas
但是说,dàn shì shuō,But say,Pero di,Mais dis,Mas diga
可是呢,kě shì ne,But,Pero,Mais,Mas
可是说,kě shì shuō,But say,Pero di,Mais dis,Mas diga
然而呢,rán ér ne,However,Sin embargo,Cependant,Porém
然而是,rán ér shì,"However,","Sin embargo,","Cependant,","No entanto,"
不过呢,bù guò ne,But,Pero,Mais,Mas
不过说,bù guò shuō,But say,Pero di,Mais dis,Mas diga
而且是,ér qiě shì,And it is,Y es,Et c'est,E é
而且还,ér qiě hái,And also,Y también,Et aussi,E também
并且是,bìng qiě shì,And it is,Y es,Et c'est,E é
并且还,bìng qiě hái,And also,Y también,Et aussi,E também
况且是,kuàng qiě shì,Besides,Además,En plus,Além
况且说,kuàng qiě shuō,"Moreover,","Además,","De plus,","Além disso,"
同时也,tóng shí yě,At the same time,Al mismo tiempo,En même temps,Ao mesmo tempo
同时是,tóng shí shì,At the same time,Al mismo tiempo,En même temps,Ao mesmo tempo
另外还,lìng wài hái,In addition,Además,De plus,Além disso
另外说,lìng wài shuō,In addition,Además,De plus,Além disso
此外还,cǐ wài hái,In addition,Además,De plus,Além disso
此外是,cǐ wài shì,"In addition,","Además,","De plus,","Além disso,"
总之是,zǒng zhī shì,In short,En resumen,En bref,Resumindo
总之说,zǒng zhī shuō,In short,En breve,En bref,Resumidamente
