chinese,pinyin,english,spanish,french,portuguese
饭,fàn,Rice,Arroz,Riz,Arroz
米饭,mǐ fàn,Rice,Arroz,Riz,Arroz
面,miàn,Noodles,Fideos,Nouilles,Macarrão
面条,miàn tiáo,Noodles,Fideos,Nouilles,Macarrão
馒头,mán tou,Steamed buns,Bollos al vapor,Petits pains cuits à la vapeur,Pãezinhos no vapor
包子,bāo zi,Buns,Bollos,Petits pains,Pãezinhos
饺子,jiǎo zi,Dumplings,Empanadillas chinas,Raviolis,Guiozas
面包,miàn bāo,Bread,Pan,Pain,Pão
鸡蛋,jī dàn,Eggs,Huevos,Oeufs,Ovos
肉,ròu,Meat,Carne,Viande,Carne
鸡肉,jī ròu,Chicken,Pollo,Poulet,Frango
猪肉,zhū ròu,Pork,Cerdo,Porc,Carne de porco
牛肉,niú ròu,Beef,Carne de res,Bœuf,Carne de vaca
蔬菜,shū cài,Vegetables,Verduras,Légumes,Legumes
水果,shuǐ guǒ,Fruit,Fruta,Fruits,Fruta
汤,tāng,Soup,Sopa,Soupe,Sopa
羊肉,yáng ròu,Mutton,Cordero,Mouton,Carneiro
海鲜,hǎi xiān,Seafood,Mariscos,Fruits de mer,Frutos do mar
白饭,bái fàn,White rice,Arroz blanco,Riz blanc,Arroz branco
热饭,rè fàn,Hot rice,Arroz caliente,Riz chaud,Arroz quente
米饭香,mǐ fàn xiāng,Fragrant rice,Arroz fragante,Riz parfumé,Arroz perfumado
煮米饭,zhǔ mǐ fàn,Cook rice,Cocinar arroz,Cuire du riz,Cozinhar arroz
吃面,chī miàn,Eat noodles,Comer fideos,Manger des nouilles,Comer macarrão
做面,zuò miàn,Make noodles,Hacer fideos,Faire des nouilles,Fazer macarrão
面条好,miàn tiáo hǎo,Noodles are good,Los fideos son buenos,Les nouilles sont bonnes,O macarrão é bom
煮面条,zhǔ miàn tiáo,Cook noodles,Cocinar fideos,Cuire des nouilles,Cozinhar macarrão
馒头香,mán tou xiāng,Steamed buns are fragrant,Los bollos son fragantes,Les petits pains sont parfumés,Os pãezinhos são perfumados
蒸馒头,zhēng mán tou,Steam buns,Cocer al vapor bollos,Cuire à la vapeur des petits pains,Cozinhar no vapor pãezinhos
包子香,bāo zi xiāng,Buns are fragrant,Los bollos son fragantes,Les petits pains sont parfumés,Os pãezinhos são perfumados
蒸包子,zhēng bāo zi,Steam buns,Cocer al vapor bollos,Cuire à la vapeur des petits pains,Cozinhar no vapor pãezinhos
饺子香,jiǎo zi xiāng,Dumplings are fragrant,Los dumplings son fragantes,Les raviolis sont parfumés,Os dumplings são perfumados
包饺子,bāo jiǎo zi,Make dumplings,Hacer dumplings,Faire des raviolis,Fazer dumplings
面包香,miàn bāo xiāng,Bread is fragrant,El pan es fragante,Le pain est parfumé,O pão é perfumado
烤面包,kǎo miàn bāo,Toast bread,Tostar pan,Griller du pain,Torrar pão
鸡蛋好,jī dàn hǎo,Eggs are good,Los huevos son buenos,Les oeufs sont bons,Os ovos são bons
煎鸡蛋,jiān jī dàn,Fry eggs,Freír huevos,Faire frire des oeufs,Fritar ovos
吃肉,chī ròu,Eat meat,Comer carne,Manger de la viande,Comer carne
买肉,mǎi ròu,Buy meat,Comprar carne,Acheter de la viande,Comprar carne
鸡肉好,jī ròu hǎo,Chicken is good,El pollo es bueno,Le poulet est bon,O frango é bom
炒鸡肉,chǎo jī ròu,Stir-fry chicken,Saltear pollo,Faire sauter du poulet,Refogar frango
猪肉香,zhū ròu xiāng,Pork is fragrant,El cerdo es fragante,Le porc est parfumé,A carne de porco é perfumada
炒猪肉,chǎo zhū ròu,Stir-fry pork,Saltear cerdo,Faire sauter du porc,Refogar carne de porco
牛肉好,niú ròu hǎo,Beef is good,La carne de res es buena,Le boeuf est bon,A carne bovina é boa
炒牛肉,chǎo niú ròu,Stir-fry beef,Saltear carne,Faire sauter du boeuf,Refogar carne
蔬菜新鲜,shū cài xīn xiān,Vegetables are fresh,Las verduras están frescas,Les légumes sont frais,Os legumes estão frescos
吃蔬菜,chī shū cài,Eat vegetables,Comer verduras,Manger des légumes,Comer legumes
水果甜,shuǐ guǒ tián,Fruit is sweet,La fruta es dulce,Les fruits sont sucrés,A fruta é doce
吃水果,chī shuǐ guǒ,Eat fruit,Comer fruta,Manger des fruits,Comer fruta
汤好喝,tāng hǎo hē,Soup is delicious,La sopa es deliciosa,La soupe est délicieuse,A sopa é deliciosa
喝汤,hē tāng,Drink soup,Beber sopa,Boire de la soupe,Tomar sopa
羊肉香,yáng ròu xiāng,Lamb is fragrant,El cordero es fragante,L'agneau est parfumé,O cordeiro é perfumado
涮羊肉,shuàn yáng ròu,Lamb hotpot,Fondue de cordero,Fondue de mouton,Fondue de carneiro
海鲜好,hǎi xiān hǎo,Seafood is good,El marisco es bueno,Les fruits de mer sont bons,Os frutos do mar são bons
吃海鲜,chī hǎi xiān,Eat seafood,Comer mariscos,Manger des fruits de mer,Comer frutos do mar
