chinese,pinyin,english,spanish,french,portuguese
老师,lǎo shī,Teacher,Profesor,Enseignant,Professor
学生,xué shēng,Student,Estudiante,Étudiant,Aluno
同学,tóng xué,Classmate,Compañero de clase,Camarade de classe,Colega
教室,jiào shì,Classroom,Aula,Salle de classe,Sala de aula
课,kè,Class,Clase,Classe,Classe
上课,shàng kè,Attend class,Asistir a clase,Aller en classe,Assistir à aula
下课,xià kè,After class,Después de clase,Après les cours,Depois da aula
作业,zuò yè,Homework,Tarea,Devoirs,Trabalho de casa
考试,kǎo shì,Exam,Examen,Examen,Exame
成绩,chéng jì,Score,Puntuación,Score,Pontuação
毕业,bì yè,Graduation,Graduación,Remise des diplômes,Graduação
书,shū,Book,Libro,Livre,Livro
本子,běn zi,Notebook,Cuaderno,Cahier,Caderno
笔,bǐ,Pen,Bolígrafo,Stylo,Caneta
书包,shū bāo,School bag,Mochila escolar,Sac d'école,Mochila escolar
操场,cāo chǎng,Sports field,Campo deportivo,Terrain de sport,Campo esportivo
校园,xiào yuán,Campus,Campus,Campus,Campus
好老师,hǎo lǎo shī,Good teacher,Buen maestro,Bon professeur,Bom professor
我老师,wǒ lǎo shī,My teacher,Mi maestra,Mon professeur,Minha professora
好学生,hào xué shēng,Good student,Buen estudiante,Bon élève,Bom aluno
我是学生,wǒ shì xué shēng,I am a student,Soy estudiante,Je suis étudiant,Eu sou estudante
好同学,hǎo tóng xué,Good classmate,Buen compañero,Bon camarade de classe,Bom colega
我同学,wǒ tóng xué,My classmate,Mi compañero de clase,Mon camarade de classe,Meu colega
大教室,dà jiào shì,Big classroom,Gran aula,Grande salle de classe,Sala de aula grande
在教室,zài jiào shì,In the classroom,En el aula,En classe,Na sala de aula
这节课,zhè jié kè,This class,Esta clase,Cette classe,Esta aula
上这课,shàng zhè kè,Take this class,Toma esta clase,Suivez ce cours,Faça essa aula
上课了,shàng kè le,In class,En clase,En classe,Na aula
正在上课,zhèng zài shàng kè,Currently in class,Actualmente en clase,Actuellement en classe,Atualmente em aula
下课了,xià kè le,Class is over,La clase ha terminado,Le cours est terminé,A aula acabou
准备下课,zhǔn bèi xià kè,Getting ready for dismissal,Preparándose para salir,Prêt pour la fin du cours,Preparando para sair
写作业,xiě zuò yè,Write homework,Escribir tarea,Écrire des devoirs,Escreva lição de casa
交作业,jiāo zuò yè,Hand in homework,Entregar la tarea,Remettre les devoirs,Entregar o dever de casa
考试了,kǎo shì le,Exam,Examen,Examen,Exame
准备考试,zhǔn bèi kǎo shì,Prepare for exam,Prepárate para el examen,Se préparer à l'examen,Prepare-se para o exame
成绩好,chéng jì hǎo,Good grades,Buenas notas,Bonnes notes,Boas notas
看成绩,kàn chéng jì,Look at grades,Mira las calificaciones,Regardez les notes,Veja as notas
毕业了,bì yè le,Graduated,Graduado,Diplômé,Graduado
快毕业,kuài bì yè,Graduation soon,Graduación pronto,Bientôt l'obtention du diplôme,Formatura em breve
念书,niàn shū,Study,Estudiar,Étudier,Estudar
翻书,fān shū,Flip through a book,Hojear un libro,Feuilleter un livre,Folhear um livro
写本子,xiě běn zi,Writing notebooks,Cuadernos de escritura,Carnets d'écriture,Escrevendo cadernos
拿本子,ná běn zi,Get a notebook,Consigue un cuaderno,Obtenez un cahier,Pegue um caderno
用笔,yòng bǐ,Use a pen,Usa un bolígrafo,Utilisez un stylo,Use uma caneta
拿笔,ná bǐ,Get a pen,Consigue un bolígrafo,Procurez-vous un stylo,Pegue uma caneta
背书包,bèi shū bāo,Carry a schoolbag,Llevar una mochila,Transporter un cartable,Carregue uma mochila
拿书包,ná shū bāo,Get a schoolbag,Consigue una mochila,Procurez-vous un cartable,Pegue uma mochila
去操场,qù cāo chǎng,Go to the sports field,Ir al campo deportivo,Aller au terrain de sport,Vá para o campo esportivo
在操场,zài cāo chǎng,On the sports field,En el campo deportivo,Sur le terrain de sport,No campo esportivo
美校园,měi xiào yuán,Beautiful campus,Hermoso campus,Beau campus,Lindo campus
在校园,zài xiào yuán,On campus,en el campus,Sur le campus,No campus
