chinese,pinyin,english,spanish,french,portuguese
热,rè,hot,caliente,chaud,quente
冷,lěng,cold,frío,froid,frio
暖和,nuǎn huo,warm,cálido,chaud,quente
凉快,liáng kuài,cool,fresco,frais,fresco
干,gàn,dry,seco,sec,seco
湿,shī,wet,mojado,mouillé,molhado
胖,pàng,fat,gordo,gros,gordo
瘦,shòu,thin,delgado,mince,fino
厚,hòu,thick,grueso,épais,grosso
薄,báo,thin,delgado,mince,fino
宽,kuān,wide,ancho,large,largo
窄,zhǎi,narrow,estrecho,étroit,estreito
深,shēn,deep,profundo,profond,profundo
浅,qiǎn,shallow,poco profundo,peu profond,raso
轻,qīng,light,ligero,léger,leve
重,zhòng,heavy,pesado,lourd,pesado
干净,gān jìng,clean,limpio,propre,limpo
脏,zàng,dirty,sucio,sale,sujo
热闹,rè nào,lively,animado,animé,animado
热气,rè qì,hot,caliente,chaud,quente
冷静,lěng jìng,calm,calma,calme,calma
寒冷,hán lěng,cold,frío,froid,frio
很暖和,hěn nuǎn huo,very warm,muy calentito,très chaud,muito quente
暖和一下,nuǎn huo yī xià,Warm up,Calentar,Échauffez-vous,Aquecimento
很凉快,hěn liáng kuài,Very cool,Muy fresco,Très frais,Muito fresco
凉快些,liáng kuài xiē,A bit cooler,Un poco más fresco,Un peu plus frais,Um pouco mais fresco
干杯,gān bēi,Cheers,¡Salud!,Santé,Saúde
干活,gàn huó,Work,Trabajo,Travail,Trabalho
湿透,shī tòu,Wet,Mojado,Mouillé,Molhado
湿润,shī rùn,Moist,Húmedo,Humide,Úmido
胖子,pàng zi,Fat person,Persona gorda,Gros bonhomme,Pessoa gorda
发胖,fā pàng,Gain weight,Engordar,Grossir,Engordar
瘦身,shòu shēn,Lose weight,Adelgazar,Maigrir,Emagrecer
消瘦,xiāo shòu,Thin,Delgado,Mince,Fino
厚道,hòu dào,Kind,Amable,Gentil,Bondoso
深厚,shēn hòu,Deep,Profundo,Profond,Profundo
薄弱,bó ruò,Weak,Débil,Faible,Fraco
单薄,dān bó,Thin,Delgado,Mince,Fino
宽容,kuān róng,Tolerant,Tolerante,Tolérant,Tolerante
放宽,fàng kuān,Loosen,Aflojar,Assouplir,Afrouxar
狭窄,xiá zhǎi,Narrow,Estrecho,Étroit,Estreito
窄小,zhǎi xiǎo,Narrow,Estrecho,Étroit,Estreito
深刻,shēn kè,Profound,Profundo,Profond,Profundo
深入,shēn rù,Deep,Profundo,Profond,Profundo
浅显,qiǎn xiǎn,Simple,Sencillo,Simple,Simples
浅薄,qiǎn bó,Shallow,Poco profundo,Peu profond,Raso
轻松,qīng sōng,Easy,Fácil,Facile,Fácil
轻便,qīng biàn,lightweight,ligero,léger,leve
重要,zhòng yào,Important,Importante,Important,Importante
沉重,chén zhòng,Heavy,Pesado,Lourd,Pesado
打扫干净,dǎ sǎo gān jìng,Clean up,Limpiar,Nettoyer,Limpar
干净整洁,gān jìng zhěng jié,Neat and tidy,Limpio y ordenado,Propre et soigné,Limpo e arrumado
脏话,zāng huà,Swearing,Palabrotas,Juron,Palavrões
弄脏,nòng zāng,To dirty,Ensuciar,Salir,Sujar
