chinese,pinyin,english,spanish,french,portuguese
同意,tóng yì,Agree,De acuerdo,D'accord,Concordo
赞成,zàn chéng,Agree,De acuerdo,D'accord,Concordo
支持,zhī chí,Support,Soporte,Prise en charge,Apoio
认同,rèn tóng,Agree,De acuerdo,D'accord,Concordo
反对,fǎn duì,Disagree,En desacuerdo,Pas d'accord,Discordo
不同意,bù tóng yì,Disagree,En desacuerdo,Pas d'accord,Discordo
有道理,yǒu dào lǐ,Reasonable,Razonable,Raisonnable,Razoável
没道理,méi dào lǐ,Unreasonable,Irrazonable,Déraisonnable,Irracional
不对,bú duì,Wrong,Incorrecto,Faux,Errado
不一定,bù yí dìng,Not necessarily,No necesariamente,Pas nécessairement,Não necessariamente
看情况,kàn qíng kuàng,It depends on the situation,Depende de la situación,Cela dépend de la situation,Depende da situação
妥协,tuǒ xié,Compromise,Compromiso,Compromis,Compromisso
认可,rèn kě,Approval,Aprobación,Approbation,Aprovação
接纳,jiē nà,Acceptance,Aceptación,Acceptation,Aceitação
我同意,wǒ tóng yì,I agree,Estoy de acuerdo,Je suis d'accord,Eu concordo
明确同意,míng què tóng yì,Clearly agree,Claramente de acuerdo,Clairement d'accord,Concordo claramente
我赞成,wǒ zàn chéng,I agree,Estoy de acuerdo,Je suis d'accord,Eu concordo
表示赞成,biǎo shì zàn chéng,Agree,De acuerdo,D'accord,Concordo
我支持,wǒ zhī chí,I support,Yo apoyo,Je soutiens,Eu apoio
表示支持,biǎo shì zhī chí,Express support,Soporte expreso,Assistance expresse,Apoio expresso
我认同,wǒ rèn tóng,I agree,Estoy de acuerdo,Je suis d'accord,Eu concordo
表示认同,biǎo shì rèn tóng,Agree,De acuerdo,D'accord,Concordo
我反对,wǒ fǎn duì,I object,Me opongo,Je m'oppose,Eu me oponho
明确反对,míng què fǎn duì,Clearly object,Oponerse claramente,Clairement objecter,Claramente objeto
我不同意,wǒ bù tóng yì,I disagree,No estoy de acuerdo,Je ne suis pas d'accord,Eu discordo
表示不同意,biǎo shì bù tóng yì,Disagree,En desacuerdo,Pas d'accord,Discordo
很有道理,hěn yǒu dào lǐ,It makes sense,Tiene sentido,C'est logique,Faz sentido
说的有道理,shuō de yǒu dào lǐ,It makes sense,Tiene sentido,C'est logique,Faz sentido
没道理啊,méi dào lǐ a,It doesn’t make sense,No tiene sentido,Cela n’a pas de sens,Não faz sentido
说的没道理,shuō de méi dào lǐ,It doesn’t make sense,No tiene sentido,Cela n’a pas de sens,Não faz sentido
不对吧,bú duì ba,That's not right,De ninguna manera,Pas question,De jeito nenhum
这不对,zhè bú duì,It’s not right,No está bien,Ce n'est pas bien,Não está certo
不一定吧,bù yí dìng ba,Not necessarily,No necesariamente,Pas nécessairement,Não necessariamente
也不一定,yě bù yí dìng,Not necessarily,No necesariamente,Pas nécessairement,Não necessariamente
看情况吧,kàn qíng kuàng ba,It depends on the situation,Depende de la situación,Cela dépend de la situation,Depende da situação
要看情况,yào kàn qíng kuàng,Depends on the situation,Depende de la situación,Cela dépend de la situation,Depende da situação
做妥协,zuò tuǒ xié,Make a compromise,Hacer un compromiso,Faire un compromis,Fazer um compromisso
互相妥协,hù xiāng tuǒ xié,Compromise with each other,Compromiso mutuo,Compromis mutuel,Compromisso mútuo
得到认可,dé dào rèn kě,Get approval,Obtener aprobación,Obtenir l'approbation,Obter aprovação
获得认可,huò dé rèn kě,Receive approval,Recibir aprobación,Recevoir l'approbation,Receber aprovação
得到接纳,dé dào jiē nà,Get accepted,Ser aceptado,Être accepté,Ser aceito
获得接纳,huò dé jiē nà,Receive acceptance,Recibir aceptación,Recevoir l'acceptation,Receber aceitação
