chinese,pinyin,english,spanish,french,portuguese
吗,ma,?,?,?,?
吧,ba,okay?,¿vale?,d'accord?,tá?
呢,ne,what about?,¿y?,et?,e?
啊,a,Ah,Ah,Ah,Ah
呀,ya,Oh,Oh,Oh,Oh
哦,ó,Oh,Oh,Oh,Oh
嘛,ma,Well,Bueno,Eh bien,Bem
哎,āi,Hey,Oye,Hé,Ei
唉,āi,Alas,Ay,Hélas,Ai
哈,hā,Ha,Ja,Ha,Ha
噢,ō,Oh,Oh,Oh,Oh
嗯,ń,Uh-huh,Ajá,Hmm,Hum
诶,éi,Hey,Oye,Hé,Ei
得了,dé le,Enough,Basta,Ça suffit,Chega
罢了,bà le,That's all,Eso es todo,C'est tout,É só isso
而已,ér yǐ,Just that,Solo eso,Juste ça,Apenas isso
是吗,shì ma,Really?,¿De verdad?,Vraiment?,Mesmo?
好吗,hǎo ma,Okay?,¿Está bien?,D'accord?,Tudo bem?
走吧,zǒu ba,Let's go,Vámonos,Allons-y,Vamos
好吧,hǎo ba,Alright,Está bien,D'accord,Tudo bem
你呢,nǐ ne,And you?,¿Y tú?,Et toi?,E você?
是呢,shì ne,Indeed,Así es,En effet,De fato
喜啊,xǐ a,How nice,Qué bien,C'est bien,Que bom
对啊,duì a,That's right,Así es,C'est vrai,É verdade
好呀,hǎo ya,Sure,Claro,Bien sûr,Claro
是呀,shì ya,Yes indeed,Sí claro,Oui en effet,Sim claro
哦是,ó shì,Oh yes,Ah sí,Ah oui,Ah sim
哦好,ó hǎo,Oh okay,Ah bien,Ah d'accord,Ah tá
是嘛,shì ma,Is that so,Ah sí,Ah bon,É mesmo
好嘛,hǎo ma,Come on,Vamos,Allez,Vamos
哎呀,āi yā,Oh my,Ay Dios,Oh là là,Ai ai
哎哟,āi yō,Ouch,Ay,Aïe,Ai
唉声叹气,āi shēng tàn qì,Sigh and groan,Suspirar y gemir,Soupirer et gémir,Suspirar e gemer
唉算了,āi suàn le,Forget it,Olvídalo,Laisse tomber,Deixa pra lá
哈哈,hā hā,Haha,Jaja,Haha,Haha
哈好,hā hǎo,Ha okay,Ja bueno,Ha d'accord,Ha tá
噢原来,ō yuán lái,Oh I see,Ah ya veo,Ah je vois,Ah entendo
噢好的,ō hǎo de,Oh okay,Ah bueno,Ah d'accord,Ah tá bom
嗯好,ń hǎo,Mm okay,Mmm bien,Mm d'accord,Hum tá
嗯对,ń duì,Mm right,Mmm sí,Mm oui,Hum certo
诶那个,éi nà ge,Hey that,Oye eso,Hé ça,Ei aquilo
诶对,éi duì,Hey right,Oye sí,Hé oui,Ei certo
得了吧,dé le ba,Come on,Ya basta,Allez,Qual é
算得了,suàn dé le,That counts,Eso cuenta,Ça compte,Isso conta
罢了吧,bà le ba,Forget it,Déjalo,Laisse tomber,Deixa
算罢了,suàn bà le,Never mind,No importa,Tant pis,Deixa pra lá
而已啦,ér yǐ la,That's all,Eso es todo,C'est tout,Só isso
仅此而已,jǐn cǐ ér yǐ,Nothing more,Nada más,Rien de plus,Nada mais
