chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
情况,qíng kuàng,Situation,Situación,Situation,Situação,Tình huống,สถานการณ์,ស្ថានភាព,Situasi,Situasi,Sitwasyon
状况,zhuàng kuàng,Situation,Situación,Situation,Situação,Tình huống,สถานการณ์,ស្ថានភាព,Situasi,Situasi,Sitwasyon
形势,xíng shì,Situation,Situación,Situation,Situação,Tình huống,สถานการณ์,ស្ថានភាព,Situasi,Situasi,Sitwasyon
正常,zhèng cháng,Normal,Normal,Normale,Normais,Bình thường,ปกติ,ធម្មតា,Biasa,Normal,Normal
异常,yì cháng,Abnormal,Anormal,Anormal,Anormal,Bất thường,ผิดปกติ,មិនធម្មតា,Tidak normal,Abnormal,Abnormal
简单,jiǎn dān,Simple,Sencillo,Simple,Simples,Đơn giản,ง่าย,វឌ្ឍនភាព,Sederhana,Mudah,Simple
进行,jìn xíng,Progress,Progreso,Progrès,Progresso,Tiến độ,ความคืบหน้า,កើតឡើង,Kemajuan,Kemajuan,Pag -unlad
发生,fā shēng,Occurrence,Ocurrencia,Occurrence,Ocorrência,Sự xuất hiện,การเกิดขึ้น,លេចឡើង,Kejadian,Kejadian,Pagkakataon
出现,chū xiàn,Appear,Aparecer,Apparaissent,Aparecer,Xuất hiện,ปรากฏ,មាន,Muncul,Muncul,Lumitaw
存在,cún zài,Exist,Existen,Existe,Existe,Tồn tại,มีอยู่,ផ្លាស់ប្តូរ,Ada,Wujud,Umiiral
变化,biàn huà,Change,Cambiar,Changer,Alterar,Thay đổi,เปลี่ยน,ផ្លាស់ប្តូរ,Ubah,Tukar,Baguhin
改变,gǎi biàn,Change,Cambiar,Changer,Alterar,Thay đổi,เปลี่ยน,ផ្លាស់ប្តូរ,Ubah,Tukar,Baguhin
转变,zhuǎn biàn,Change,Cambiar,Changer,Alterar,Thay đổi,เปลี่ยน,ការខ្សោះជីវជាតិ,Ubah,Tukar,Baguhin
恶化,è huà,Deterioration,Deterioro,Détérioration,Deterioração,Suy thoái,การเสื่อมสภาพ,អ្វីដែលកំពុងកើតឡើង,Kemunduran,Kemerosotan,Pagkasira
什么情况,shén me qíng kuàng,What is going on,¿Qué está pasando,Que se passe-t-il,O que está acontecendo,Chuyện gì đang xảy ra vậy,เกิดอะไรขึ้น,ស្វែងយល់ពីស្ថានភាព,Apa yang terjadi,Apa yang sedang berlaku,Ano ang nangyayari
了解情况,liǎo jiě qíng kuàng,Understand the situation,Comprender la situación,Comprendre la situation,Entenda a situação,Hiểu rõ tình hình,เข้าใจสถานการณ์,តើស្ថានភាពយ៉ាងម៉េច ?,Pahami situasinya,Memahami keadaan,Unawain ang sitwasyon
