chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
随时,suí shí,Any time,En cualquier momento,À tout moment,A qualquer hora,Bất cứ lúc nào,เมื่อใดก็ได้,គ្រប់ពេល,Kapan saja,Bila -bila masa,Anumang oras
及时,jí shí,Timely,Oportuno,En temps opportun,Oportuno,Kịp thời,ทันเวลา,ទាន់ពេលវេលា,Tepat waktu,Tepat pada masanya,Napapanahon
按时,àn shí,On time,A tiempo,À l'heure,Na hora certa,Đúng giờ,ตรงเวลา,ទាន់ពេល,Tepat waktu,Pada masa,Sa oras
暂时,zàn shí,Temporarily,Temporalmente,Temporairement,Temporariamente,Tạm thời,ชั่วคราว,ការ,Untuk sementara,Sementara,Pansamantalang
临时,lín shí,Temporary,Temporal,Temporaire,Temporário,Tạm thời,ชั่วคราว,បណ្តោះអាសន្ន,Sementara,Sementara,Pansamantalang
当时,dāng shí,At that time,En ese momento,A cette époque,Naquela época,Lúc đó,ในขณะนั้น,នៅពេលនោះ,Saat itu,Pada masa itu,Sa oras na iyon
那时,nà shí,At that time,En ese momento,A cette époque,Naquela época,Lúc đó,ในขณะนั้น,នៅពេលនោះ,Saat itu,Pada masa itu,Sa oras na iyon
此时,cǐ shí,At this time,En este momento,En ce moment,Neste momento,Lúc này,ขณะนี้,នៅពេលនេះ,Saat ini,Pada masa ini,Sa oras na ito
届时,jiè shí,By then,Para entonces,D'ici là,Até então,Đến lúc đó,ถึงแล้ว,ដោយបន្ទាប់មក,Saat itu,Pada masa itu,Sa pamamagitan ng pagkatapos
即将,jí jiāng,Soon,Pronto,Bientôt,Em breve,Sớm,เร็วๆ นี้,ឆាប់,Segera,Soon,Sa lalong madaling panahon
即刻,jí kè,Immediately,Inmediatamente,Immédiatement,Imediatamente,Ngay lập tức,ทันที,ភ្លាមៗ,Segera,Segera,Kaagad
片刻,piàn kè,A moment,Un momento,Un instant,Um momento,Một lát,สักครู่,មួយភ្លែត,Sebentar,Seketika,Isang sandali
瞬间,shùn jiān,Instantaneous,Instantáneo,Instantané,Instantâneo,Tức thời,ทันที,ភ្លាមៗ,Sesaat,Seketika,Agad na
长期,cháng qī,Long term,Largo plazo,Long terme,Longo prazo,Dài hạn,ระยะยาว,ថ្ងៃទីវែង,Jangka panjang,Jangka Panjang,Pangmatagalang
短期,duǎn qī,Short term,Corto plazo,Court terme,Curto prazo,Ngắn hạn,ระยะสั้น,ពាក្យខ្លី,Jangka pendek,Jangka Pendek,Maikling term
与此同时,yǔ cǐ tóng shí,At the same time,Al mismo tiempo,En même temps,Ao mesmo tempo,Đồng thời,ในเวลาเดียวกัน,ក្នុងពេលតែមួយ,Pada saat yang sama,Pada masa yang sama,Kasabay nito
随时都可以,suí shí dōu kě yǐ,Available at any time,Disponible en cualquier momento,Disponible à tout moment,Disponível a qualquer momento,Có sẵn bất cứ lúc nào,พร้อมให้บริการตลอดเวลา,មាននៅពេលណាមួយ,Tersedia kapan saja,Tersedia pada bila -bila masa,Magagamit sa anumang oras
随时联系,suí shí lián xì,Contact at any time,Contactar en cualquier momento,Contacter à tout moment,Entre em contato a qualquer momento,Liên hệ bất cứ lúc nào,ติดต่อได้ตลอดเวลา,ទំនាក់ទំនងនៅពេលណាមួយ,Hubungi kapan saja,Hubungi pada bila -bila masa,Makipag -ugnay sa anumang oras
及时处理,jí shí chǔ lǐ,Prompt processing,Procesamiento rápido,Traitement rapide,Processamento imediato,Xử lý kịp thời,การประมวลผลพร้อมท์,ដំណើរការជម្រុញ,Pemrosesan cepat,Pemprosesan segera,Prompt Processing
要及时,yào jí shí,Be timely,Sea oportuno,Soyez ponctuel,Seja oportuno,Hãy kịp thời,ตรงต่อเวลา,ចូរមានពេលវេលា,Tepat waktu,Jadilah tepat pada masanya,Maging napapanahon
按时到,àn shí dào,Arrive on time,Llegar a tiempo,Arriver à l'heure,Chegue na hora certa,Đến đúng giờ,มาถึงตรงเวลา,មកដល់ទាន់ពេល,Tiba tepat waktu,Tiba pada masa,Dumating sa oras
要按时,yào àn shí,Be on time,Llegar a tiempo,Soyez à l'heure,Chegue na hora certa,Hãy đến đúng giờ,ตรงต่อเวลา,ត្រូវបានទាន់ពេល,Tepat waktu,Jadilah masa,Maging sa oras
暂时不,zàn shí bù,Not yet,Todavía no,Pas encore,Ainda não,Chưa,ยังไม่,មិនទាន់មានទេ,Belum,Belum,Hindi pa
暂时的,zàn shí de,Temporary,Temporal,Temporaire,Temporário,Tạm thời,ชั่วคราว,បណ្តោះអាសន្ន,Sementara,Sementara,Pansamantalang
临时的,lín shí de,Temporary,Temporal,Temporaire,Temporário,Tạm thời,ชั่วคราว,បណ្តោះអាសន្ន,Sementara,Sementara,Pansamantalang
是临时,shì lín shí,Yes temporary,Sí temporal,Oui temporaire,Sim temporário,Có tạm thời,ใช่ ชั่วคราว,បាទបណ្តោះអាសន្ន,Ya sementara,Ya sementara,Oo pansamantala
当时说,dāng shí shuō,Said at the time,Dicho en su momento,Dit à l'époque,Disse na época,Lúc đó đã nói,กล่าวในขณะนั้น,បាននិយាយនៅពេលនោះ,Katanya saat itu,Kata pada masa itu,Sinabi sa oras
在当时,zài dāng shí,At that time,En ese momento,A cette époque,Naquela época,Lúc đó,ในขณะนั้น,នៅពេលនោះ,Saat itu,Pada masa itu,Sa oras na iyon
那时候,nà shí hòu,At that time,En ese momento,A cette époque,Naquela época,Lúc đó,ในขณะนั้น,នៅពេលនោះ,Saat itu,Pada masa itu,Sa oras na iyon
在那时,zài nà shí,At that time,En ese momento,A cette époque,Naquela época,Lúc đó,ในขณะนั้น,នៅពេលនោះ,Saat itu,Pada masa itu,Sa oras na iyon
此时此刻,cǐ shí cǐ kè,At this moment,En este momento,En ce moment,Neste momento,Tại thời điểm này,ขณะนี้,នៅពេលនេះ,Saat ini,Pada masa ini,Sa sandaling ito
在此时,zài cǐ shí,At this time,En este momento,En ce moment,Neste momento,Lúc này,ขณะนี้,នៅពេលនេះ,Saat ini,Pada masa ini,Sa oras na ito
届时见,jiè shí jiàn,See you then,Nos vemos entonces,A bientôt alors,Até lá,Hẹn gặp lại,แล้วเจอกัน,ជួបអ្នកបន្ទាប់មក,Sampai jumpa,Jumpa lagi,Makita ka pagkatapos
届时通知,jiè shí tōng zhī,Notification then,Notificación entonces,Notification puis,Notificação então,Thông báo rồi,แจ้งเตือนแล้ว,ការជូនដំណឹងបន្ទាប់មក,Pemberitahuan lalu,Pemberitahuan kemudian,Abiso pagkatapos
即将到来,jí jiāng dào lái,Coming soon,Próximamente,À venir,Em breve,Sắp có,เร็วๆ นี้,មកដល់ឆាប់ៗ,Segera hadir,Akan datang,Malapit na
即将开始,jí jiāng kāi shǐ,About to start,A punto de empezar,Sur le point de commencer,Prestes a começar,Sắp bắt đầu,กำลังจะเริ่มต้น,អំពីការចាប់ផ្តើម,Akan segera dimulai,Kira -kira untuk memulakan,Tungkol sa Magsisimula
即刻出发,jí kè chū fā,Set off immediately,Partir inmediatamente,Partez immédiatement,Parta imediatamente,Khởi hành ngay,ออกเดินทางทันที,កំណត់ភ្លាមៗ,Segera berangkat,Tetapkan segera,Magtakda kaagad
即刻执行,jí kè zhí xíng,Execute immediately,Ejecutar inmediatamente,Exécuter immédiatement,Execute imediatamente,Thực hiện ngay lập tức,ดำเนินการทันที,ប្រតិបត្តិជាបន្ទាន់,Jalankan segera,Jalankan segera,Magsagawa kaagad
片刻之后,piàn kè zhī hòu,A moment later,Un momento después,Un instant plus tard,Um momento depois,Một lúc sau,อีกสักครู่,មួយសន្ទុះក្រោយមក,Sesaat kemudian,Seketika kemudian,Isang sandali mamaya
稍等片刻,shāo děng piàn kè,Wait a moment,Espera un momento,Attendez un instant,Espere um momento,Đợi một chút,รอสักครู่,រង់ចាំមួយភ្លែត,Tunggu sebentar,Tunggu sebentar,Maghintay ng isang sandali
瞬间消失,shùn jiān xiāo shī,Disappear in an instant,Desaparece en un instante,Disparaître en un instant,Desaparece em um instante,Biến mất trong tích tắc,หายไปในทันที,បាត់ភ្លាមៗ,Menghilang dalam sekejap,Hilang dalam sekejap,Mawala sa isang instant
就在瞬间,jiù zài shùn jiān,Just in an instant,Sólo en un instante,Juste en un instant,Num instante,Chỉ trong tích tắc,ทันที,គ្រាន់តែភ្លាមៗ,Hanya dalam sekejap,Hanya dalam sekejap,Sa isang instant
长期的,cháng qī de,Long-term,A largo plazo,À long terme,Longo prazo,Lâu dài,ระยะยาว,រយៈពេលវែង,Jangka panjang,Jangka Panjang,Pangmatagalang
做长期,zuò cháng qī,Do long-term,Hacer a largo plazo,Faire du long terme,Faça a longo prazo,Làm lâu dài,ทำระยะยาว,ធ្វើរយៈពេលវែង,Lakukan jangka panjang,Adakah jangka panjang,Gawin ang pangmatagalang
短期的,duǎn qī de,Short-term,A corto plazo,Court terme,Curto prazo,Ngắn hạn,ระยะสั้น,រយៈពេលខ្លី,Jangka pendek,Jangka Pendek,Maikling-term
做短期,zuò duǎn qī,Do short-term,Hacer a corto plazo,Faire du court terme,Faça curto prazo,Làm ngắn hạn,ทำระยะสั้น,ធ្វើរយៈពេលខ្លី,Lakukan jangka pendek,Adakah jangka pendek,Gawin ang panandaliang
与此同时说,yǔ cǐ tóng shí shuō,Talk at the same time,Habla al mismo tiempo,Parlez en même temps,Fale ao mesmo tempo,Nói chuyện cùng lúc,คุยกันพร้อมๆ กัน,និយាយក្នុងពេលតែមួយ,Bicara pada saat yang sama,Bercakap pada masa yang sama,Makipag -usap sa parehong oras
与此同时做,yǔ cǐ tóng shí zuò,Do at the same time,hacer al mismo tiempo,Faire en même temps,Faça ao mesmo tempo,Làm cùng lúc,ทำไปพร้อมๆ กัน,ធ្វើក្នុងពេលតែមួយ,Lakukan secara bersamaan,Lakukan pada masa yang sama,Gawin nang sabay
