chinese,pinyin,english,spanish,french,portuguese
相当,xiāng dāng,Quite,Bastante,Tout à fait,Bastante
极其,jí qí,Extremely,Extremadamente,Extrêmement,Extremamente
尤其,yóu qí,Particularly,En particular,En particulier,Particularmente
特别,tè bié,Special,Especial,Spécial,Especial
更加,gèng jiā,More,Más,Plus,Mais
越来越,yuè lái yuè,Increasingly,Cada vez más,De plus en plus,Cada vez mais
越发,yuè fā,More,Más,Plus,Mais
稀微,xī wēi,Slightly,Ligeramente,Légèrement,Ligeiramente
略微,lüè wēi,Slightly,Ligeramente,Légèrement,Um pouco
差一点,chà yì diǎn,A little,Un poco,Un peu,Um pouco
几乎,jī hū,Almost,Casi,Presque,Quase
完全,wán quán,Completely,Completamente,Complètement,Completamente
愈发,yù fā,More,Más,Plus,Mais
极端,jí duān,Extreme,Extremo,Extrême,Extremo
相当好,xiāng dāng hǎo,Pretty good,Bastante bien,Plutôt bien,Muito bom
相当不错,xiāng dāng bù cuò,Pretty good,Bastante bien,Plutôt bien,Muito bom
极其重要,jí qí zhòng yào,Extremely important,Extremadamente importante,Extrêmement important,Extremamente importante
极其困难,jí qí kùn nán,Extremely difficult,Extremadamente difícil,Extrêmement difficile,Extremamente difícil
尤其是,yóu qí shì,Especially,Especialmente,Surtout,Principalmente
尤其喜欢,yóu qí xǐ huān,Especially like,Me gusta especialmente,Aime surtout,Gosto especialmente de
特别好,tè bié hǎo,Especially good,Especialmente bueno,Particulièrement bon,Especialmente bom
特别喜欢,tè bié xǐ huān,Especially like,Me gusta especialmente,Aime surtout,Gosto especialmente de
更加好,gèng jiā hǎo,Better,Mejor,Mieux,Melhor
更加努力,gèng jiā nǔ lì,Work harder,Trabajar más duro,Travailler plus dur,Trabalhar mais
越来越好,yuè lái yuè hǎo,Getting better,Cada vez mejor,S'améliorer,Melhorando
越来越多,yuè lái yuè duō,More and more,Cada vez más,De plus en plus,Cada vez mais
越发觉得,yuè fā jué dé,Feeling more and more,Sintiendo cada vez más,Se sentir de plus en plus,Sentindo cada vez mais
越发明显,yuè fā míng xiǎn,More and more obvious,Cada vez más obvio,De plus en plus évident,Cada vez mais óbvio
稀微不同,xī wēi bù tóng,Slightly different,Ligeramente diferente,Légèrement différent,Um pouco diferente
稀微差别,xī wēi chā bié,Slightly different,Ligeramente diferente,Légèrement différent,Um pouco diferente
略微不同,lüè wēi bù tóng,Slightly different,Ligeramente diferente,Légèrement différent,Ligeiramente diferente
略微调整,lüè wēi tiáo zhěng,Slightly adjust,Ajustar ligeramente,Ajuster légèrement,Ajustar ligeiramente
差一点就,chà yì diǎn jiù,Almost,Casi,Presque,Quase
差一点成功,chà yì diǎn chéng gōng,Almost succeeded,Casi tuvo éxito,Presque réussi,Quase teve sucesso
几乎是,jī hū shì,Almost is,Casi es,C'est presque,É quase
几乎完成,jī hū wán chéng,Almost done,Casi terminado,Presque terminé,Quase pronto
完全同意,wán quán tóng yì,Completely agree,Totalmente de acuerdo,Tout à fait d'accord,Concordo plenamente
完全不同,wán quán bù tóng,Completely different,Completamente diferente,Complètement différent,Completamente diferente
愈发严重,yù fā yán zhòng,Increasingly serious,Cada vez más grave,De plus en plus sérieux,Cada vez mais sério
愈发觉得,yù fā jué de,Increasingly feel,Sintiendo cada vez más,Se sentir de plus en plus,Sentindo cada vez mais
极端情况,jí duān qíng kuàng,Extreme situation,Situación extrema,Situation extrême,Situação extrema
太极端,tài jí duān,Too extreme,Demasiado extremo,Trop extrême,Muito extremo
