chinese,pinyin,english,spanish,french,portuguese
天天,tiān tiān,Every day,Todos los días,Chaque jour,Todos os dias
每次,měi cì,Every time,Cada vez,À chaque fois,Toda vez
每回,měi huí,Every time,Cada vez,À chaque fois,Toda vez
经常,jīng cháng,Often,A menudo,Souvent,Frequentemente
常常,cháng cháng,Often,A menudo,Souvent,Frequentemente
有时,yǒu shí,Sometimes,A veces,Parfois,Às vezes
偶尔,ǒu ěr,Occasionally,De vez en cuando,Occasionnellement,De vez em quando
很少,hěn shǎo,Rarely,Rara vez,Rarement,Raramente
难得,nán dé,Rare,Raro,Rares,Raro
从不,cóng bù,Never,Nunca,Jamais,Nunca
从来,cóng lái,Ever,Siempre,Toujours,Sempre
总是,zǒng shì,Always,Siempre,Toujours,Sempre
一直,yì zhí,Always,Siempre,Toujours,Sempre
第一次,dì yī cì,First time,Primera vez,Première fois,Primeira vez
最后一次,zuì hòu yī cì,Last time,La última vez,La dernière fois,Última vez
日常,rì cháng,Daily,Diario,Quotidien,Diário
天天见,tiān tiān jiàn,See you every day,Nos vemos todos los días,Tous les jours,Vejo você todos os dias
天天练,tiān tiān liàn,Practice every day,Practica todos los días,Entraînez-vous tous les jours,Pratique todos os dias
每次都,měi cì dōu,Every time,Cada vez,À chaque fois,Toda vez
每次来,měi cì lái,Every time,Cada vez,À chaque fois,Toda vez
每回都,měi huí dōu,Every time,Cada vez,À chaque fois,Toda vez
每回说,měi huí shuō,Every time,Cada vez,À chaque fois,Toda vez
经常来,jīng cháng lái,Come often,Ven a menudo,Venez souvent,Venha sempre
经常去,jīng cháng qù,Often go,Ir a menudo,Allez souvent,Frequentemente vá
常常想,cháng cháng xiǎng,Often think,A menudo pienso,Pensez souvent,Muitas vezes penso
常常说,cháng cháng shuō,Often say,A menudo digo,Dites souvent,Costuma dizer
有时候,yǒu shí hòu,Sometimes,A veces,Parfois,Às vezes
有时会,yǒu shí huì,Sometimes come,A veces vienen,Venez parfois,Às vezes vem
偶尔来,ǒu ěr lái,Occasionally come,De vez en cuando ven,Venez de temps en temps,Venha de vez em quando
偶尔想,ǒu ěr xiǎng,Occasionally think,De vez en cuando piensa,Pensez de temps en temps,De vez em quando pense
很少来,hěn shǎo lái,Rarely come,Rara vez vienen,Vient rarement,Raramente vem
很少说,hěn shǎo shuō,Rarely say,Rara vez digo,Dit rarement,Raramente digo
难得来,nán dé lái,Rarely come,Rara vez vienen,Vient rarement,Raramente vem
难得见,nán dé jiàn,Rarely seen,Rara vez visto,Rarement vu,Raramente visto
从不说,cóng bù shuō,Never say,Nunca digas,Ne dites jamais,Nunca diga
从不去,cóng bù qù,Never go,Nunca vayas,N'y allez jamais,Nunca vá
从来不,cóng lái bù,Never,Nunca,Jamais,Nunca
从来都,cóng lái dōu,Always,Siempre,Toujours,Sempre
总是说,zǒng shì shuō,Always say,Di siempre,Dites toujours,Sempre diga
总是这样,zǒng shì zhè yàng,Always like this,Siempre así,Toujours comme ça,Sempre assim
一直都,yì zhí dōu,Always,Siempre,Toujours,Sempre
一直是,yì zhí shì,Always,Siempre,Toujours,Sempre
第一次来,dì yī cì lái,First time,Primera vez,Première fois,Primeira vez
是第一次,shì dì yī cì,It’s the first time,Es la primera vez,C'est la première fois,É a primeira vez
最后一次了,zuì hòu yī cì le,The last time,La última vez,La dernière fois,A última vez
是最后一次,shì zuì hòu yī cì,It’s the last time,Es la última vez,C'est la dernière fois,É a última vez
日常生活,rì cháng shēng huó,Daily life,Vida diaria,Vie quotidienne,Cotidiano
日常工作,rì cháng gōng zuò,Daily work,Trabajo diario,Travail quotidien,Trabalho diário
