chinese,pinyin,english,spanish,french,portuguese
饿,è,Hungry,Hambriento,Affamé,Com fome
饱,bǎo,Full,Lleno,Rassasié,Cheio
渴,kě,Thirsty,Sediento,Assoiffé,Com sede
尝,cháng,Taste,Probar,Goûter,Provar
好吃,hǎo chī,Delicious,Delicioso,Délicieux,Delicioso
难吃,nán chī,Bad tasting,Malo,Mauvais goût,Ruim
甜,tián,Sweet,Dulce,Sucré,Doce
酸,suān,Sour,Ácido,Acide,Azedo
辣,là,Spicy,Picante,Épicé,Picante
咸,xián,Salty,Salado,Salé,Salgado
苦,kǔ,Bitter,Amargo,Amer,Amargo
淡,dàn,Bland,Insípido,Fade,Insosso
香,xiāng,Fragrant,Fragante,Parfumé,Perfumado
臭,chòu,Smelly,Maloliente,Puant,Fedorento
点餐,diǎn cān,Order food,Pedir comida,Commander,Pedir comida
用餐,yòng cān,Have a meal,Comer,Prendre un repas,Fazer refeição
加菜,jiā cài,Add dishes,Añadir platos,Ajouter des plats,Adicionar pratos
下单,xià dān,Place order,Hacer pedido,Passer commande,Fazer pedido
肚子饿,dù zi è,Stomach is hungry,Tengo hambre,J'ai faim,Estou com fome
饿死了,è sǐ le,Starving,Muerto de hambre,Affamé,Morrendo de fome
吃饱了,chī bǎo le,I'm full,Estoy lleno,Je suis rassasié,Estou cheio
饱得很,bǎo dé hěn,Very full,Muy lleno,Très rassasié,Muito cheio
口渴了,kǒu kě le,I'm thirsty,Tengo sed,J'ai soif,Estou com sede
渴坏了,kě huài le,Very thirsty,Muy sediento,Très assoiffé,Muita sede
尝尝看,cháng cháng kàn,Try it,Pruébalo,Goûte,Experimente
尝一口,cháng yī kǒu,Have a taste,Prueba un poco,Goûte un peu,Prove um pouco
真好吃,zhēn hǎo chī,Really delicious,Muy delicioso,Vraiment délicieux,Muito delicioso
好吃极了,hǎo chī jí le,Extremely delicious,Deliciosísimo,Extrêmement délicieux,Extremamente delicioso
太难吃,tài nán chī,Too unpalatable,Muy malo,Très mauvais,Muito ruim
难吃得很,nán chī dé hěn,Very unpalatable,Malísimo,Vraiment mauvais,Muito ruim
甜甜的,tián tián de,Sweetish,Dulcito,Un peu sucré,Docinho
太甜了,tài tián le,Too sweet,Demasiado dulce,Trop sucré,Doce demais
酸酸的,suān suān de,Sourish,Un poco ácido,Un peu acide,Azedinho
有点酸,yǒu diǎn suān,A bit sour,Un poco ácido,Un peu acide,Um pouco azedo
太辣了,tài là le,Too spicy,Demasiado picante,Trop épicé,Picante demais
辣得够味,là dé gòu wèi,Spicy enough,Suficientemente picante,Assez épicé,Picante o suficiente
有点咸,yǒu diǎn xián,A bit salty,Un poco salado,Un peu salé,Um pouco salgado
咸了点,xián le diǎn,A bit too salty,Un poco salado,Un peu trop salé,Salgado demais
苦瓜苦,kǔ guā kǔ,Bitter melon is bitter,El melón amargo es amargo,La courge amère est amère,O melão amargo é amargo
吃药苦,chī yào kǔ,Medicine tastes bitter,La medicina es amarga,Le médicament est amer,O remédio é amargo
太淡了,tài dàn le,Too bland,Demasiado insípido,Trop fade,Insosso demais
味道淡,wèi dào dàn,Bland taste,Sabor insípido,Goût fade,Gosto insosso
好香啊,hǎo xiāng a,Smells so good,Huele muy bien,Ça sent si bon,Cheira tão bem
闻着香,wén zhe xiāng,Smells fragrant,Huele fragante,Ça sent bon,Cheira bem
好臭啊,hǎo chòu a,Smells so bad,Huele muy mal,Ça sent si mauvais,Cheira tão mal
臭死了,chòu sǐ le,Smells terrible,Huele fatal,Ça pue,Cheira horrivelmente
扫码点餐,sǎo mǎ diǎn cān,Scan to order,Escanear para pedir,Scanner pour commander,Escanear para pedir
帮我点餐,bāng wǒ diǎn cān,Help me order,Ayúdame a pedir,Aide-moi à commander,Me ajude a pedir
用餐时间,yòng cān shí jiān,Meal time,Hora de comer,Heure du repas,Hora da refeição
请慢用餐,qǐng màn yòng cān,Please enjoy your meal,Buen provecho,Bon appétit,Bom apetite
再加菜,zài jiā cài,Add more dishes,Añadir más platos,Ajouter des plats,Adicionar mais pratos
需要加菜吗,xū yào jiā cài ma,Need more dishes?,¿Necesita más platos?,Besoin de plus?,Precisa de mais?
立即下单,lì jí xià dān,Order now,Pedir ahora,Commander maintenant,Pedir agora
手机下单,shǒu jī xià dān,Order via phone,Pedir por móvil,Commander via mobile,Pedir pelo celular
