chinese,pinyin,english,spanish,french,portuguese
讲,jiǎng,Speak,Hablar,Parler,Falar
读,dú,Read,Leer,Lire,Ler
写,xiě,Write,Escribir,Écrire,Escrever
聊天,liáo tiān,Chat,Charlar,Bavarder,Conversar
讨论,tǎo lùn,Discuss,Discutir,Discuter,Discutir
翻译,fān yì,Translate,Traducir,Traduire,Traduzir
理解,lǐ jiě,Understand,Entender,Comprendre,Entender
表达,biǎo dá,Express,Expresar,Exprimer,Expressar
交流,jiāo liú,Communicate,Comunicar,Communiquer,Comunicar
沟通,gōu tōng,Communicate,Comunicar,Communiquer,Comunicar
倾听,qīng tīng,Listen attentively,Escuchar atentamente,Écouter attentivement,Ouvir atentamente
询问,xún wèn,Inquire,Preguntar,Demander,Perguntar
答复,dá fù,Reply,Responder,Répondre,Responder
辩论,biàn lùn,Debate,Debatir,Débattre,Debater
商量,shāng liáng,Consult,Consultar,Consulter,Consultar
回应,huí yìng,Respond,Responder,Répondre,Responder
回复,huí fù,Reply,Responder,Répondre,Responder
讲话,jiǎng huà,Give a speech,Dar un discurso,Faire un discours,Fazer um discurso
讲故事,jiǎng gù shì,Tell a story,Contar una historia,Raconter une histoire,Contar uma história
读书,dú shū,Study,Estudiar,Étudier,Estudar
读报,dú bào,Read newspaper,Leer periódico,Lire le journal,Ler jornal
写字,xiě zì,Write characters,Escribir caracteres,Écrire des caractères,Escrever caracteres
写信,xiě xìn,Write a letter,Escribir una carta,Écrire une lettre,Escrever uma carta
聊天吧,liáo tiān ba,Let's chat,Charlemos,Discutons,Vamos conversar
在聊天,zài liáo tiān,Chatting,Charlando,En train de bavarder,Conversando
讨论会,tǎo lùn huì,Discussion meeting,Reunión de discusión,Réunion de discussion,Reunião de discussão
来讨论,lái tǎo lùn,Come discuss,Ven a discutir,Viens discuter,Venha discutir
翻译成,fān yì chéng,Translate into,Traducir a,Traduire en,Traduzir para
做翻译,zuò fān yì,Do translation,Hacer traducción,Faire de la traduction,Fazer tradução
理解了,lǐ jiě le,Understood,Entendido,Compris,Entendido
不理解,bù lǐ jiě,Don't understand,No entiendo,Je ne comprends pas,Não entendo
表达好,biǎo dá hǎo,Express well,Expresar bien,Bien exprimer,Expressar bem
会表达,huì biǎo dá,Can express,Puede expresar,Sait exprimer,Sabe expressar
交流会,jiāo liú huì,Exchange meeting,Reunión de intercambio,Réunion d'échange,Reunião de intercâmbio
去交流,qù jiāo liú,Go communicate,Ir a comunicar,Aller communiquer,Ir comunicar
沟通好,gōu tōng hǎo,Communicate well,Comunicar bien,Bien communiquer,Comunicar bem
来沟通,lái gōu tōng,Come communicate,Ven a comunicar,Viens communiquer,Venha comunicar
倾听者,qīng tīng zhě,Listener,Oyente,Auditeur,Ouvinte
认真倾听,rèn zhēn qīng tīng,Listen carefully,Escuchar con atención,Écouter attentivement,Ouvir com atenção
询问下,xún wèn xià,Ask about it,Preguntar sobre eso,Demander à ce sujet,Perguntar sobre isso
去询问,qù xún wèn,Go ask,Ir a preguntar,Aller demander,Ir perguntar
答复你,dá fù nǐ,Reply to you,Responderte,Te répondre,Responder a você
给答复,gěi dá fù,Give a reply,Dar una respuesta,Donner une réponse,Dar uma resposta
辩论会,biàn lùn huì,Debate meeting,Reunión de debate,Réunion de débat,Reunião de debate
来辩论,lái biàn lùn,Come debate,Ven a debatir,Viens débattre,Venha debater
商量下,shāng liáng xià,Discuss it,Discutirlo,En discuter,Discutir isso
来商量,lái shāng liáng,Come discuss,Ven a discutir,Viens en discuter,Venha discutir
回应你,huí yìng nǐ,Respond to you,Responderte,Te répondre,Responder a você
给回应,gěi huí yìng,Give a response,Dar una respuesta,Donner une réponse,Dar uma resposta
回复你,huí fù nǐ,Reply to you,Responderte,Te répondre,Responder a você
给回复,gěi huí fù,Give a reply,Dar una respuesta,Donner une réponse,Dar uma resposta
