chinese,pinyin,english,spanish,french,portuguese
原因,yuán yīn,reason,causa,cause,causa
结果,jié guǒ,result,resultado,résultat,resultado
因果,yīn guǒ,cause and effect,causa y efecto,cause et effet,causa e efeito
导致,dǎo zhì,lead to,causa,cause,causa
造成,zào chéng,result in,causa,cause,causa
引起,yǐn qǐ,trigger,causa,cause,causa
产生,chǎn shēng,produce,producir,produire,produzir
带来,dài lái,bring about,provocar,provoquer,provocar
影响,yǐng xiǎng,influence,influencia,influencer,influência
后果,hòu guǒ,consequence,consecuencia,conséquence,consequência
根源,gēn yuán,root cause,causa raíz,cause profonde,causa raiz
起因,qǐ yīn,cause,causa,cause,causa
归因于,guī yīn yú,attributed to,atribuido a,attribué à,atribuído a
源于,yuán yú,stem from,provenir de,provenir de,originar de
由此,yóu cǐ,therefore,por lo tanto,donc,portanto
因而,yīn ér,therefore,por lo tanto,donc,portanto
原因是,yuán yīn shì,the cause is,la causa es,la cause est,a causa é
找原因,zhǎo yuán yīn,find the cause,encontrar la causa,trouver la cause,encontre a causa
结果是,jié guǒ shì,the result is,el resultado es,le résultat est,o resultado é
看结果,kàn jié guǒ,look at the result,mira el resultado,regardez le résultat,olha o resultado
因果关系,yīn guǒ guān xì,causality,causalidad,causalité,causalidade
有因果,yǒu yīn guǒ,there is cause and effect,hay causa y efecto,il y a une cause et un effet,existe causa e efeito
导致了,dǎo zhì le,Caused,Causado,Causé,Causado
会导致,huì dǎo zhì,Will cause,Causará,Causera,Causará
造成了,zào chéng le,Caused,Causado,Causé,Causado
会造成,huì zào chéng,Will cause,Causará,Causera,Causará
引起了,yǐn qǐ le,Caused,Causado,Causé,Causado
会引起,huì yǐn qǐ,Will cause,Causará,Causera,Causará
产生了,chǎn shēng le,Caused,Causado,Causé,Causado
会产生,huì chǎn shēng,Will cause,Causará,Causera,Causará
带来了,dài lái le,Brought,Traído,Apporté,Trouxe
会带来,huì dài lái,Will bring,Traerá,Apportera,Trará
影响大,yǐng xiǎng dà,Big impact,Gran impacto,Grand impact,Grande impacto
有影响,yǒu yǐng xiǎng,Impact,Impacto,Impact,Impacto
后果严重,hòu guǒ yán zhòng,Serious consequences,Graves consecuencias,Conséquences graves,Consequências graves
承担后果,chéng dān hòu guǒ,Bear the consequences,Soportar las consecuencias,Supporter les conséquences,Suportar as consequências
根源在,gēn yuán zài,The root cause is,La causa raíz es,La cause première est,A causa raiz é
找根源,zhǎo gēn yuán,Find the root cause,Encuentre la causa raíz,Trouver la cause profonde,Encontre a causa raiz
起因是,qǐ yīn shì,The cause is,La causa es,La cause est,A causa é
查起因,chá qǐ yīn,Find the cause,Encuentra la causa,Trouver la cause,Encontre a causa
归因于他,guī yīn yú tā,Attribute it to him,Se lo atribuyes a él,Attribuez-lui,Atribua isso a ele
可归因于,kě guī yīn yú,attributable to,atribuible a,attribuable à,atribuível a
源于此,yuán yú cǐ,derived from this,derivado de esto,dérivé de ceci,derivado disso
源于过去,yuán yú guò qù,derived from the past,derivado del pasado,dérivé du passé,derivado do passado
由此可见,yóu cǐ kě jiàn,seen from this,visto desde esto,vu de là,visto por isso
由此产生,yóu cǐ chǎn shēng,produced from this,producido a partir de esto,produit à partir de ce,produzido a partir disso
因而导致,yīn ér dǎo zhì,caused,causado,causé,causou
因而决定,yīn ér jué dìng,thus determined,así determinado,ainsi déterminé,assim determinado
