chinese,pinyin,english,spanish,french,portuguese
评价,píng jià,Evaluation,Evaluación,Évaluation,Avaliação
评估,píng gū,Evaluation,Evaluación,Évaluation,Avaliação
评论,píng lùn,Comment,Comentar,Commentaire,Comente
评判,píng pàn,Judgment,Sentencia,Jugement,Julgamento
判断,pàn duàn,Judgment,Sentencia,Jugement,Julgamento
认为,rèn wéi,Think,Piensa,Pensez,Pense
觉得,jué de,Feel,Sentir,Ressentez,Sinta
看来,kàn lái,It seems,Parece,Il semble,Parece
显然,xiǎn rán,Obviously,Obviamente,Évidemment,Obviamente
好像,hǎo xiàng,Like,Me gusta,Comme,Curtir
似乎,sì hū,It seems,Parece,Il semble,Parece
估计,gū jì,Estimate,Estimación,Estimation,Estimativa
预计,yù jì,Expect,Esperar,Attendez-vous,Espere
预测,yù cè,Forecast,Pronóstico,Prévisions,Previsão
分析,fēn xī,Analysis,Análisis,Analyse,Análise
考虑,kǎo lǜ,Consideration,Consideración,Considération,Consideração
评价高,píng jià gāo,High evaluation,Alta evaluación,Évaluation élevée,Avaliação alta
做评价,zuò píng jià,Make an evaluation,Hacer una evaluación,Faire une évaluation,Faça uma avaliação
评估报告,píng gū bào gào,Evaluation report,Informe de evaluación,Rapport d'évaluation,Relatório de avaliação
做评估,zuò píng gū,Make an evaluation,Hacer una evaluación,Faire une évaluation,Faça uma avaliação
评论区,píng lùn qū,Comment area,Área de comentarios,Zone de commentaires,Área de comentários
写评论,xiě píng lùn,Write a comment,Escribe un comentario,Écrire un commentaire,Escreva um comentário
评判标准,píng pàn biāo zhǔn,Judgment criteria,Criterios de juicio,Critères de jugement,Critérios de julgamento
做评判,zuò píng pàn,Making judgments,Hacer juicios,Porter des jugements,Fazendo julgamentos
判断力,pàn duàn lì,Judgment,Sentencia,Jugement,Julgamento
做判断,zuò pàn duàn,Making judgments,Hacer juicios,Porter des jugements,Fazendo julgamentos
我认为,wǒ rèn wéi,I think,creo,Je pense,Eu acho
他认为,tā rèn wéi,He thinks,Él piensa,Il pense,Ele pensa
我觉得,wǒ jué de,I think,creo,Je pense,Eu acho
他觉得,tā jué de,He thinks,Él piensa,Il pense,Ele pensa
看来是,kàn lái shì,It seems to be,Parece ser,Il semble que ce soit,Parece que é
看来会,kàn lái huì,It seems to be,Parece ser,Il semble que ce soit,Parece que é
显然是,xiǎn rán shì,Obviously it is,Obviamente lo es,"Évidemment, c'est",Obviamente é
很显然,hěn xiǎn rán,It is obvious,Es obvio,C'est évident,É óbvio
好像是,hǎo xiàng shì,It seems to be,Parece ser,Il semble que ce soit,Parece que é
好像会,hǎo xiàng huì,It seems to be,Parece ser,Il semble que ce soit,Parece que é
似乎是,sì hū shì,It seems to be,Parece ser,Il semble que ce soit,Parece que é
似乎会,sì hū huì,It seems to be,Parece ser,Il semble que ce soit,Parece que é
估计是,gū jì shì,I estimate it is,Calculo que es,J'estime que c'est,Eu estimo que seja
我估计,wǒ gū jì,I estimate,Calculo,J'estime,Eu estimo
预计是,yù jì shì,It is expected to be,Se espera que sea,On s'attend à ce que ce soit,Espera-se que seja
预计会,yù jì huì,It is expected to be,Se espera que sea,On s'attend à ce que ce soit,Espera-se que seja
预测结果,yù cè jié guǒ,Prediction results,Resultados de la predicción,Résultats de prédiction,Resultados de previsão
做预测,zuò yù cè,Make predictions,Hacer predicciones,Faire des pronostics,Faça previsões
分析报告,fēn xī bào gào,Analysis report,Informe de análisis,Rapport d'analyse,Relatório de análise
做分析,zuò fēn xī,Make analysis,Hacer análisis,Faire une analyse,Faça análise
考虑下,kǎo lǜ xià,Consider it,Considérelo,Considérez-le,Considere isso
要考虑,yào kǎo lǜ,Consider it,Considérelo,Considérez-le,Considere isso
