chinese,pinyin,english,spanish,french,portuguese
对,duì,right,correcto,correct,certo
好,hǎo,good,bien,bien,bom
行,xíng,OK,De acuerdo,D'accord,OK
没问题,méi wèn tí,no problem,ningún problema,aucun problème,sem problemas
不,bù,No,No,Non,Não
没有,méi yǒu,No,No,Non,Não
不是,bú shì,no,No,Non,não
不行,bù xíng,no,No,Non,não
不可以,bù kě yǐ,Can't,No poder,Ne peut pas,Não pode
没,méi,without,sin,sans,sem
别,bié,Don't,No,Ne le faites pas,Não
好的,hǎo de,OK,De acuerdo,D'accord,OK
是的,shì de,Yes,Sí,Oui,Sim
对的,duì de,Yes,Sí,Oui,Sim
对了,duì le,Right,Correcto,C'est exact,Certo
算了,suàn le,never mind,no importa,pas grave,deixa para lá
没事,méi shì,fine,bien,bien,bem
准确,zhǔn què,precise,preciso,précis,preciso
答对了,dá duì le,Correct answer,respuesta correcta,Bonne réponse,Resposta correta
说得对,shuō dé duì,That's right,Así es,C'est exact,Isso mesmo
好啊,hǎo a,OK,De acuerdo,D'accord,OK
很好,hěn hǎo,very good,muy bien,très bien,muito bom
行啊,xíng a,OK,De acuerdo,D'accord,OK
可行,kě xíng,feasible,factible,possible,viável
没问题的,méi wèn tí de,no problem,ningún problema,aucun problème,sem problemas
绝对没问题,jué duì méi wèn tí,absolutely no problem,absolutamente ningún problema,absolument aucun problème,absolutamente nenhum problema
不要,bú yào,don't want,no quiero,je ne veux pas,não quero
对头,duì tóu,correct,correcto,correct,correto
没有人,méi yǒu rén,no one,nadie,personne,ninguém
真没有,zhēn méi yǒu,Really not,Realmente no,Vraiment pas,Realmente não
不是我,bú shì wǒ,not me,no soy yo,pas moi,não eu
这不是,zhè bú shì,this is not,esto no es,ce n'est pas,isso não é
不行啊,bù xíng a,No way,De ninguna manera,Certainement pas,Sem chance
真不行,zhēn bù xíng,Really won’t work,realmente no funciona,Ça ne va vraiment pas,Realmente não dá
不可以做,bù kě yǐ zuò,can't do,no puedo hacer,je ne peux pas faire,não posso fazer
真的不可以,zhēn de bù kě yǐ,Really not possible,Realmente no es posible,Vraiment pas possible,Realmente não é possível
没了,méi le,All gone,Se acabó,Il n’y en a plus,Acabou
真没,zhēn méi,Really not,Realmente no,Vraiment pas,Realmente não
别走,bié zǒu,Don't go,no te vayas,Ne pars pas,Não vá
别说,bié shuō,Don't say,no digas,Ne dis pas,Não diga
好的呢,hǎo de ne,OK,De acuerdo,D'accord,OK
真的好的,zhēn de hǎo de,really good,realmente bueno,vraiment bien,muito bom
是的呢,shì de ne,Yes,Sí,Oui,Sim
真是的,zhēn shì de,Really,De verdad,Vraiment,Realmente
对的呀,duì de ya,Right,Correcto,C'est exact,Certo
完全对的,wán quán duì de,absolutely right,absolutamente correcto,tout à fait raison,absolutamente certo
对了吧,duì le ba,Right?,¿Correcto?,C'est exact?,Certo?
说对了,shuō duì le,That's right,Así es,C'est exact,Isso mesmo
算了吧,suàn le ba,Forget it,Olvídalo,Oublie ça,Esqueça
就算了,jiù suàn le,Forget it,Olvídalo,Oublie ça,Esqueça
没事的,méi shì de,It's fine,está bien,C'est bien,Está tudo bem
真没事,zhēn méi shì,It's okay,Está bien,C'est bon,Tudo bem
很准确,hěn zhǔn què,Very accurate,muy preciso,Très précis,Muito preciso
不准确,bù zhǔn què,Inaccurate,Incorrecto,Inexacte,Impreciso
