chinese,pinyin,english,spanish,french,portuguese
跑,pǎo,Run,Correr,Courir,Correr
进,jìn,Enter,Entrar,Entrer,Entrar
出,chū,Exit,Salir,Sortir,Sair
回,huí,Return,Volver,Retourner,Voltar
转,zhuǎn,Turn,Girar,Tourner,Virar
停,tíng,Stop,Parar,Arrêter,Parar
经过,jīng guò,Pass by,Pasar por,Passer par,Passar por
路过,lù guò,Pass by,Pasar por,Passer devant,Passar por
赶,gǎn,Rush,Apresurarse,Se dépêcher,Apressar
追,zhuī,Chase,Perseguir,Poursuivre,Perseguir
躲,duǒ,Hide,Esconderse,Se cacher,Esconder-se
绕,rào,Go around,Rodear,Contourner,Contornar
穿,chuān,Cross,Cruzar,Traverser,Atravessar
返回,fǎn huí,Return,Regresar,Revenir,Retornar
抵达,dǐ dá,Arrive,Llegar,Arriver,Chegar
启程,qǐ chéng,Set off,Partir,Partir,Partir
途经,tú jīng,Pass through,Pasar por,Passer par,Passar por
跑开,pǎo kāi,Run away,Huir,S'enfuir,Fugir
快跑,kuài pǎo,Run fast,Correr rápido,Courir vite,Correr rápido
进来,jìn lái,Come in,Entra,Entre,Entre
进入,jìn rù,Enter,Entrar,Entrer,Entrar
出去了,chū qù le,Went out,Salió,Sorti,Saiu
出去,chū qù,Go out,Salir,Sortir,Sair
回去了,huí qù le,Went back,Volvió,Retourné,Voltou
回去,huí qù,Go back,Volver,Retourner,Voltar
转身,zhuǎn shēn,Turn around,Darse la vuelta,Se retourner,Virar-se
转弯,zhuǎn wān,Turn a corner,Girar,Tourner,Virar
停下,tíng xià,Stop,Detenerse,S'arrêter,Parar
停住,tíng zhù,Stop,Detenerse,S'arrêter,Parar
经过这,jīng guò zhè,Pass by here,Pasar por aquí,Passer par ici,Passar por aqui
刚经过,gāng jīng guò,Just passed by,Acaba de pasar,Vient de passer,Acabou de passar
路过这,lù guò zhè,Pass by here,Pasar por aquí,Passer devant ici,Passar por aqui
刚路过,gāng lù guò,Just passed by,Acaba de pasar,Vient de passer,Acabou de passar
赶时间,gǎn shí jiān,In a hurry,Con prisa,Pressé,Com pressa
赶快,gǎn kuài,Hurry up,Date prisa,Dépêche-toi,Depressa
追上,zhuī shàng,Catch up,Alcanzar,Rattraper,Alcançar
追赶,zhuī gǎn,Chase,Perseguir,Poursuivre,Perseguir
躲开,duǒ kāi,Move away,Apartarse,S'écarter,Afastar-se
躲避,duǒ bì,Avoid,Evitar,Éviter,Evitar
绕路,rào lù,Take a detour,Dar un rodeo,Faire un détour,Dar uma volta
绕过,rào guò,Go around,Rodear,Contourner,Contornar
穿过,chuān guò,Cross through,Atravesar,Traverser,Atravessar
穿越,chuān yuè,Cross over,Atravesar,Traverser,Atravessar
返回去,fǎn huí qù,Go back,Regresar,Retourner,Retornar
要返回,yào fǎn huí,Need to return,Necesita volver,Doit retourner,Precisa voltar
抵达了,dǐ dá le,Arrived,Llegó,Arrivé,Chegou
刚抵达,gāng dǐ dá,Just arrived,Acaba de llegar,Vient d'arriver,Acabou de chegar
启程了,qǐ chéng le,Set off,Partió,Parti,Partiu
准备启程,zhǔn bèi qǐ chéng,Ready to set off,Listo para partir,Prêt à partir,Pronto para partir
途经这,tú jīng zhè,Pass through here,Pasar por aquí,Passer par ici,Passar por aqui
刚途经,gāng tú jīng,Just passed through,Acaba de pasar,Vient de passer,Acabou de passar
