chinese,pinyin,english,spanish,french,portuguese
中国,zhōng guó,China,China,Chine,China
龙,lóng,Dragon,Dragón,Dragon,Dragão
凤,fèng,Phoenix,Fénix,Phénix,Fênix
熊猫,xióng māo,Panda,Panda,Panda,Panda
功夫,gōng fu,Kung Fu,Kung Fu,Kung-Fu,Kung Fu
武术,wǔ shù,Martial Arts,Artes marciales,Arts martiaux,Artes Marciais
太极拳,tài jí quán,Tai Chi,Tai Chi,Taï Chi,Tai Chi
书法,shū fǎ,Calligraphy,Caligrafía,Calligraphie,Caligrafia
国画,guó huà,Traditional Chinese Painting,Pintura tradicional china,Peinture traditionnelle chinoise,Pintura Tradicional Chinesa
京剧,jīng jù,Peking Opera,Ópera de Pekín,Opéra de Pékin,Ópera de Pequim
茶道,chá dào,Tea Ceremony,Ceremonia del Té,Cérémonie du thé,Cerimônia do Chá
中医,zhōng yī,Traditional Chinese Medicine,Medicina Tradicional China,Médecine traditionnelle chinoise,Medicina Tradicional Chinesa
针灸,zhēn jiǔ,Acupuncture,Acupuntura,Acupuncture,Acupuntura
剪纸,jiǎn zhǐ,Paper-cutting,Corte de papel,Découpe de papier,Corte de papel
刺绣,cì xiù,Embroidery,Bordado,Broderie,Bordado
陶瓷,táo cí,Ceramics,Cerámica,Céramique,Cerâmica
丝绸,sī chóu,Silk,Seda,Soie,Seda
去中国,qù zhōng guó,Going to China,Ir a China,Partir en Chine,Indo para a China
在中国,zài zhōng guó,In China,En China,En Chine,Na China
中国龙,zhōng guó lóng,Chinese dragon,Dragón chino,Dragon chinois,Dragão Chinês
像龙,xiàng lóng,Like a dragon,Como un dragón,Comme un dragon,Como um dragão
凤凰,fèng huáng,Phoenix,Fénix,Phénix,Fênix
像凤,xiàng fèng,Like a phoenix,Como un fénix,Comme un phénix,Como uma fênix
大熊猫,dà xióng māo,Giant panda,Panda gigante,Panda géant,Panda gigante
看熊猫,kàn xióng māo,Watch pandas,Ver pandas,Observez les pandas,Assistir pandas
学功夫,xué gōng fu,Learn kung fu,Aprende kung fu,Apprendre le kung-fu,Aprenda kung fu
练功夫,liàn gōng fu,Practice kung fu,Practica kung fu,Pratiquez le kung-fu,Pratique kung fu
学武术,xué wǔ shù,Learn martial arts,Aprende artes marciales,Apprendre les arts martiaux,Aprenda artes marciais
练武术,liàn wǔ shù,Practice martial arts,Practica artes marciales,Pratiquer les arts martiaux,Pratique artes marciais
打太极拳,dǎ tài jí quán,Practice Tai Chi,Practica Tai Chi,Pratiquez le Taï Chi,Pratique Tai Chi
练太极拳,liàn tài jí quán,Practice Tai Chi,Practica Tai Chi,Pratiquez le Taï Chi,Pratique Tai Chi
学书法,xué shū fǎ,Learn calligraphy,Aprende caligrafía,Apprendre la calligraphie,Aprenda caligrafia
练书法,liàn shū fǎ,Practice calligraphy,Practica caligrafía,Pratiquer la calligraphie,Pratique caligrafia
学国画,xué guó huà,Learn Chinese painting,Aprende pintura china,Apprendre la peinture chinoise,Aprenda pintura chinesa
画国画,huà guó huà,Paint Chinese paintings,Pinta pinturas chinas,Peindre des peintures chinoises,Pintar pinturas chinesas
看京剧,kàn jīng jù,Watch Peking Opera,Ver Ópera de Pekín,Regarder l'opéra de Pékin,Assistir Ópera de Pequim
唱京剧,chàng jīng jù,Sing Peking Opera,Cantar Ópera de Pekín,Chanter l'opéra de Pékin,Cantar Ópera de Pequim
学茶道,xué chá dào,Learn tea ceremony,Aprende ceremonia del té,Apprendre la cérémonie du thé,Aprenda cerimônia do chá
懂茶道,dǒng chá dào,Understand tea ceremony,Entender ceremonia del té,Comprendre la cérémonie du thé,Entender cerimônia do chá
看中医,kàn zhōng yī,See a Chinese doctor,Ver médico chino,Consulter un médecin chinois,Consultar médico chinês
学中医,xué zhōng yī,Study Chinese medicine,Estudiar medicina china,Étudier la médecine chinoise,Estudar medicina chinesa
做针灸,zuò zhēn jiǔ,Do acupuncture,Hacer acupuntura,Faire de l'acupuncture,Fazer acupuntura
学针灸,xué zhēn jiǔ,Learn acupuncture,Aprender acupuntura,Apprendre l'acupuncture,Aprender acupuntura
学剪纸,xué jiǎn zhǐ,Learn paper-cutting,Aprender corte de papel,Apprendre le découpage de papier,Aprender recorte de papel
做剪纸,zuò jiǎn zhǐ,Do paper-cutting,Hacer corte de papel,Faire du découpage de papier,Fazer recorte de papel
学刺绣,xué cì xiù,Learn embroidery,Aprender bordado,Apprendre la broderie,Aprender bordado
做刺绣,zuò cì xiù,Do embroidery,Hacer bordado,Faire de la broderie,Fazer bordado
陶瓷品,táo cí pǐn,Ceramic products,Productos de cerámica,Produits céramiques,Produtos de cerâmica
做陶瓷,zuò táo cí,Make ceramics,Hacer cerámica,Faire de la céramique,Fazer cerâmica
丝绸布,sī chóu bù,Silk fabric,Tela de seda,Tissu de soie,Tecido de seda
买丝绸,mǎi sī chóu,Buy silk,Comprar seda,Acheter de la soie,Comprar seda
