chinese,pinyin,english,spanish,french,portuguese
程度,chéng dù,Degree,Grado,Degré,Grau
非常,fēi cháng,Very,Muy,Très,Muito
很,hěn,Very,Muy,Très,Muito
太,tài,Too,Demasiado,Trop,Demais
极,jí,Extreme,Extremo,Extrême,Extremo
最,zuì,Most,La mayoría,Les plus,A maioria
挺,tǐng,Quite,Bastante,Tout à fait,Bastante
蛮,mán,Quite,Bastante,Assez,Bastante
有点,yǒu diǎn,A little,Un poco,Un peu,Um pouco
十分,shí fēn,Very,Muy,Très,Muito
格外,gé wài,Extraordinary,Extraordinario,Extraordinaire,Extraordinário
分外,fèn wài,Extraordinary,Extraordinario,Extraordinaire,Extraordinário
甚,shèn,Very,Muy,Très,Muito
稀稀,xī xī,Sparse,Escaso,Clairsemé,Esparso
略,lüè,Slightly,Ligeramente,Légèrement,Ligeiramente
颇,pǒ,Quite,Bastante,Assez,Bastante
什么程度,shén me chéng dù,To what degree,A qué grado,À quel degré,A que grau
程度很深,chéng dù hěn shēn,Very deep degree,Grado muy profundo,Degré très profond,Grau muito profundo
非常感谢,fēi cháng gǎn xiè,Thank you very much,Muchas gracias,Merci beaucoup,Muito obrigado
非常高兴,fēi cháng gāo xìng,Very happy,Muy feliz,Très heureux,Muito feliz
很重要,hěn zhòng yào,Very important,Muy importante,Très important,Muito importante
很厉害,hěn lì hài,Very awesome,Muy genial,Très génial,Muito incrível
太过分,tài guò fèn,Too excessive,Demasiado excesivo,Trop excessif,Excessivo demais
太棒了,tài bàng le,Awesome,Increíble,Génial,Incrível
极为重要,jí wéi zhòng yào,Extremely important,Extremadamente importante,Extrêmement important,Extremamente importante
极少数,jí shǎo shù,Very few,Muy pocos,Très peu,Muito poucos
最重要,zuì zhòng yào,Most important,Lo más importante,Le plus important,O mais importante
最厉害,zuì lì hài,Most powerful,El más poderoso,Le plus puissant,O mais poderoso
挺不错,tǐng bù cuò,Pretty good,Bastante bien,Plutôt bien,Muito bom
挺有意思,tǐng yǒu yì si,Quite interesting,Bastante interesante,Assez intéressant,Muito interessante
蛮好的,mán hǎo de,Pretty good,Bastante bien,Plutôt bien,Muito bom
蛮有趣,mán yǒu qù,Quite interesting,Bastante interesante,Assez intéressant,Bastante interessante
有点累,yǒu diǎn lèi,A little tired,Un poco cansado,Un peu fatigué,Um pouco cansado
有点意思,yǒu diǎn yì si,A bit interesting,Un poco interesante,Un peu intéressant,Um pouco interessante
十分感谢,shí fēn gǎn xiè,Thank you very much,Muchas gracias,Merci beaucoup,Muito obrigado
十分满意,shí fēn mǎn yì,Very satisfied,Muy satisfecho,Très satisfait,Muito satisfeito
格外小心,gé wài xiǎo xīn,Extra careful,Extra cuidadoso,Très prudent,Extra cuidadoso
格外高兴,gé wài gāo xìng,Extraordinarily happy,Extraordinariamente feliz,Extraordinairement heureux,Extraordinariamente feliz
分外珍惜,fèn wài zhēn xī,Especially cherish,Apreciar especialmente,Chérir particulièrement,Valorizar especialmente
分外开心,fèn wài kāi xīn,Especially happy,Especialmente feliz,Particulièrement heureux,Especialmente feliz
甚至于,shèn zhì yú,Even,Incluso,Même,Até mesmo
甚为重要,shèn wéi zhòng yào,Very important,Muy importante,Très important,Muito importante
稀稀疏疏,xī xī shū shū,Sparse,Escaso,Clairsemé,Esparso
稀稀拉拉,xī xī lā lā,Scattered,Disperso,Éparpillé,Disperso
略知一二,lüè zhī yī èr,Know a little,Saber un poco,Savoir un peu,Saber um pouco
略有所闻,lüè yǒu suǒ wén,Heard a little,Oído un poco,Entendu un peu,Ouviu um pouco
颇有成效,pǒ yǒu chéng xiào,Quite effective,Bastante eficaz,Assez efficace,Bastante eficaz
颇为满意,pǒ wèi mǎn yì,Quite satisfied,Bastante satisfecho,Assez satisfait,Bastante satisfeito
