chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
比较,bǐ jiào,Compare,Comparar,Comparez,Comparar,So sánh,เปรียบเทียบ,ប្រៀបធៀប,Bandingkan,Bandingkan,Paghambingin
更,gèng,More,Más,Plus,Mais,Thêm,เพิ่มเติม,បន្ថែម,Selengkapnya,Lebih banyak,Higit pa
不如,bù rú,Not as good as,No tan bueno como,Pas aussi bon que,Não tão bom quanto,Không tốt bằng,ไม่ดีเท่า,មិនល្អដូច,Tidak sebagus,Tidak sebaik,Hindi kasing ganda ng
一样,yī yàng,The same,Lo mismo,Le même,O mesmo,Giống nhau,เหมือนกัน,ដូចគ្នា,sama,Yang sama,Ang parehong
相同,xiāng tóng,The same,Lo mismo,Le même,O mesmo,Giống nhau,เหมือนกัน,ដូចគ្នា,yang sama,Yang sama,Ang parehong
不同,bù tóng,Different,Diferente,Différent,Diferente,Khác nhau,แตกต่าง,ខុសគ្នា,yang sama Berbeda,Berbeza,Iba't ibang
差不多,chà bu duō,About the same,Más o menos lo mismo,À peu près pareil,Quase a mesma coisa,Tương tự,ประมาณเดียวกัน,ប្រហែលដូចគ្នា,Hampir sama,Mengenai yang sama,Tungkol sa pareho
相似,xiāng sì,Similar,Similares,Similaire,Semelhante,Tương tự,คล้ายกัน,ស្រដៀងគ្នា,Mirip,Sama,Katulad
区别,qū bié,Difference,Diferencia,Différence,Diferença,Sự khác biệt,ความแตกต่าง,ភាពខុសគ្នា,Perbedaan,Perbezaan,Pagkakaiba
优于,yōu yú,Better than,Mejor que,Mieux que,Melhor que,Tốt hơn,ดีกว่า,ប្រសើរជាង,Lebih baik dari,Lebih baik daripada,Mas mahusay kaysa sa
胜过,shèng guò,Better than,Mejor que,Mieux que,Melhor que,Tốt hơn,ดีกว่า,ប្រសើរជាង,Lebih baik dari,Lebih baik daripada,Mas mahusay kaysa sa
比起,bǐ qǐ,Compared to,Comparado con,Par rapport à,Comparado com,So với,เปรียบเทียบกับ,បើប្រៀបធៀបទៅនឹង,Dibandingkan dengan,Berbanding dengan,Kumpara sa
相比,xiāng bǐ,Compared,Comparado,Comparé,Comparado,So sánh,เปรียบเทียบ,បើប្រៀបធៀប,Dibandingkan,Berbanding,Inihambing
对比,duì bǐ,Contrast,Contraste,Contraste,Contraste,Tương phản,ตรงกันข้าม,កម្រិតពណ៌,Kontras,Kontras,Kaibahan
较,jiào,Better,Mejor,Mieux,Melhor,Tốt hơn,ดีกว่า,ល្អជាង,Lebih baik,Lebih baik,Mas mahusay
略胜,lüè shèng,Slightly better,Ligeramente mejor,Un peu mieux,Um pouco melhor,Tốt hơn một chút,ดีขึ้นนิดหน่อย,ល្អជាងនេះបន្តិច,Sedikit lebih baik,Sedikit lebih baik,Bahagyang mas mahusay
比较好,bǐ jiào hǎo,Better,Mejor,Mieux,Melhor,Tốt hơn,ดีกว่า,ល្អជាង,Lebih baik,Lebih baik,Mas mahusay
做比较,zuò bǐ jiào,Compare,Comparar,Comparez,Comparar,So sánh,เปรียบเทียบ,ប្រៀបធៀប,Bandingkan,Bandingkan,Paghambingin
更好,gèng hǎo,Better,Mejor,Mieux,Melhor,Tốt hơn,ดีกว่า,ល្អជាង,Lebih baik,Lebih baik,Mas mahusay
更大,gèng dà,Bigger,Más grande,Plus grand,Maior,Lớn hơn,ใหญ่กว่า,ធំជាង,Lebih besar,Lebih besar,Mas malaki
不如你,bù rú nǐ,Not as good as you,No tan bueno como tú,Pas aussi bon que toi,Não tão bom quanto você,Không giỏi bằng bạn,ไม่เก่งเท่าเธอ,មិនល្អដូចអ្នកទេ,Tidak sebaik kamu,Tidak sebaik anda,Hindi kasing ganda mo
