chinese,pinyin,english,spanish,french,portuguese
是,shì,yes,Sí,Oui,sim
有,yǒu,have,tener,avoir,ter
在,zài,exist,existir,exister,existir
来,lái,Come,Venir,Viens,Vir
去,qù,go,ir,aller,ir
吃,chī,eat,comer,manger,comer
喝,hē,drink,beber,boire,bebida
看,kàn,look,mirar,regarder,olhar
听,tīng,listen,escuchar,écouter,ouvir
说,shuō,speak,hablar,parler,falar
做,zuò,Do,Hacer,Faire,Fazer
给,gěi,Give,Dar,Donner,Dar
拿,ná,take,llevar,prendre,pegar
走,zǒu,Walk,Caminar,Marcher,Andar
坐,zuò,sit,sentarse,s'asseoir,sentar
站,zhàn,stand,pararse,rester,ficar
睡,shuì,sleep,dormir,dormir,dormir
起,qǐ,rise,elevar,augmenter,ascender
到,dào,arrive,llegar,arriver,chegar
便是,biàn shì,That's it,Eso es todo,C'est ça,É isso
算是,suàn shì,That's it,Eso es todo,C'est ça,É isso
有钱,yǒu qián,rich,rico,riche,rico
拥有,yōng yǒu,have,tener,avoir,ter
在家,zài jiā,at home,en casa,à la maison,em casa
所在,suǒ zài,location,ubicación,emplacement,localização
来吧,lái ba,bring it on,Dale,apportez-le,pode vir
快来,kuài lái,Come quickly,ven rapido,Venir vite,Venha rápido
去吧,qù ba,go ahead,adelante,poursuivre,vá em frente
快去,kuài qù,Go quickly,Ve rápido,Allez vite,Vá rápido
吃掉,chī diào,eat,comer,manger,comer
吃菜,chī cài,Eat vegetables,comer verduras,Mangez des légumes,Coma vegetais
喝完,hē wán,Finished drinking,Terminé de beber,Fini de boire,Terminou de beber
喝些,hē xiē,drink some,bebe un poco,boire un peu,beba um pouco
好看,hǎo kàn,nice,lindo,bon,legal
看看,kàn kàn,have a look,echa un vistazo,jetez un oeil,dê uma olhada
听歌,tīng gē,Listen to songs,escuchar canciones,Écouter des chansons,Ouça músicas
听听,tīng tīng,listen,escuchar,écouter,ouvir
说话,shuō huà,say,decir,dire,dizer
说吧,shuō ba,Say it,Dilo,Dis-le,Diga
做事,zuò shì,work,trabajar,travail,trabalhar
做完,zuò wán,Done,Hecho,Fait,Feito
给你,gěi nǐ,for you,para ti,pour toi,para você
给我,gěi wǒ,Give me,Dame,Donne-moi,Me dê
拿来,ná lái,bring it,tráelo,apporte-le,traga
拿走,ná zǒu,take away,llevar,emporter,remover
走动,zǒu dòng,walk around,dar una vuelta,se promener,andar por aí
快走,kuài zǒu,Go quickly,Ve rápido,Allez vite,Vá rápido
坐下,zuò xià,sit down,sentarse,asseyez-vous,sente-se
坐稳,zuò wěn,Sit tight,Estarse quieto,Asseyez-vous bien,Sente-se firme
站起,zhàn qǐ,stand up,ponerse de pie,se lever,ficar de pé
站好,zhàn hǎo,stand still,estarse quieto,rester immobile,fique parado
睡着,shuì zháo,sleep,dormir,dormir,dormir
睡吧,shuì ba,Go to sleep,Ve a dormir,Aller dormir,Vá dormir
起身,qǐ shēn,Get up,Levantarse,Se lever,Levantar
早起,zǎo qǐ,Get up early,levantarse temprano,Se lever tôt,Acorde cedo
到了,dào le,arrive,llegar,arriver,chegar
到位,dào wèi,in place,en su lugar,en place,no lugar
