chinese,pinyin,english,spanish,french,portuguese
正品,zhèng pǐn,Authentic,Auténtico,Authentique,Autêntico
假货,jiǎ huò,Fake goods,Productos falsos,Faux produits,Produtos falsos
山寨,shān zhài,Knockoff,Imitación,Contrefaçon,Imitação
劣质,liè zhì,Inferior quality,Calidad inferior,Qualité inférieure,Qualidade inferior
一流,yì liú,First-rate,De primera,De premier ordre,De primeira linha
二流,èr liú,Second-rate,De segunda categoría,De second ordre,Segunda categoria
性价比,xìng jià bǐ,Value for money,Relación calidad-precio,Rapport qualité-prix,Custo-benefício
值得,zhí de,Worth it,Vale la pena,Ça vaut le coup,Vale a pena
不值,bù zhí,Not worth it,No vale la pena,Ça ne vaut pas le coup,Não vale a pena
耐用,nài yòng,Durable,Duradero,Durable,Durável
牢固,láo gù,Sturdy,Resistente,Solide,Resistente
上乘,shàng chéng,Superior quality,Calidad superior,Qualité supérieure,Qualidade superior
低劣,dī liè,Inferior,Inferior,Inférieur,Inferior
粗糙,cū cāo,Rough,Áspero,Rugueux,Áspero
精致,jīng zhì,Exquisite,Exquisito,Raffiné,Requintado
精良,jīng liáng,Well-made,Bien hecho,Bien fait,Bem feito
是正品,shì zhèng pǐn,It's authentic,Es auténtico,C'est authentique,É autêntico
买正品,mǎi zhèng pǐn,Buy authentic,Comprar auténtico,Acheter authentique,Comprar autêntico
是假货,shì jiǎ huò,It's fake,Es falso,C'est faux,É falso
卖假货,mài jiǎ huò,Sell fake goods,Vender productos falsos,Vendre des faux produits,Vender produtos falsos
是山寨,shì shān zhài,It's a knockoff,Es una imitación,C'est une contrefaçon,É uma imitação
山寨货,shān zhài huò,Knockoff product,Producto de imitación,Produit contrefait,Produto de imitação
很劣质,hěn liè zhì,Very inferior,Muy inferior,Très inférieur,Muito inferior
是劣质,shì liè zhì,It's inferior quality,Es de calidad inferior,C'est de qualité inférieure,É de qualidade inferior
一流的,yì liú de,First-rate,De primera clase,De premier ordre,De primeira classe
很一流,hěn yì liú,Very first-rate,Muy de primera,Très premier ordre,Muito de primeira
二流的,èr liú de,Second-rate,De segunda clase,De second ordre,De segunda classe
是二流,shì èr liú,It's second-rate,Es de segunda,C'est de second ordre,É de segunda
性价比高,xìng jià bǐ gāo,Good value for money,Buena relación calidad-precio,Bon rapport qualité-prix,Boa relação custo-benefício
看性价比,kàn xìng jià bǐ,Look at value for money,Mira la relación calidad-precio,Regardez le rapport qualité-prix,Veja o custo-benefício
很值得,hěn zhí de,Very worth it,Muy vale la pena,Très valable,Muito vale a pena
值得买,zhí de mǎi,Worth buying,Vale la pena comprar,Vaut le coup d'acheter,Vale a pena comprar
不值得,bù zhí dé,Not worth it,No vale la pena,Ça ne vaut pas le coup,Não vale a pena
不值这个价,bù zhí zhè ge jià,Not worth this price,No vale este precio,Ne vaut pas ce prix,Não vale este preço
很耐用,hěn nài yòng,Very durable,Muy duradero,Très durable,Muito durável
特别耐用,tè bié nài yòng,Especially durable,Especialmente duradero,Particulièrement durable,Particularmente durável
很牢固,hěn láo gù,Very sturdy,Muy resistente,Très solide,Muito resistente
特别牢固,tè bié láo gù,Especially sturdy,Especialmente resistente,Particulièrement solide,Particularmente resistente
上乘品质,shàng chéng pǐn zhì,Superior quality,Calidad superior,Qualité supérieure,Qualidade superior
品质上乘,pǐn zhì shàng chéng,Quality is superior,La calidad es superior,La qualité est supérieure,A qualidade é superior
很低劣,hěn dī liè,Very inferior,Muy inferior,Très inférieur,Muito inferior
品质低劣,pǐn zhì dī liè,Quality is inferior,La calidad es inferior,La qualité est inférieure,A qualidade é inferior
很粗糙,hěn cū cāo,Very rough,Muy áspero,Très rugueux,Muito áspero
做工粗糙,zuò gōng cū cāo,Rough workmanship,Mano de obra tosca,Travail grossier,Acabamento bruto
很精致,hěn jīng zhì,Very exquisite,Muy exquisito,Très raffiné,Muito requintado
做工精致,zuò gōng jīng zhì,Exquisite workmanship,Mano de obra exquisita,Travail exquis,Acabamento requintado
很精良,hěn jīng liáng,Very well-made,Muy bien hecho,Très bien fait,Muito bem feito
制作精良,zhì zuò jīng liáng,Well-crafted,Bien elaborado,Bien conçu,Bem elaborado
